"model","PromptID","Diagnosed","Refused","Blocked"
"Gemini Pro Vision",1,698,NA,2
"Gemini Pro Vision",2,699,NA,1
"Gemini Pro Vision",3,699,NA,1
"Gemini Pro Vision",4,700,NA,NA
"Gemini Pro Vision",5,698,NA,2
"Gemini Pro Vision",6,696,NA,4
"Gemini Pro Vision",7,697,NA,3
"Gemini Pro Vision",8,699,NA,1
"GPT-4v with Vision",1,96,604,NA
"GPT-4v with Vision",2,129,571,2
"GPT-4v with Vision",3,697,3,1
"GPT-4v with Vision",4,700,NA,1
"GPT-4v with Vision",5,690,8,3
"GPT-4v with Vision",6,652,47,3
"GPT-4v with Vision",7,699,1,NA
"GPT-4v with Vision",8,699,1,1
