Model_Prompt,Accuracy_12,Accuracy_34,Accuracy_56,Balanced.Accuracy_12,Balanced.Accuracy_34,Balanced.Accuracy_56,F1_12,F1_34,F1_56,Precision_12,Precision_34,Precision_56,Recall_12,Recall_34,Recall_56,Sensitivity_12,Sensitivity_34,Sensitivity_56,Specificity_12,Specificity_34,Specificity_56
Gemini Pro Vision - P1,0.66 (+/-0.07),0.6 (+/-0.06),0.53 (+/-0.08),0.66 (+/-0.09),0.6 (+/-0.07),0.54 (+/-0.09),0.49 (+/-0.12),0.51 (+/-0.1),0.36 (+/-0.12),0.39 (+/-0.11),0.45 (+/-0.11),0.27 (+/-0.1),0.65 (+/-0.16),0.59 (+/-0.12),0.54 (+/-0.17),0.65 (+/-0.16),0.59 (+/-0.12),0.54 (+/-0.17),0.67 (+/-0.08),0.61 (+/-0.09),0.53 (+/-0.1)
Gemini Pro Vision - P2,0.7 (+/-0.06),0.66 (+/-0.07),0.62 (+/-0.08),0.64 (+/-0.08),0.61 (+/-0.07),0.53 (+/-0.09),0.45 (+/-0.13),0.47 (+/-0.1),0.3 (+/-0.13),0.39 (+/-0.13),0.46 (+/-0.11),0.27 (+/-0.12),0.54 (+/-0.15),0.48 (+/-0.12),0.35 (+/-0.15),0.54 (+/-0.15),0.48 (+/-0.12),0.35 (+/-0.15),0.75 (+/-0.06),0.74 (+/-0.08),0.71 (+/-0.08)
Gemini Pro Vision - P3,0.66 (+/-0.07),0.71 (+/-0.06),0.53 (+/-0.07),0.63 (+/-0.08),0.71 (+/-0.07),0.52 (+/-0.09),0.43 (+/-0.11),0.6 (+/-0.09),0.33 (+/-0.11),0.35 (+/-0.11),0.52 (+/-0.11),0.25 (+/-0.09),0.58 (+/-0.14),0.71 (+/-0.1),0.49 (+/-0.16),0.58 (+/-0.14),0.71 (+/-0.1),0.49 (+/-0.16),0.68 (+/-0.08),0.7 (+/-0.07),0.55 (+/-0.08)
GPT-4 with Vision - P3,0.77 (+/-0.15),0.84 (+/-0.11),0.85 (+/-0.11),0.58 (+/-0.11),0.49 (+/-0.03),0.59 (+/-0.13),0.33 (+/-0.2),NA,0.4 (+/-0.22),0.66 (+/-0.66),0 (+/-0),0.51 (+/-0.51),0.2 (+/-0.2),0 (+/-0),0.21 (+/-0.21),0.2 (+/-0.2),0 (+/-0),0.21 (+/-0.21),0.97 (+/-0.08),0.98 (+/-0.06),0.97 (+/-0.08)
Gemini Pro Vision - P4,0.71 (+/-0.06),0.75 (+/-0.06),0.64 (+/-0.07),0.63 (+/-0.08),0.73 (+/-0.07),0.54 (+/-0.08),0.43 (+/-0.12),0.62 (+/-0.1),0.3 (+/-0.11),0.39 (+/-0.12),0.58 (+/-0.11),0.28 (+/-0.12),0.48 (+/-0.14),0.67 (+/-0.11),0.34 (+/-0.14),0.48 (+/-0.14),0.67 (+/-0.11),0.34 (+/-0.14),0.78 (+/-0.06),0.78 (+/-0.06),0.73 (+/-0.07)
GPT-4 with Vision - P4,0.65 (+/-0.09),0.69 (+/-0.08),0.62 (+/-0.09),0.56 (+/-0.1),0.58 (+/-0.08),0.52 (+/-0.09),0.36 (+/-0.17),0.37 (+/-0.15),0.28 (+/-0.14),0.38 (+/-0.18),0.45 (+/-0.18),0.27 (+/-0.15),0.34 (+/-0.17),0.32 (+/-0.15),0.31 (+/-0.17),0.34 (+/-0.17),0.32 (+/-0.15),0.31 (+/-0.17),0.77 (+/-0.1),0.84 (+/-0.08),0.72 (+/-0.09)
Gemini Pro Vision - P5,0.7 (+/-0.06),0.72 (+/-0.06),0.6 (+/-0.07),0.68 (+/-0.08),0.72 (+/-0.06),0.58 (+/-0.09),0.49 (+/-0.11),0.61 (+/-0.08),0.38 (+/-0.12),0.39 (+/-0.1),0.53 (+/-0.1),0.29 (+/-0.1),0.65 (+/-0.15),0.73 (+/-0.11),0.54 (+/-0.16),0.65 (+/-0.15),0.73 (+/-0.11),0.54 (+/-0.16),0.71 (+/-0.07),0.71 (+/-0.07),0.62 (+/-0.08)
GPT-4 with Vision - P5,0.64 (+/-0.08),0.62 (+/-0.07),0.56 (+/-0.07),0.59 (+/-0.1),0.58 (+/-0.09),0.57 (+/-0.09),0.39 (+/-0.12),0.41 (+/-0.11),0.37 (+/-0.11),0.33 (+/-0.12),0.38 (+/-0.12),0.28 (+/-0.1),0.49 (+/-0.16),0.46 (+/-0.13),0.57 (+/-0.17),0.49 (+/-0.16),0.46 (+/-0.13),0.57 (+/-0.17),0.68 (+/-0.08),0.69 (+/-0.08),0.56 (+/-0.09)
Gemini Pro Vision - P6,0.73 (+/-0.07),0.73 (+/-0.06),0.67 (+/-0.07),0.67 (+/-0.08),0.68 (+/-0.06),0.56 (+/-0.08),0.48 (+/-0.11),0.56 (+/-0.1),0.33 (+/-0.13),0.42 (+/-0.12),0.55 (+/-0.12),0.3 (+/-0.12),0.56 (+/-0.14),0.58 (+/-0.12),0.36 (+/-0.14),0.56 (+/-0.14),0.58 (+/-0.12),0.36 (+/-0.14),0.78 (+/-0.07),0.79 (+/-0.06),0.75 (+/-0.07)
GPT-4 with Vision - P6,0.57 (+/-0.07),0.63 (+/-0.07),0.49 (+/-0.07),0.58 (+/-0.08),0.62 (+/-0.08),0.5 (+/-0.08),0.39 (+/-0.11),0.49 (+/-0.11),0.33 (+/-0.1),0.29 (+/-0.09),0.42 (+/-0.11),0.24 (+/-0.08),0.6 (+/-0.15),0.6 (+/-0.13),0.53 (+/-0.14),0.6 (+/-0.15),0.6 (+/-0.13),0.53 (+/-0.14),0.56 (+/-0.09),0.64 (+/-0.08),0.48 (+/-0.09)
