Model,Prompt,Overall Sensitivity,Overall Specificity,Overall Balanced Accuracy
GPT-4 with Vision,P3,0.14 (+/-0.14),0.97 (+/-0.04),0.56 (+/-0.08)
GPT-4 with Vision,P4,0.32 (+/-0.08),0.78 (+/-0.05),0.55 (+/-0.05)
GPT-4 with Vision,P5,0.51 (+/-0.09),0.64 (+/-0.05),0.57 (+/-0.05)
GPT-4 with Vision,P6,0.58 (+/-0.08),0.56 (+/-0.05),0.57 (+/-0.04)
Gemini Pro Vision,P1,0.59 (+/-0.08),0.61 (+/-0.05),0.6 (+/-0.05)
Gemini Pro Vision,P2,0.46 (+/-0.08),0.73 (+/-0.04),0.6 (+/-0.04)
Gemini Pro Vision,P3,0.61 (+/-0.08),0.65 (+/-0.04),0.63 (+/-0.04)
Gemini Pro Vision,P4,0.52 (+/-0.08),0.77 (+/-0.04),0.65 (+/-0.05)
Gemini Pro Vision,P5,0.66 (+/-0.08),0.68 (+/-0.04),0.67 (+/-0.04)
Gemini Pro Vision,P6,0.52 (+/-0.08),0.78 (+/-0.04),0.65 (+/-0.04)
