"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",117,0.785076923076923,0.700854700854701,0.863247863247863,0.0459801683774605,0,0.160166666666667,0.948117494787318,0.898876404494382,0.98925017158545,0.159758585335316,0,0.571428571428571,0.0459801683774605,0,0.160166666666667,0.114283624729217,0.0571428571428571,0.25,0.497048831582389,0.456289051235221,0.558539205155747,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",365,0.665895890410959,0.616438356164384,0.715068493150685,0.377075348272792,0.284204028589993,0.474381188118812,0.763900134637512,0.711453667105841,0.81413687056438,0.351733180648812,0.264705882352941,0.448633177570093,0.377075348272792,0.284204028589993,0.474381188118812,0.362816949088994,0.27805070549578,0.449369463135983,0.570487741455152,0.516554739444964,0.624896497790578,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",232,0.757758620689655,0.702586206896552,0.810344827586207,0.0547115180940013,0,0.122448979591837,0.97702675437607,0.953488372093023,0.994623655913978,0.426244555362938,0,0.857142857142857,0.0547115180940013,0,0.122448979591837,0.10049698838184,0.0307692307692308,0.206896551724138,0.515869136235036,0.48738552317206,0.552843744883821,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",120,0.69205,0.608333333333333,0.775,0.0567594699953671,0,0.148962765957447,0.94159029529589,0.8875,0.987955393000574,0.277290496268437,0,0.666666666666667,0.0567594699953671,0,0.148962765957447,0.108304269853213,0.0425531914893617,0.231661129568106,0.499174882645629,0.454733060004144,0.54789530107111,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",478,0.604638075313808,0.560669456066946,0.646495815899582,0.520167799145568,0.433783025922233,0.606932471264368,0.63509075783985,0.58636907530337,0.68267492795389,0.339633613062687,0.27536231884058,0.405019927536232,0.520167799145568,0.433783025922233,0.606932471264368,0.410220255967989,0.343632404477561,0.479301461778097,0.577629278492709,0.526551963088377,0.627476477740573,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",616,0.560943181818182,0.521103896103896,0.600649350649351,0.598783984310345,0.526286386356954,0.67456347333648,0.547480887273673,0.501052915766739,0.596039059918691,0.320681104283152,0.271843845702743,0.36935110495919,0.598783984310345,0.526286386356954,0.67456347333648,0.417159253630315,0.363636363636364,0.468453433737092,0.573132435792009,0.531879027253188,0.614651687357104,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",609,0.736995073891626,0.702791461412151,0.770114942528736,0.314227749197715,0.243045343137255,0.384615384615385,0.881930578917176,0.850211870873223,0.910482102079244,0.47724636158147,0.388339052561098,0.56883446779126,0.314227749197715,0.243045343137255,0.384615384615385,0.378063277731011,0.301576576576577,0.444444444444444,0.598079164057445,0.560147733594883,0.633830582696204,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",611,0.765939443535188,0.729950900163666,0.797094926350245,0.269816005794732,0.192042074790816,0.342291265781199,0.936457026617679,0.912162162162162,0.958346861471862,0.593289769506384,0.47140756302521,0.710875319459657,0.269816005794732,0.192042074790816,0.342291265781199,0.369897357977458,0.281814980793854,0.451334570368256,0.603136516206205,0.565098377145376,0.641429073003252,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",605,0.660720661157025,0.626446280991735,0.694214876033058,0.642163424996495,0.569763762143067,0.710699094775875,0.667169948485218,0.623868424876489,0.707207207207207,0.401340766007223,0.345374438932199,0.464003375527426,0.642163424996495,0.569763762143067,0.710699094775875,0.493336432916118,0.436638675789619,0.551255987348782,0.654666686740857,0.613059484038604,0.694201662989703,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",607,0.697835255354201,0.660626029654036,0.733113673805601,0.519073122977615,0.441843365253078,0.597560975609756,0.759968040681113,0.720235237340989,0.798672929455278,0.429409759835047,0.361256544502618,0.50277005728231,0.519073122977615,0.441843365253078,0.597560975609756,0.469291075707759,0.404980659005562,0.53083715787401,0.639520581829364,0.597260868666905,0.680626672400374,"Overall","Overall"
"13","Gemini Pro Vision","drop","P5",612,0.683859477124183,0.647058823529412,0.718954248366013,0.618509375417678,0.542450980392157,0.694267515923567,0.706471655019187,0.663604594330401,0.746652170699256,0.422423195400823,0.359082246229107,0.48640833692374,0.618509375417678,0.542450980392157,0.694267515923567,0.501355863550543,0.438879233511586,0.559813397129187,0.662490515218433,0.619811182941383,0.705822396529903,"Overall","Overall"
"14","Gemini Pro Vision","drop","P6",612,0.710233660130719,0.674795751633987,0.745098039215686,0.54769024386328,0.47239263803681,0.630928009270436,0.766370753446313,0.72664308835871,0.805938533301842,0.44730283498889,0.378226827864134,0.517775702901028,0.54769024386328,0.47239263803681,0.630928009270436,0.491632436152577,0.42773451570299,0.558407210401891,0.657030498654797,0.617158503007973,0.701155814463794,"Overall","Overall"
"15","Gemini Pro Vision","drop","P7",612,0.686490196078431,0.650285947712418,0.722222222222222,0.696868146991054,0.622516556291391,0.762857142857143,0.682896971396059,0.640964889574807,0.725584409061229,0.431726002037333,0.367035474216182,0.494429745068727,0.696868146991054,0.622516556291391,0.762857142857143,0.532492781296052,0.473662757437071,0.589384224938222,0.689882559193557,0.647332066460501,0.730105111854434,"Overall","Overall"
"16","Gemini Pro Vision","drop","P8",612,0.697570261437908,0.660089869281046,0.733660130718954,0.515009241847321,0.435106206438765,0.594418872266973,0.760280065614073,0.719124758220503,0.797424684835002,0.424729986697806,0.353591160220994,0.497621951219512,0.515009241847321,0.435106206438765,0.594418872266973,0.464845147451941,0.396257948499286,0.52959451231887,0.637644653730697,0.591490958671604,0.68192182827922,"Overall","Overall"
"17","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","V-VI"
"18","GPT-4 Vision","drop","P2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","V-VI"
"19","GPT-4 Vision","drop","P3",43,0.768418604651163,0.627906976744186,0.883720930232558,0.115163286631669,0,0.4,0.942070644279809,0.852941176470588,1,0.334559846465866,0,1,0.115163286631669,0,0.4,0.250934950487594,0.117647058823529,0.545454545454545,0.528616965455739,0.441176470588235,0.678104575163399,"skin_tone","V-VI"
"20","GPT-4 Vision","drop","P4",114,0.6575,0.56140350877193,0.736842105263158,0.356306465581,0.176406649616368,0.548387096774194,0.75600275303668,0.66656976744186,0.84,0.323657549847363,0.15990625,0.5,0.356306465581,0.176406649616368,0.548387096774194,0.335604678653613,0.172358767424798,0.5,0.55615460930884,0.454658655520725,0.657406693998728,"skin_tone","V-VI"
"21","GPT-4 Vision","drop","P5",87,0.72383908045977,0.632183908045977,0.816091954022989,0.125485706701565,0,0.275909961685824,0.952261425476174,0.9,1,0.499531277816132,0,1,0.125485706701565,0,0.275909961685824,0.206758260360158,0.0689655172413793,0.4,0.538873566088869,0.471799917149959,0.617149758454106,"skin_tone","V-VI"
"22","GPT-4 Vision","drop","P6",44,0.703818181818182,0.568181818181818,0.840909090909091,0.0748521131259521,0,0.25,0.968942588464753,0.896551724137931,1,0.497545070962792,0,1,0.0748521131259521,0,0.25,0.195684500002198,0.1,0.4,0.521897350795353,0.464252645502646,0.615384615384615,"skin_tone","V-VI"
"23","GPT-4 Vision","drop","P7",161,0.576062111801242,0.503105590062112,0.645962732919255,0.579228197676723,0.431807040998217,0.725012254901961,0.574782336633184,0.483035979779958,0.66116035723807,0.332366450713618,0.226633802816901,0.444444444444444,0.579228197676723,0.431807040998217,0.725012254901961,0.420215091305161,0.305057627118644,0.533333333333333,0.577005267154954,0.492205879180927,0.657201688878472,"skin_tone","V-VI"
"24","GPT-4 Vision","drop","P8",190,0.494036842105263,0.421052631578947,0.563157894736842,0.5101156475358,0.368421052631579,0.657142857142857,0.488885236219707,0.410958904109589,0.564949619346171,0.23655323373359,0.15292199488491,0.320388349514563,0.5101156475358,0.368421052631579,0.657142857142857,0.321783863892208,0.217382878328278,0.421721501390176,0.499500441877753,0.419206485408699,0.581404712485507,"skin_tone","V-VI"
"25","Gemini Pro Vision","drop","P1",179,0.712094972067039,0.642458100558659,0.776536312849162,0.194069988403681,0.0731707317073171,0.325,0.8637746088244,0.807108170606372,0.91307453416149,0.292981681391282,0.125,0.48,0.194069988403681,0.0731707317073171,0.325,0.230788029338293,0.09375,0.368441295546559,0.528922298614041,0.467110608375446,0.596952931432752,"skin_tone","V-VI"
"26","Gemini Pro Vision","drop","P2",179,0.746826815642458,0.681564245810056,0.810055865921788,0.17213562927697,0.062468112244898,0.297925531914894,0.919434350157232,0.868045343137255,0.963503649635037,0.390062450828278,0.176470588235294,0.64296218487395,0.17213562927697,0.062468112244898,0.297925531914894,0.236294969396916,0.0922027972027972,0.386049801924165,0.545784989717101,0.486947929567371,0.61534491148083,"skin_tone","V-VI"
"27","Gemini Pro Vision","drop","P3",176,0.575823863636364,0.505681818181818,0.647727272727273,0.539364906627242,0.375,0.7,0.586884951780616,0.503873054729848,0.664485458612975,0.28438804110468,0.180722891566265,0.389667427167427,0.539364906627242,0.375,0.7,0.370341718829699,0.252248466954349,0.487923188933382,0.563124929203929,0.476541819852941,0.652378647207132,"skin_tone","V-VI"
"28","Gemini Pro Vision","drop","P4",178,0.634174157303371,0.561797752808989,0.702247191011236,0.338317449505031,0.204431818181818,0.488385012919897,0.722505764264849,0.644404761904762,0.795620437956204,0.267019126516263,0.152173913043478,0.391304347826087,0.338317449505031,0.204431818181818,0.488385012919897,0.296190934333439,0.181759906759907,0.417619047619048,0.53041160688494,0.454318181818182,0.614040964008757,"skin_tone","V-VI"
"29","Gemini Pro Vision","drop","P5",180,0.595811111111111,0.522222222222222,0.666666666666667,0.415433548066627,0.27263986013986,0.571504559270517,0.649233513955994,0.570421231090245,0.72663505559189,0.258951090698588,0.153819444444444,0.375,0.415433548066627,0.27263986013986,0.571504559270517,0.316973510001713,0.203674402250352,0.432454954954955,0.532333531011311,0.447256848378627,0.621458241974575,"skin_tone","V-VI"
"30","Gemini Pro Vision","drop","P6",180,0.6383,0.566666666666667,0.711111111111111,0.365984024072206,0.217313664596273,0.51925,0.71896203652034,0.64331750339213,0.79136690647482,0.278258284519669,0.159061004784689,0.400087719298246,0.365984024072206,0.217313664596273,0.51925,0.313862870464096,0.186046511627907,0.433962264150943,0.542473030296273,0.460876920530686,0.62451838531349,"skin_tone","V-VI"
"31","Gemini Pro Vision","drop","P7",180,0.597427777777778,0.527777777777778,0.666666666666667,0.510729751484306,0.351351351351351,0.666666666666667,0.622853015722732,0.543440922668437,0.701434811827957,0.285157689187045,0.181750339213026,0.394366197183099,0.510729751484306,0.351351351351351,0.666666666666667,0.363905886766207,0.242363636363636,0.483333333333333,0.566791383603519,0.47567602020727,0.654472925228928,"skin_tone","V-VI"
"32","Gemini Pro Vision","drop","P8",180,0.656583333333333,0.58875,0.722222222222222,0.39154862090892,0.239130434782609,0.547678571428571,0.734716604785719,0.657137643378519,0.80272605392522,0.302892669889936,0.179964285714286,0.433982772764561,0.39154862090892,0.239130434782609,0.547678571428571,0.33919654388236,0.209242181234964,0.451662786830728,0.56313261284732,0.477072112264763,0.64965635941572,"skin_tone","V-VI"
"33","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","I-II"
