"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P4",259,0.644297297297297,0.583011583011583,0.702799227799228,0.358930229549731,0.241899755002042,0.477628163530175,0.737675973352106,0.670155718680844,0.796956199427049,0.30937045306475,0.208926148478387,0.412725779967159,0.358930229549731,0.241899755002042,0.477628163530175,0.330598737934561,0.234147609147609,0.424671017150254,0.548303101450919,0.483843836676188,0.614834453062414,"Overall","Overall"
"2","GPT-4 Vision","drop","P7",259,0.599212355212355,0.536679536679537,0.652509652509653,0.488459454391493,0.354158653846154,0.618203463203463,0.635324849536365,0.567006174541044,0.700520697053744,0.304175633464017,0.214285714285714,0.393946678321678,0.488459454391493,0.354158653846154,0.618203463203463,0.373537194098151,0.272711811997526,0.469879518072289,0.561892151963929,0.487376802884615,0.637246726230869,"Overall","Overall"
"3","GPT-4 Vision","drop","P8",259,0.58165250965251,0.525096525096525,0.640926640926641,0.592907601516789,0.466594202898551,0.703152508802817,0.577979352202005,0.515140374331551,0.645871710526316,0.315462682590262,0.230769230769231,0.4,0.592907601516789,0.466594202898551,0.703152508802817,0.41053431089095,0.318150769995032,0.492211352989804,0.585443476859397,0.517743785649345,0.6518006839472,"Overall","Overall"
"4","Gemini Pro Vision","drop","P1",259,0.736528957528958,0.683301158301158,0.791505791505791,0.252438885694682,0.147488822652757,0.362323369565217,0.897001885294559,0.853516766651284,0.937823834196891,0.447802583732115,0.292623918174666,0.611155913978495,0.252438885694682,0.147488822652757,0.362323369565217,0.320618373841049,0.2,0.440016949152542,0.574720385494621,0.519572077228327,0.635139003133568,"Overall","Overall"
"5","Gemini Pro Vision","drop","P2",259,0.760772200772201,0.71042471042471,0.810810810810811,0.231808058336863,0.131147540983607,0.34375,0.933817023682443,0.894466321994588,0.965568499534017,0.53398742100311,0.346120689655172,0.720103448275862,0.231808058336863,0.131147540983607,0.34375,0.320888102233338,0.191748206131768,0.444444444444444,0.582812541009653,0.53070557818633,0.638721338439633,"Overall","Overall"
"6","Gemini Pro Vision","drop","P3",259,0.660984555984556,0.602316602316602,0.718146718146718,0.624359468218076,0.5065,0.75,0.673104916934347,0.603254724710509,0.738927392306886,0.385928378379345,0.288659793814433,0.483879456706282,0.624359468218076,0.5065,0.75,0.475365372216108,0.379746835443038,0.568560530868049,0.648732192576211,0.581703017913302,0.713432099036021,"Overall","Overall"
"7","Gemini Pro Vision","drop","P4",259,0.703644787644788,0.648648648648649,0.756756756756757,0.486730258342503,0.361011904761905,0.611111111111111,0.774783836241342,0.717156862745098,0.830769230769231,0.414069499078285,0.297282447282447,0.525675675675676,0.486730258342503,0.361011904761905,0.611111111111111,0.445559005193557,0.338638882048756,0.549052506908804,0.630757047291923,0.558945114329829,0.699766689283882,"Overall","Overall"
"8","Gemini Pro Vision","drop","P5",259,0.659084942084942,0.594594594594595,0.718146718146718,0.59340525539493,0.455848930481283,0.72060631629701,0.68085701509921,0.609883498854087,0.744573535936114,0.380069531311618,0.28697120285423,0.477508625646923,0.59340525539493,0.455848930481283,0.72060631629701,0.461757401059686,0.359940397350993,0.556818181818182,0.63713113524707,0.557570363838423,0.709270080599106,"Overall","Overall"
"9","Gemini Pro Vision","drop","P6",259,0.687548262548263,0.629343629343629,0.741312741312741,0.500565303684699,0.374910714285714,0.625046641791045,0.7487224306776,0.685567010309278,0.807111225676819,0.395380866610115,0.282336371168186,0.506027814963558,0.500565303684699,0.374910714285714,0.625046641791045,0.440181664081091,0.333333333333333,0.545482778091474,0.62464386718115,0.551893312967784,0.692393323193397,"Overall","Overall"
"10","Gemini Pro Vision","drop","P7",259,0.672142857142857,0.617760617760618,0.72972972972973,0.639894985503819,0.527009246088193,0.758126987732849,0.682667551561524,0.618549772752466,0.747425232213943,0.397839745191146,0.309703916399925,0.494847964177861,0.639894985503819,0.527009246088193,0.758126987732849,0.489238759703671,0.395476941269216,0.584846097279126,0.661281268532671,0.595623352451882,0.733074107975787,"Overall","Overall"
