"","Model","PromptID","Balanced.Accuracy_CI_V-VI","Balanced.Accuracy_CI_III-IV","Balanced.Accuracy_CI_I-II","Sensitivity_CI_V-VI","Sensitivity_CI_III-IV","Sensitivity_CI_I-II","Specificity_CI_V-VI","Specificity_CI_III-IV","Specificity_CI_I-II"
"1","GPT-4 Vision","P3","0.49 (+/- 0.09)","0.6 (+/- 0.07)","0.61 (+/- 0.08)","0.5 (+/- 0.15)","0.62 (+/- 0.12)","0.67 (+/- 0.14)","0.49 (+/- 0.1)","0.59 (+/- 0.08)","0.55 (+/- 0.08)"
"2","GPT-4 Vision","P4","0.52 (+/- 0.1)","0.66 (+/- 0.06)","0.54 (+/- 0.08)","0.58 (+/- 0.16)","0.78 (+/- 0.1)","0.63 (+/- 0.14)","0.46 (+/- 0.1)","0.54 (+/- 0.08)","0.46 (+/- 0.08)"
"3","GPT-4 Vision","P5","0.52 (+/- 0.09)","0.62 (+/- 0.07)","0.57 (+/- 0.08)","0.53 (+/- 0.16)","0.67 (+/- 0.11)","0.6 (+/- 0.13)","0.52 (+/- 0.11)","0.57 (+/- 0.07)","0.55 (+/- 0.08)"
"4","GPT-4 Vision","P6","0.49 (+/- 0.1)","0.63 (+/- 0.07)","0.56 (+/- 0.08)","0.5 (+/- 0.17)","0.66 (+/- 0.11)","0.58 (+/- 0.14)","0.48 (+/- 0.11)","0.6 (+/- 0.08)","0.54 (+/- 0.08)"
"5","GPT-4 Vision","P7","0.5 (+/- 0.09)","0.62 (+/- 0.07)","0.57 (+/- 0.09)","0.5 (+/- 0.15)","0.67 (+/- 0.11)","0.56 (+/- 0.15)","0.5 (+/- 0.1)","0.56 (+/- 0.08)","0.58 (+/- 0.09)"
"6","GPT-4 Vision","P8","0.53 (+/- 0.1)","0.6 (+/- 0.07)","0.61 (+/- 0.09)","0.58 (+/- 0.15)","0.71 (+/- 0.11)","0.72 (+/- 0.14)","0.47 (+/- 0.11)","0.5 (+/- 0.08)","0.5 (+/- 0.09)"
"7","Gemini Pro Vision","P1","0.56 (+/- 0.06)","0.57 (+/- 0.05)","0.54 (+/- 0.04)","0.18 (+/- 0.12)","0.19 (+/- 0.09)","0.09 (+/- 0.07)","0.94 (+/- 0.06)","0.95 (+/- 0.04)","0.98 (+/- 0.03)"
"8","Gemini Pro Vision","P2","0.55 (+/- 0.06)","0.57 (+/- 0.05)","0.54 (+/- 0.04)","0.15 (+/- 0.1)","0.17 (+/- 0.09)","0.1 (+/- 0.07)","0.94 (+/- 0.05)","0.96 (+/- 0.03)","0.99 (+/- 0.02)"
"9","Gemini Pro Vision","P3","0.53 (+/- 0.06)","0.56 (+/- 0.05)","0.54 (+/- 0.05)","0.13 (+/- 0.1)","0.21 (+/- 0.09)","0.12 (+/- 0.09)","0.93 (+/- 0.06)","0.92 (+/- 0.05)","0.97 (+/- 0.03)"
"10","Gemini Pro Vision","P4","0.53 (+/- 0.06)","0.56 (+/- 0.05)","0.54 (+/- 0.05)","0.16 (+/- 0.11)","0.21 (+/- 0.09)","0.12 (+/- 0.09)","0.91 (+/- 0.06)","0.92 (+/- 0.05)","0.96 (+/- 0.03)"
"11","Gemini Pro Vision","P5","0.52 (+/- 0.07)","0.57 (+/- 0.06)","0.56 (+/- 0.07)","0.19 (+/- 0.12)","0.32 (+/- 0.1)","0.23 (+/- 0.12)","0.85 (+/- 0.08)","0.82 (+/- 0.06)","0.89 (+/- 0.05)"
"12","Gemini Pro Vision","P6","0.52 (+/- 0.07)","0.62 (+/- 0.06)","0.57 (+/- 0.06)","0.21 (+/- 0.12)","0.31 (+/- 0.1)","0.21 (+/- 0.12)","0.84 (+/- 0.08)","0.92 (+/- 0.05)","0.92 (+/- 0.05)"
"13","Gemini Pro Vision","P7","0.56 (+/- 0.07)","0.59 (+/- 0.05)","0.53 (+/- 0.05)","0.21 (+/- 0.12)","0.28 (+/- 0.1)","0.12 (+/- 0.09)","0.91 (+/- 0.06)","0.91 (+/- 0.05)","0.95 (+/- 0.04)"
"14","Gemini Pro Vision","P8","0.51 (+/- 0.07)","0.6 (+/- 0.05)","0.55 (+/- 0.05)","0.16 (+/- 0.12)","0.26 (+/- 0.09)","0.14 (+/- 0.1)","0.87 (+/- 0.08)","0.93 (+/- 0.04)","0.95 (+/- 0.04)"
