"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",117,0.785076923076923,0.700854700854701,0.863247863247863,0.0459801683774605,0,0.160166666666667,0.948117494787318,0.898876404494382,0.98925017158545,0.159758585335316,0,0.571428571428571,0.0459801683774605,0,0.160166666666667,0.114283624729217,0.0571428571428571,0.25,0.497048831582389,0.456289051235221,0.558539205155747,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",365,0.665895890410959,0.616438356164384,0.715068493150685,0.377075348272792,0.284204028589993,0.474381188118812,0.763900134637512,0.711453667105841,0.81413687056438,0.351733180648812,0.264705882352941,0.448633177570093,0.377075348272792,0.284204028589993,0.474381188118812,0.362816949088994,0.27805070549578,0.449369463135983,0.570487741455152,0.516554739444964,0.624896497790578,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",232,0.757758620689655,0.702586206896552,0.810344827586207,0.0547115180940013,0,0.122448979591837,0.97702675437607,0.953488372093023,0.994623655913978,0.426244555362938,0,0.857142857142857,0.0547115180940013,0,0.122448979591837,0.10049698838184,0.0307692307692308,0.206896551724138,0.515869136235036,0.48738552317206,0.552843744883821,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",120,0.69205,0.608333333333333,0.775,0.0567594699953671,0,0.148962765957447,0.94159029529589,0.8875,0.987955393000574,0.277290496268437,0,0.666666666666667,0.0567594699953671,0,0.148962765957447,0.108304269853213,0.0425531914893617,0.231661129568106,0.499174882645629,0.454733060004144,0.54789530107111,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",478,0.604638075313808,0.560669456066946,0.646495815899582,0.520167799145568,0.433783025922233,0.606932471264368,0.63509075783985,0.58636907530337,0.68267492795389,0.339633613062687,0.27536231884058,0.405019927536232,0.520167799145568,0.433783025922233,0.606932471264368,0.410220255967989,0.343632404477561,0.479301461778097,0.577629278492709,0.526551963088377,0.627476477740573,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",616,0.560943181818182,0.521103896103896,0.600649350649351,0.598783984310345,0.526286386356954,0.67456347333648,0.547480887273673,0.501052915766739,0.596039059918691,0.320681104283152,0.271843845702743,0.36935110495919,0.598783984310345,0.526286386356954,0.67456347333648,0.417159253630315,0.363636363636364,0.468453433737092,0.573132435792009,0.531879027253188,0.614651687357104,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",607,0.738579901153212,0.705107084019769,0.772693574958814,0.317911519016333,0.244586769608703,0.393348484848485,0.880919920673835,0.849336736643957,0.911639477239857,0.47464880501527,0.377739273927393,0.580645161290323,0.317911519016333,0.244586769608703,0.393348484848485,0.379835032246975,0.30202947845805,0.456379486431281,0.599415719845084,0.56049903829324,0.640719107869307,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",610,0.767437704918033,0.732786885245902,0.8,0.271179725262966,0.199940119760479,0.340173025732032,0.936742478381065,0.912472647702407,0.957589285714286,0.593837015620392,0.466666666666667,0.704918032786885,0.271179725262966,0.199940119760479,0.340173025732032,0.371232630128826,0.282252894954508,0.450473235881796,0.603961101822015,0.566008024762225,0.640929065491456,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",577,0.649077989601387,0.613474870017331,0.686351819757366,0.649959028844271,0.570552147239264,0.727779535864979,0.648784073851067,0.605496996117726,0.693496282622318,0.398360673418754,0.342514385221078,0.45901825633383,0.649959028844271,0.570552147239264,0.727779535864979,0.493328993798711,0.436538773085646,0.554163653141133,0.649371551347669,0.60690580153257,0.693872812847223,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",603,0.698469320066335,0.665008291873963,0.734660033167496,0.522292245050951,0.443035850819811,0.596159638554217,0.759713133457255,0.719724093500801,0.79956570155902,0.430562626393273,0.359347844251337,0.505437801932367,0.522292245050951,0.443035850819811,0.596159638554217,0.471303396412507,0.404603307744206,0.536861912846633,0.641002689254103,0.599010546100346,0.686207456990028,"Overall","Overall"
"13","Gemini Pro Vision","drop","P5",612,0.683959150326797,0.647058823529412,0.718995098039216,0.618285040636188,0.541922128621327,0.695907420578473,0.706738852760558,0.661045162796126,0.746608577351645,0.423070967270818,0.362783430232558,0.485618952285619,0.618285040636188,0.541922128621327,0.695907420578473,0.5017526702104,0.441624365482234,0.561864577889686,0.662511946698373,0.618970645055505,0.704990915934993,"Overall","Overall"
"14","Gemini Pro Vision","drop","P6",612,0.71033660130719,0.674795751633987,0.746732026143791,0.548280584896291,0.471426296633303,0.633345070422535,0.766173210279714,0.725262123197903,0.806239752641804,0.446751589334498,0.376272306243132,0.514566676185037,0.548280584896291,0.471426296633303,0.633345070422535,0.491519317651915,0.428560018256504,0.557750185322461,0.657226897588002,0.615461493356434,0.702203392766411,"Overall","Overall"
"15","Gemini Pro Vision","drop","P7",611,0.686163666121113,0.648076923076923,0.725040916530278,0.69607807627157,0.620223025919229,0.76713125199108,0.682721691797081,0.633692909031496,0.724677863436123,0.432492178188835,0.369914429186309,0.493883553421369,0.69607807627157,0.620223025919229,0.76713125199108,0.532873609485909,0.472145314204212,0.587998188405797,0.689399884034326,0.644551645844651,0.731210718878072,"Overall","Overall"
"16","Gemini Pro Vision","drop","P8",612,0.69753431372549,0.658455882352941,0.735294117647059,0.514613779575724,0.432736276174307,0.593779667721519,0.760463512693071,0.717938496583144,0.799560810810811,0.425123036205289,0.353830845771144,0.497513050510992,0.514613779575724,0.432736276174307,0.593779667721519,0.464914605417139,0.396058441558442,0.529577464788732,0.637538646134398,0.591402376587292,0.68213906183801,"Overall","Overall"
"17","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","V-VI"
"18","GPT-4 Vision","drop","P2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","V-VI"
"19","GPT-4 Vision","drop","P3",43,0.768883720930233,0.627906976744186,0.883720930232558,0.115929882535765,0,0.4,0.942457916673028,0.852941176470588,1,0.337680413234211,0,1,0.115929882535765,0,0.4,0.252281094883832,0.117647058823529,0.545454545454545,0.529193899604397,0.441176470588235,0.678161903966132,"skin_tone","V-VI"
"20","GPT-4 Vision","drop","P4",114,0.657122807017544,0.56140350877193,0.736842105263158,0.356541096416328,0.178454968944099,0.548387096774194,0.755709075859369,0.662787195292799,0.840010638297872,0.324126444192993,0.16,0.5,0.356541096416328,0.178454968944099,0.548387096774194,0.335893903990175,0.172358767424798,0.5,0.556125086137849,0.454658655520725,0.656268168604651,"skin_tone","V-VI"
"21","GPT-4 Vision","drop","P5",87,0.723586206896552,0.632183908045977,0.816091954022989,0.12500105832803,0,0.275909961685824,0.952442680687375,0.90137323943662,1,0.499807503318035,0,1,0.12500105832803,0,0.275909961685824,0.206419053639009,0.0689655172413793,0.4,0.538721869507703,0.470577260755048,0.617149758454106,"skin_tone","V-VI"
"22","GPT-4 Vision","drop","P6",44,0.704590909090909,0.567613636363636,0.840909090909091,0.075315353115237,0,0.25,0.968782790217722,0.896551724137931,1,0.497919741949593,0,1,0.075315353115237,0,0.25,0.196162352668359,0.0952380952380952,0.4,0.522049071666479,0.46292735042735,0.615384615384615,"skin_tone","V-VI"
"23","GPT-4 Vision","drop","P7",161,0.57595652173913,0.503105590062112,0.645962732919255,0.579326475766521,0.432417076167076,0.725012254901961,0.574650956833199,0.48615883999378,0.66116035723807,0.332393613031877,0.226666666666667,0.443073136427567,0.579326475766521,0.432417076167076,0.725012254901961,0.420259491493846,0.305057627118644,0.533333333333333,0.57698871629986,0.492205879180927,0.658294119189761,"skin_tone","V-VI"
"24","GPT-4 Vision","drop","P8",190,0.4937,0.421052631578947,0.563157894736842,0.509419818113618,0.368356867779204,0.657142857142857,0.488676017705038,0.410927987062405,0.564949619346171,0.236108650735707,0.152173913043478,0.320388349514563,0.509419818113618,0.368356867779204,0.657142857142857,0.321211571725545,0.217044573643411,0.421721501390176,0.499047917909328,0.417936175145734,0.581426283749768,"skin_tone","V-VI"
"25","Gemini Pro Vision","drop","P1",179,0.711608938547486,0.64804469273743,0.776536312849162,0.193261623391204,0.0731707317073171,0.31578947368421,0.864439680069037,0.805525362318841,0.915506397161596,0.29536348989789,0.128931451612903,0.470665634674923,0.193261623391204,0.0731707317073171,0.31578947368421,0.231147249065463,0.0967741935483871,0.359578191195432,0.528850651730121,0.464922161172161,0.596542654049872,"skin_tone","V-VI"
"26","Gemini Pro Vision","drop","P2",179,0.748994413407821,0.681564245810056,0.815642458100559,0.169323224260239,0.0625,0.282608695652174,0.919354461170801,0.869565217391304,0.96296977124183,0.382493028281988,0.166666666666667,0.6,0.169323224260239,0.0625,0.282608695652174,0.231859604434932,0.0909090909090909,0.368461538461538,0.54433884271552,0.487136689000448,0.606760030483035,"skin_tone","V-VI"
"27","Gemini Pro Vision","drop","P3",165,0.545321212121212,0.472727272727273,0.624242424242424,0.524888787859356,0.378378378378378,0.666666666666667,0.551717000623879,0.461507936507937,0.633601750139639,0.273790850742239,0.178060516733137,0.380968045112782,0.524888787859356,0.378378378378378,0.666666666666667,0.358018844218428,0.252195945945946,0.470588235294118,0.538302894241618,0.456602459043865,0.628695115121915,"skin_tone","V-VI"
"28","Gemini Pro Vision","drop","P4",177,0.633406779661017,0.564971751412429,0.706214689265537,0.339850806960125,0.195121951219512,0.48719512195122,0.721750941443411,0.64187512894574,0.795458692767087,0.268606054454359,0.148148148148148,0.396637931034483,0.339850806960125,0.195121951219512,0.48719512195122,0.297648037495643,0.172819593787336,0.421081871345029,0.530800874201768,0.449637290530436,0.613271858799927,"skin_tone","V-VI"
"29","Gemini Pro Vision","drop","P5",180,0.594505555555556,0.522222222222222,0.666666666666667,0.416318283466892,0.272727272727273,0.567567567567568,0.647589630548705,0.568161669890393,0.72348461656207,0.259922328323683,0.158730158730159,0.373134328358209,0.416318283466892,0.272727272727273,0.567567567567568,0.317951890473625,0.205607476635514,0.43859649122807,0.531953957007799,0.450998021955649,0.62582399293513,"skin_tone","V-VI"
"30","Gemini Pro Vision","drop","P6",180,0.639761111111111,0.572222222222222,0.705694444444444,0.36306752833697,0.209242181234964,0.5,0.721335595612975,0.64624787414966,0.789124597207304,0.277885433948643,0.163265306122449,0.403856382978723,0.36306752833697,0.209242181234964,0.5,0.312580940093802,0.18420296430732,0.436392045454545,0.542201561974973,0.464094057441917,0.624397461365547,"skin_tone","V-VI"
"31","Gemini Pro Vision","drop","P7",180,0.600861111111111,0.527777777777778,0.672222222222222,0.518006660467752,0.365853658536585,0.666666666666667,0.62526563517746,0.541968949090283,0.704233354673495,0.289430425081417,0.189836727206017,0.394789055973266,0.518006660467752,0.365853658536585,0.666666666666667,0.369257094615645,0.257400355420157,0.481216727951265,0.571636147822606,0.482400263693116,0.656033909574468,"skin_tone","V-VI"
"32","Gemini Pro Vision","drop","P8",180,0.656288888888889,0.588888888888889,0.716805555555555,0.389818329013568,0.235294117647059,0.538513513513514,0.735139817856515,0.657142857142857,0.804347826086957,0.303005629452274,0.178571428571429,0.425925925925926,0.389818329013568,0.235294117647059,0.538513513513514,0.33844763872571,0.211733746130031,0.455487977369165,0.562479073435042,0.481504915038335,0.640283549120812,"skin_tone","V-VI"
"33","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","I-II"
