"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",9,0.668777777777778,0.333333333333333,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",9,0.665777777777778,0.333333333333333,0.888888888888889,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",9,0.669444444444444,0.333333333333333,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",9,0.664,0.333333333333333,0.888888888888889,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",9,0.897666666666667,0.666666666666667,1,0.694089218421181,0,1,1,1,1,1,1,1,0.694089218421181,0,1,0.827983316841714,0.5,1,0.847044609210591,0.5,1,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",9,0.672666666666667,0.333333333333333,0.888888888888889,0.337951490119857,0,1,0.843135198690754,0.5,1,0.518510242085661,0,1,0.337951490119857,0,1,0.527493491394837,0.285714285714286,0.857142857142857,0.59064582421324,0.3125,0.9375,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",9,0.668333333333333,0.333333333333333,0.891666666666664,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",9,0.669666666666667,0.333333333333333,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",9,0.777444444444444,0.444444444444444,1,0.669119022996996,0,1,0.834154365079365,0.5,1,0.662266549330204,0,1,0.669119022996996,0,1,0.686398900724743,0.333333333333333,1,0.751621977643177,0.375,1,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",9,0.893888888888889,0.666666666666667,1,0.67237143832943,0,1,1,1,1,1,1,1,0.67237143832943,0,1,0.826281622673956,0.4,1,0.836185719164715,0.5,1,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",9,0.885555555555556,0.666666666666667,1,0.655221386800334,0,1,1,1,1,1,1,1,0.655221386800334,0,1,0.809007927757928,0.5,1,0.827610693400167,0.5,1,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",9,0.774888888888889,0.555555555555556,1,0.666486143637783,0,1,0.828295634920635,0.5,1,0.649636886484379,0,1,0.666486143637783,0,1,0.680781600064111,0.333333333333333,1,0.747272028688525,0.375,1,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",9,0.657,0.333333333333333,1,0.676466422466422,0,1,0.647988492063492,0.25,1,0.499566593504469,0,1,0.676466422466422,0,1,0.584648259593555,0.279464285714286,1,0.662272893772894,0.3125,1,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",9,0.671111111111111,0.333333333333333,1,0.330720390720391,0,1,0.840619444444444,0.5,1,0.528276515151515,0,1,0.330720390720391,0,1,0.527093002093002,0.25,1,0.585278998778999,0.3125,0.9375,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",3,0.338333333333333,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"16","GPT-4 Vision","drop","P4",3,0.324333333333333,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"17","GPT-4 Vision","drop","P5",3,0.327333333333333,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"18","GPT-4 Vision","drop","P6",3,0.337666666666667,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"19","GPT-4 Vision","drop","P7",3,0.678666666666667,0,1,0.506966213862766,0,1,1,1,1,1,1,1,0.506966213862766,0,1,0.781165501165501,0.5,1,0.747372372372372,0.5,1,"skin_tone","V-VI"
"20","GPT-4 Vision","drop","P8",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,"skin_tone","V-VI"
"21","Gemini Pro Vision","drop","P1",3,0.335333333333333,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"22","Gemini Pro Vision","drop","P2",3,0.332333333333333,0,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"skin_tone","V-VI"
"23","Gemini Pro Vision","drop","P3",3,0.675666666666667,0,1,0.503783969728242,0,1,1,1,1,1,1,1,0.503783969728242,0,1,0.790118203309693,0.5,1,0.747835497835498,0.5,1,"skin_tone","V-VI"
"24","Gemini Pro Vision","drop","P4",3,0.674666666666667,0,1,0.507261410788382,0,1,1,1,1,1,1,1,0.507261410788382,0,1,0.787230046948357,0.5,1,0.753676470588235,0.5,1,"skin_tone","V-VI"
"25","Gemini Pro Vision","drop","P5",3,0.671333333333333,0,1,0.5141065830721,0,1,1,1,1,1,1,1,0.5141065830721,0,1,0.789498359118612,0.5,1,0.762724550898204,0.5,1,"skin_tone","V-VI"
"26","Gemini Pro Vision","drop","P6",3,0.660333333333333,0,1,0.494855967078189,0,1,1,1,1,1,1,1,0.494855967078189,0,1,0.782247403210576,0.5,1,0.746705710102489,0.5,1,"skin_tone","V-VI"
"27","Gemini Pro Vision","drop","P7",3,0.326,0,1,0.498256624825662,0,1,0,0,0,0.488145048814505,0,1,0.498256624825662,0,1,0.616690647482014,0.5,1,0.250373692077728,0,0.5,"skin_tone","V-VI"
"28","Gemini Pro Vision","drop","P8",3,0.672,0,1,0.496556473829201,0,1,1,1,1,1,1,1,0.496556473829201,0,1,0.792860588519054,0.5,1,0.744573082489146,0.5,1,"skin_tone","V-VI"
"29","GPT-4 Vision","drop","P3",3,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","III-IV"
"30","GPT-4 Vision","drop","P4",3,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","III-IV"
"31","GPT-4 Vision","drop","P5",3,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin_tone","III-IV"
