"","Model","PromptID","Balanced.Accuracy_CI_Overall","Sensitivity_CI_Overall","Specificity_CI_Overall"
"1","GPT-4 Vision","P1","NA (+/- NA)","NA (+/- NA)","NA (+/- NA)"
"2","GPT-4 Vision","P2","NA (+/- NA)","NA (+/- NA)","1 (+/- 0)"
"3","GPT-4 Vision","P3","0.5 (+/- 0.04)","0.05 (+/- 0.05)","0.95 (+/- 0.05)"
"4","GPT-4 Vision","P4","0.57 (+/- 0.05)","0.38 (+/- 0.09)","0.76 (+/- 0.05)"
"5","GPT-4 Vision","P5","0.52 (+/- 0.03)","0.05 (+/- 0.05)","0.98 (+/- 0.02)"
"6","GPT-4 Vision","P6","0.5 (+/- 0.04)","0.06 (+/- 0.06)","0.94 (+/- 0.05)"
"7","GPT-4 Vision","P7","0.58 (+/- 0.05)","0.52 (+/- 0.09)","0.64 (+/- 0.05)"
"8","GPT-4 Vision","P8","0.57 (+/- 0.04)","0.6 (+/- 0.07)","0.55 (+/- 0.05)"
"9","Gemini Pro Vision","P1","0.6 (+/- 0.04)","0.31 (+/- 0.07)","0.88 (+/- 0.03)"
"10","Gemini Pro Vision","P2","0.6 (+/- 0.04)","0.27 (+/- 0.08)","0.94 (+/- 0.02)"
"11","Gemini Pro Vision","P3","0.65 (+/- 0.04)","0.64 (+/- 0.07)","0.67 (+/- 0.04)"
"12","Gemini Pro Vision","P4","0.64 (+/- 0.04)","0.52 (+/- 0.08)","0.76 (+/- 0.04)"
"13","Gemini Pro Vision","P5","0.66 (+/- 0.04)","0.62 (+/- 0.08)","0.71 (+/- 0.04)"
"14","Gemini Pro Vision","P6","0.66 (+/- 0.04)","0.55 (+/- 0.08)","0.77 (+/- 0.04)"
"15","Gemini Pro Vision","P7","0.69 (+/- 0.04)","0.7 (+/- 0.07)","0.68 (+/- 0.04)"
"16","Gemini Pro Vision","P8","0.64 (+/- 0.05)","0.52 (+/- 0.08)","0.76 (+/- 0.04)"
