"","Model","PromptID","Balanced.Accuracy_CI_Overall","Sensitivity_CI_Overall","Specificity_CI_Overall"
"1","GPT-4 Vision","P4","0.55 (+/- 0.06)","0.36 (+/- 0.12)","0.74 (+/- 0.07)"
"2","GPT-4 Vision","P7","0.56 (+/- 0.07)","0.49 (+/- 0.13)","0.64 (+/- 0.07)"
"3","GPT-4 Vision","P8","0.59 (+/- 0.07)","0.59 (+/- 0.13)","0.58 (+/- 0.06)"
"4","Gemini Pro Vision","P1","0.57 (+/- 0.06)","0.25 (+/- 0.1)","0.9 (+/- 0.04)"
"5","Gemini Pro Vision","P2","0.58 (+/- 0.05)","0.23 (+/- 0.1)","0.93 (+/- 0.04)"
"6","Gemini Pro Vision","P3","0.65 (+/- 0.07)","0.62 (+/- 0.12)","0.67 (+/- 0.07)"
"7","Gemini Pro Vision","P4","0.63 (+/- 0.07)","0.49 (+/- 0.13)","0.77 (+/- 0.06)"
"8","Gemini Pro Vision","P5","0.64 (+/- 0.08)","0.59 (+/- 0.14)","0.68 (+/- 0.07)"
"9","Gemini Pro Vision","P6","0.62 (+/- 0.07)","0.5 (+/- 0.13)","0.75 (+/- 0.06)"
"10","Gemini Pro Vision","P7","0.66 (+/- 0.07)","0.64 (+/- 0.11)","0.68 (+/- 0.06)"
"11","Gemini Pro Vision","P8","0.61 (+/- 0.07)","0.45 (+/- 0.13)","0.76 (+/- 0.06)"
