"","Model","PromptID","Balanced.Accuracy_CI_V-VI","Balanced.Accuracy_CI_I-II","Balanced.Accuracy_CI_III-IV","Sensitivity_CI_V-VI","Sensitivity_CI_I-II","Sensitivity_CI_III-IV","Specificity_CI_V-VI","Specificity_CI_I-II","Specificity_CI_III-IV"
"1","GPT-4 Vision","P1","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)"
"2","GPT-4 Vision","P2","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","NaN (+/- NA)","1 (+/- 0)"
"3","GPT-4 Vision","P3","0.53 (+/- 0.09)","0.48 (+/- 0.04)","0.47 (+/- 0.04)","0.12 (+/- 0.12)","0 (+/- 0)","0 (+/- 0)","0.94 (+/- 0.09)","0.97 (+/- 0.08)","0.94 (+/- 0.09)"
"4","GPT-4 Vision","P4","0.56 (+/- 0.1)","0.55 (+/- 0.1)","0.6 (+/- 0.09)","0.36 (+/- 0.18)","0.36 (+/- 0.18)","0.4 (+/- 0.15)","0.76 (+/- 0.09)","0.74 (+/- 0.09)","0.8 (+/- 0.08)"
"5","GPT-4 Vision","P5","0.54 (+/- 0.07)","0.5 (+/- 0)","0.49 (+/- 0.02)","0.13 (+/- 0.13)","0 (+/- 0)","0 (+/- 0)","0.95 (+/- 0.05)","1 (+/- 0)","0.98 (+/- 0.04)"
"6","GPT-4 Vision","P6","0.52 (+/- 0.06)","0.48 (+/- 0.04)","0.48 (+/- 0.1)","0.08 (+/- 0.08)","0 (+/- 0)","0.09 (+/- 0.09)","0.97 (+/- 0.07)","0.97 (+/- 0.08)","0.88 (+/- 0.14)"
"7","GPT-4 Vision","P7","0.58 (+/- 0.08)","0.6 (+/- 0.09)","0.56 (+/- 0.08)","0.58 (+/- 0.15)","0.56 (+/- 0.16)","0.44 (+/- 0.15)","0.57 (+/- 0.09)","0.65 (+/- 0.09)","0.68 (+/- 0.08)"
"8","GPT-4 Vision","P8","0.5 (+/- 0.08)","0.62 (+/- 0.08)","0.6 (+/- 0.07)","0.51 (+/- 0.14)","0.71 (+/- 0.13)","0.58 (+/- 0.12)","0.49 (+/- 0.08)","0.53 (+/- 0.08)","0.61 (+/- 0.07)"
"9","Gemini Pro Vision","P1","0.53 (+/- 0.06)","0.6 (+/- 0.07)","0.64 (+/- 0.07)","0.19 (+/- 0.12)","0.29 (+/- 0.13)","0.41 (+/- 0.12)","0.86 (+/- 0.06)","0.91 (+/- 0.05)","0.87 (+/- 0.06)"
"10","Gemini Pro Vision","P2","0.54 (+/- 0.06)","0.58 (+/- 0.05)","0.65 (+/- 0.06)","0.17 (+/- 0.11)","0.19 (+/- 0.1)","0.38 (+/- 0.11)","0.92 (+/- 0.05)","0.96 (+/- 0.03)","0.92 (+/- 0.05)"
"11","Gemini Pro Vision","P3","0.54 (+/- 0.08)","0.65 (+/- 0.08)","0.72 (+/- 0.06)","0.52 (+/- 0.15)","0.6 (+/- 0.15)","0.76 (+/- 0.11)","0.55 (+/- 0.09)","0.7 (+/- 0.08)","0.68 (+/- 0.08)"
"12","Gemini Pro Vision","P4","0.53 (+/- 0.08)","0.62 (+/- 0.08)","0.72 (+/- 0.06)","0.34 (+/- 0.14)","0.48 (+/- 0.15)","0.66 (+/- 0.11)","0.72 (+/- 0.08)","0.77 (+/- 0.07)","0.78 (+/- 0.07)"
"13","Gemini Pro Vision","P5","0.53 (+/- 0.08)","0.69 (+/- 0.09)","0.72 (+/- 0.06)","0.42 (+/- 0.14)","0.65 (+/- 0.15)","0.71 (+/- 0.11)","0.65 (+/- 0.08)","0.73 (+/- 0.06)","0.73 (+/- 0.07)"
"14","Gemini Pro Vision","P6","0.54 (+/- 0.08)","0.69 (+/- 0.08)","0.71 (+/- 0.07)","0.36 (+/- 0.15)","0.59 (+/- 0.13)","0.63 (+/- 0.12)","0.72 (+/- 0.08)","0.78 (+/- 0.06)","0.79 (+/- 0.07)"
"15","Gemini Pro Vision","P7","0.57 (+/- 0.09)","0.71 (+/- 0.07)","0.75 (+/- 0.06)","0.52 (+/- 0.15)","0.67 (+/- 0.13)","0.82 (+/- 0.1)","0.63 (+/- 0.08)","0.74 (+/- 0.07)","0.68 (+/- 0.08)"
"16","Gemini Pro Vision","P8","0.56 (+/- 0.08)","0.63 (+/- 0.09)","0.69 (+/- 0.07)","0.39 (+/- 0.15)","0.48 (+/- 0.15)","0.61 (+/- 0.13)","0.74 (+/- 0.08)","0.78 (+/- 0.06)","0.77 (+/- 0.07)"
