"","Model","PromptID","Balanced.Accuracy_CI_V-VI","Balanced.Accuracy_CI_III-IV","Balanced.Accuracy_CI_I-II","Sensitivity_CI_V-VI","Sensitivity_CI_III-IV","Sensitivity_CI_I-II","Specificity_CI_V-VI","Specificity_CI_III-IV","Specificity_CI_I-II"
"1","GPT-4 Vision","P4","0.5 (+/- 0.11)","0.59 (+/- 0.1)","0.56 (+/- 0.13)","0.3 (+/- 0.19)","0.41 (+/- 0.19)","0.39 (+/- 0.23)","0.7 (+/- 0.12)","0.77 (+/- 0.1)","0.74 (+/- 0.11)"
"2","GPT-4 Vision","P7","0.52 (+/- 0.13)","0.61 (+/- 0.11)","0.58 (+/- 0.14)","0.5 (+/- 0.22)","0.5 (+/- 0.21)","0.5 (+/- 0.24)","0.54 (+/- 0.12)","0.71 (+/- 0.1)","0.66 (+/- 0.11)"
"3","GPT-4 Vision","P8","0.45 (+/- 0.12)","0.62 (+/- 0.11)","0.71 (+/- 0.12)","0.45 (+/- 0.22)","0.63 (+/- 0.2)","0.78 (+/- 0.21)","0.46 (+/- 0.12)","0.62 (+/- 0.12)","0.64 (+/- 0.12)"
"4","Gemini Pro Vision","P1","0.53 (+/- 0.1)","0.6 (+/- 0.1)","0.59 (+/- 0.09)","0.2 (+/- 0.16)","0.34 (+/- 0.19)","0.22 (+/- 0.17)","0.86 (+/- 0.1)","0.86 (+/- 0.09)","0.95 (+/- 0.06)"
"5","Gemini Pro Vision","P2","0.57 (+/- 0.1)","0.62 (+/- 0.1)","0.55 (+/- 0.06)","0.25 (+/- 0.19)","0.33 (+/- 0.19)","0.11 (+/- 0.11)","0.89 (+/- 0.08)","0.91 (+/- 0.08)","0.98 (+/- 0.03)"
"6","Gemini Pro Vision","P3","0.51 (+/- 0.12)","0.71 (+/- 0.11)","0.68 (+/- 0.13)","0.5 (+/- 0.21)","0.75 (+/- 0.19)","0.61 (+/- 0.22)","0.52 (+/- 0.14)","0.68 (+/- 0.11)","0.75 (+/- 0.11)"
"7","Gemini Pro Vision","P4","0.53 (+/- 0.12)","0.69 (+/- 0.11)","0.65 (+/- 0.13)","0.4 (+/- 0.22)","0.58 (+/- 0.21)","0.5 (+/- 0.25)","0.66 (+/- 0.12)","0.8 (+/- 0.09)","0.81 (+/- 0.1)"
"8","Gemini Pro Vision","P5","0.5 (+/- 0.12)","0.69 (+/- 0.12)","0.72 (+/- 0.12)","0.45 (+/- 0.22)","0.67 (+/- 0.21)","0.72 (+/- 0.22)","0.55 (+/- 0.13)","0.71 (+/- 0.11)","0.72 (+/- 0.12)"
"9","Gemini Pro Vision","P6","0.53 (+/- 0.12)","0.69 (+/- 0.12)","0.64 (+/- 0.13)","0.4 (+/- 0.22)","0.62 (+/- 0.2)","0.5 (+/- 0.23)","0.66 (+/- 0.13)","0.76 (+/- 0.11)","0.78 (+/- 0.11)"
"10","Gemini Pro Vision","P7","0.54 (+/- 0.13)","0.71 (+/- 0.1)","0.72 (+/- 0.12)","0.55 (+/- 0.22)","0.75 (+/- 0.18)","0.66 (+/- 0.22)","0.54 (+/- 0.13)","0.66 (+/- 0.11)","0.78 (+/- 0.1)"
"11","Gemini Pro Vision","P8","0.56 (+/- 0.13)","0.66 (+/- 0.11)","0.58 (+/- 0.12)","0.45 (+/- 0.22)","0.58 (+/- 0.21)","0.34 (+/- 0.23)","0.68 (+/- 0.13)","0.74 (+/- 0.11)","0.83 (+/- 0.1)"
