"","Model","PromptID","V-VI","I-II","III-IV"
"1","GPT-4 Vision","P1",0,0,0
"2","GPT-4 Vision","P2",0,0,1
"3","GPT-4 Vision","P3",43,35,39
"4","GPT-4 Vision","P4",114,118,133
"5","GPT-4 Vision","P5",87,73,72
"6","GPT-4 Vision","P6",44,39,37
"7","GPT-4 Vision","P7",161,149,168
"8","GPT-4 Vision","P8",190,201,225
"9","Gemini Pro Vision","P1",179,204,226
"10","Gemini Pro Vision","P2",179,204,228
"11","Gemini Pro Vision","P3",176,203,226
"12","Gemini Pro Vision","P4",178,203,226
"13","Gemini Pro Vision","P5",180,204,228
"14","Gemini Pro Vision","P6",180,204,228
"15","Gemini Pro Vision","P7",180,204,228
"16","Gemini Pro Vision","P8",180,204,228
