"","Model","PromptID","Balanced.Accuracy_CI_Light","Sensitivity_CI_Light","Specificity_CI_Light"
"1","GPT-4 Vision","P1","0.76 (+/- 0.02)","0.99 (+/- 0.01)","0.53 (+/- 0.04)"
"2","GPT-4 Vision","P2","0.74 (+/- 0.02)","0.99 (+/- 0.01)","0.48 (+/- 0.04)"
"3","GPT-4 Vision","P3","0.81 (+/- 0.02)","0.98 (+/- 0.01)","0.65 (+/- 0.04)"
"4","GPT-4 Vision","P4","0.77 (+/- 0.02)","0.99 (+/- 0.01)","0.55 (+/- 0.04)"
"5","GPT-4 Vision","P5","0.78 (+/- 0.02)","0.99 (+/- 0.01)","0.58 (+/- 0.04)"
"6","GPT-4 Vision","P6","0.77 (+/- 0.02)","0.99 (+/- 0.01)","0.56 (+/- 0.04)"
"7","GPT-4 Vision","P7","0.77 (+/- 0.02)","0.99 (+/- 0.01)","0.55 (+/- 0.04)"
"8","GPT-4 Vision","P8","0.77 (+/- 0.02)","0.99 (+/- 0.01)","0.55 (+/- 0.04)"
"9","Gemini Pro Vision","P1","0.83 (+/- 0.02)","0.72 (+/- 0.04)","0.94 (+/- 0.02)"
"10","Gemini Pro Vision","P2","0.8 (+/- 0.02)","0.64 (+/- 0.04)","0.95 (+/- 0.02)"
"11","Gemini Pro Vision","P3","0.78 (+/- 0.02)","0.65 (+/- 0.04)","0.91 (+/- 0.02)"
"12","Gemini Pro Vision","P4","0.77 (+/- 0.02)","0.63 (+/- 0.04)","0.92 (+/- 0.02)"
"13","Gemini Pro Vision","P5","0.67 (+/- 0.02)","0.4 (+/- 0.04)","0.95 (+/- 0.02)"
"14","Gemini Pro Vision","P6","0.74 (+/- 0.02)","0.54 (+/- 0.04)","0.94 (+/- 0.02)"
"15","Gemini Pro Vision","P7","0.77 (+/- 0.02)","0.72 (+/- 0.03)","0.82 (+/- 0.03)"
"16","Gemini Pro Vision","P8","0.77 (+/- 0.02)","0.69 (+/- 0.04)","0.85 (+/- 0.03)"
