"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",100,0.82046,0.74,0.89,0.700216418816066,0.566037735849057,0.833333333333333,0.940944237012941,0.875,1,0.92227294975105,0.829250871080139,1,0.700216418816066,0.566037735849057,0.833333333333333,0.794017224661125,0.696604787493893,0.88421052631579,0.820580327914504,0.748480073719937,0.891364295718287,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",100,0.80883,0.73,0.88,0.658203287701477,0.521716485507246,0.784313725490196,0.959334035630758,0.893598024316109,1,0.941955951314075,0.848484848484849,1,0.658203287701477,0.521716485507246,0.784313725490196,0.772966627727944,0.666477272727273,0.860768284106892,0.808768661666118,0.735089035614246,0.875020032051282,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",100,0.76035,0.68,0.84,0.641897409377088,0.5,0.765957446808511,0.878160370927583,0.782608695652174,0.959183673469388,0.839855710623245,0.714285714285714,0.945981507823613,0.641897409377088,0.5,0.765957446808511,0.725430346336766,0.605263157894737,0.82051282051282,0.760028890152335,0.679137571365832,0.83495592948718,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",100,0.75026,0.66,0.83,0.622094957508418,0.481481481481481,0.758636653895274,0.87850708214188,0.781717171717172,0.962264150943396,0.836692939731532,0.709643817204301,0.947368421052632,0.622094957508418,0.481481481481481,0.758636653895274,0.711333723079518,0.589673913043478,0.813186813186813,0.750301019825149,0.667251900760304,0.830998800113908,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",100,0.71,0.62,0.8,0.479257791380161,0.340405459654757,0.61672619047619,0.942126659467041,0.87037037037037,1,0.89200211806123,0.76,1,0.479257791380161,0.340405459654757,0.61672619047619,0.620512222541104,0.48371449205585,0.740793650793651,0.710692225423601,0.634855479727017,0.788961038961039,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",100,0.73981,0.66,0.82,0.559133003266746,0.42,0.694995203070035,0.920954240493116,0.839233803986711,0.981481481481482,0.875667448167368,0.75,0.971428571428571,0.559133003266746,0.42,0.694995203070035,0.679909459181044,0.558823529411765,0.788767170926795,0.740043621879931,0.661129742962056,0.816608497744263,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",100,0.772,0.69,0.85,0.680226649707081,0.547169811320755,0.800089285714286,0.863201735819003,0.764705882352941,0.952380952380952,0.832061566917036,0.714206349206349,0.941218487394958,0.680226649707081,0.547169811320755,0.800089285714286,0.746471491829408,0.637673196368848,0.840022727272727,0.771714192763042,0.689919887278583,0.849841720779221,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",100,0.71053,0.62,0.8,0.620305133702,0.490556788753237,0.75,0.800594583832872,0.68412653975364,0.901960784313726,0.757154067028224,0.617021276595745,0.878048780487805,0.620305133702,0.490556788753237,0.75,0.679577634493933,0.565217391304348,0.780968801313629,0.710449858767436,0.623207737640511,0.794465074267362,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",100,0.81934,0.73,0.9,0.698230975444337,0.56,0.829797270172621,0.940851477757666,0.865384615384615,1,0.922205812926426,0.824963235294118,1,0.698230975444337,0.56,0.829797270172621,0.792731071965718,0.685694716242661,0.88659793814433,0.819541226601002,0.741670012043356,0.895047169811321,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",100,0.8095,0.73,0.88,0.659482827560284,0.52,0.787290033594625,0.959566320410515,0.893598024316109,1,0.94230848201283,0.848484848484849,1,0.659482827560284,0.52,0.787290033594625,0.773754829126576,0.666666666666667,0.867965545529122,0.8095245739854,0.735277882730772,0.880010869565217,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",100,0.76043,0.68,0.84,0.638042308198467,0.509433962264151,0.764705882352941,0.882852437588946,0.78843085106383,0.962281621243885,0.845031817905498,0.714285714285714,0.953488372093023,0.638042308198467,0.509433962264151,0.764705882352941,0.72495388729681,0.611748366013072,0.822285223367698,0.760447372893706,0.675854360210564,0.84,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",100,0.75044,0.66,0.82025,0.620550155608236,0.480729166666667,0.75,0.879042438615327,0.780475609756098,0.962314690026954,0.835282083823213,0.705802861685215,0.950030487804878,0.620550155608236,0.480729166666667,0.75,0.709687529445506,0.586666666666667,0.804885967690846,0.749796297111781,0.667198745348616,0.826127616995074,"Overall","Overall"
"13","Gemini Pro Vision","drop","P5",100,0.70775,0.62,0.79,0.475925954081146,0.333333333333333,0.612244897959184,0.9412652165612,0.87037037037037,1,0.891672421874655,0.766666666666667,1,0.475925954081146,0.333333333333333,0.612244897959184,0.617456175403978,0.483822386319471,0.739170692431562,0.708595585321173,0.636804721888755,0.786114445778311,"Overall","Overall"
"14","Gemini Pro Vision","drop","P6",100,0.73938,0.65,0.82025,0.562043697190334,0.428571428571429,0.693877551020408,0.917294362251418,0.829787234042553,0.981481481481482,0.871575748449218,0.742857142857143,0.971428571428571,0.562043697190334,0.428571428571429,0.693877551020408,0.680694202987319,0.560975609756098,0.787290033594625,0.739669029720876,0.660224222660515,0.816507711038961,"Overall","Overall"
"15","Gemini Pro Vision","drop","P7",100,0.76748,0.68,0.85,0.675740975195822,0.536944444444444,0.8,0.858888707306939,0.758544061302682,0.950030487804878,0.826787285167421,0.710505093378608,0.937591911764706,0.675740975195822,0.536944444444444,0.8,0.741562829993845,0.629213483146068,0.835194805194805,0.76731484125138,0.682248409525396,0.844043556804496,"Overall","Overall"
"16","Gemini Pro Vision","drop","P8",100,0.71119,0.62,0.8,0.620706649598394,0.479166666666667,0.755555555555556,0.801422772143897,0.693869321922317,0.906976744186046,0.75680676073402,0.622207207207207,0.883770764119601,0.620706649598394,0.479166666666667,0.755555555555556,0.6795651511779,0.556926863572433,0.782608695652174,0.711064710871146,0.623388730492197,0.7996875,"Overall","Overall"
"17","GPT-4 Vision","drop","P1",25,0.8442,0.68,0.96,0.705368174472586,0.384375,1,0.937549913094302,0.785714285714286,1,0.881395421245421,0.571428571428571,1,0.705368174472586,0.384375,1,0.773058389050692,0.5,0.956521739130435,0.821459043783444,0.635364583333333,0.96875,"Brightness","dark"
"18","GPT-4 Vision","drop","P2",25,0.7224,0.56,0.88,0.503657104986517,0.2,0.833333333333333,0.869540791969468,0.666666666666667,1,0.721818598068598,0.333333333333333,1,0.503657104986517,0.2,0.833333333333333,0.581020895275473,0.266666666666667,0.833333333333333,0.686598948477993,0.507331455309396,0.866666666666667,"Brightness","dark"
"19","GPT-4 Vision","drop","P3",25,0.67776,0.48,0.840999999999999,0.497089604594752,0.166666666666667,0.833333333333333,0.800682373057799,0.583333333333333,1,0.62382851902999,0.249519230769231,1,0.497089604594752,0.166666666666667,0.833333333333333,0.539633037505767,0.208947368421053,0.781111111111111,0.648885988826275,0.45,0.845246848739496,"Brightness","dark"
"20","GPT-4 Vision","drop","P4",25,0.67768,0.48,0.84,0.497983256286197,0.2,0.833333333333333,0.796160603001155,0.562326388888889,1,0.617927694037988,0.249305555555556,1,0.497983256286197,0.2,0.833333333333333,0.538867210900637,0.222222222222222,0.782608695652174,0.647071929643676,0.454783442982456,0.836538461538462,"Brightness","dark"
"21","GPT-4 Vision","drop","P5",25,0.72008,0.56,0.88,0.499826690045421,0.2,0.8,0.868473195874473,0.666666666666667,1,0.719644873753697,0.333333333333333,1,0.499826690045421,0.2,0.8,0.575788519202655,0.266666666666667,0.823529411764706,0.684149942959947,0.507352941176471,0.85,"Brightness","dark"
