"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",100,0.75868,0.66975,0.84,0.637154925496646,0.490556788753237,0.782608695652174,0.880650596216473,0.777729885057471,0.96078431372549,0.842302651023321,0.720875726744186,0.948717948717949,0.637154925496646,0.490556788753237,0.782608695652174,0.722984554974998,0.604603376871615,0.823559733171619,0.75890276085656,0.669976762820513,0.838403201297055,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",100,0.74817,0.66,0.83,0.618863871877185,0.470588235294118,0.759259259259259,0.879084514297043,0.777777777777778,0.958333333333333,0.838133229892809,0.702074468085106,0.947368421052632,0.618863871877185,0.470588235294118,0.759259259259259,0.709668787024379,0.585315040650407,0.811881188118812,0.748974193087114,0.663853343271491,0.828269906378825,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",100,0.70898,0.63,0.79,0.47689954698868,0.340425531914894,0.612261356155365,0.939800821713287,0.870350241545894,1,0.887640865235765,0.758620689655172,1,0.47689954698868,0.340425531914894,0.612261356155365,0.617044713526687,0.491703318672531,0.729166666666667,0.708350184350984,0.637373737373737,0.780612304336952,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",100,0.73921,0.65,0.82,0.558988584623325,0.425518617021277,0.688888888888889,0.91880003479867,0.836734693877551,0.981132075471698,0.872868101682085,0.75,0.971428571428571,0.558988584623325,0.425518617021277,0.688888888888889,0.678802180776697,0.560921807747489,0.780012195121951,0.738894309710997,0.658614404918753,0.812121212121212,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",100,0.76956,0.69,0.85,0.68013164402857,0.553507653061225,0.8,0.859198530998208,0.75509241432422,0.952380952380952,0.828295386697546,0.697623862487361,0.94125816993464,0.68013164402857,0.553507653061225,0.8,0.744564167125539,0.639934065934066,0.834956790782034,0.769665087513389,0.690720012239902,0.84361658456486,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",100,0.70894,0.61975,0.8,0.618885218958086,0.48075,0.75,0.798627153428837,0.673913043478261,0.903846153846154,0.755047273831663,0.605247858017136,0.886363636363636,0.618885218958086,0.48075,0.75,0.677990017496074,0.554177235256817,0.786329588014981,0.708756186193461,0.613059248689808,0.7996875,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",100,0.81954,0.74,0.89,0.700363580261869,0.568578431372549,0.818227272727273,0.939659369415885,0.866634615384616,1,0.920867216885899,0.828571428571429,1,0.700363580261869,0.568578431372549,0.818227272727273,0.793751629585345,0.69045566502463,0.876433157532676,0.820011474838877,0.744370993589743,0.886591730228824,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",100,0.80991,0.74,0.88,0.657708625329984,0.521739130434783,0.780540827147402,0.961103383549816,0.89794610151753,1,0.943559285911545,0.84375,1,0.657708625329984,0.521739130434783,0.780540827147402,0.773094765172539,0.666666666666667,0.86316985645933,0.8094060044399,0.738315232378513,0.876160526526736,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",100,0.76007,0.67,0.84,0.639326126932198,0.5,0.775909961685824,0.880735788785504,0.782588932806324,0.962264150943396,0.842946159407037,0.714285714285714,0.94875,0.639326126932198,0.5,0.775909961685824,0.724744515122284,0.605247858017136,0.823559733171619,0.760030957858851,0.676262019230769,0.837217114625472,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",100,0.75015,0.67,0.83,0.620766047884917,0.487121212121212,0.75,0.879990108309552,0.787225322636903,0.960019607843137,0.838649877217058,0.714285714285714,0.944481981981982,0.620766047884917,0.487121212121212,0.75,0.710978729580989,0.599935064935065,0.810170447424489,0.750378078097234,0.675469382052374,0.825200215850955,"Overall","Overall"
