"","Model","PromptID","Balanced.Accuracy_CI_III..0.90.","Balanced.Accuracy_CI_II..91.125.","Balanced.Accuracy_CI_I..126.255.","Sensitivity_CI_III..0.90.","Sensitivity_CI_II..91.125.","Sensitivity_CI_I..126.255.","Specificity_CI_III..0.90.","Specificity_CI_II..91.125.","Specificity_CI_I..126.255."
"1","GPT-4 Vision","P1","0.65 (+/- 0.12)","0.79 (+/- 0.03)","0.7 (+/- 0.05)","1 (+/- 0)","1 (+/- 0.01)","0.96 (+/- 0.1)","0.31 (+/- 0.25)","0.58 (+/- 0.07)","0.45 (+/- 0.05)"
"2","GPT-4 Vision","P2","0.62 (+/- 0.12)","0.78 (+/- 0.03)","0.69 (+/- 0.07)","1 (+/- 0)","1 (+/- 0)","0.91 (+/- 0.13)","0.23 (+/- 0.23)","0.55 (+/- 0.06)","0.47 (+/- 0.05)"
"3","GPT-4 Vision","P3","0.62 (+/- 0.12)","0.81 (+/- 0.03)","0.73 (+/- 0.06)","1 (+/- 0)","1 (+/- 0)","0.95 (+/- 0.1)","0.23 (+/- 0.23)","0.62 (+/- 0.06)","0.5 (+/- 0.05)"
"4","GPT-4 Vision","P4","0.62 (+/- 0.12)","0.8 (+/- 0.03)","0.68 (+/- 0.08)","1 (+/- 0)","1 (+/- 0)","0.87 (+/- 0.16)","0.23 (+/- 0.23)","0.6 (+/- 0.06)","0.49 (+/- 0.05)"
"5","GPT-4 Vision","P5","0.57 (+/- 0.07)","0.73 (+/- 0.03)","0.65 (+/- 0.06)","1 (+/- 0.01)","1 (+/- 0.01)","0.95 (+/- 0.1)","0.15 (+/- 0.15)","0.46 (+/- 0.07)","0.35 (+/- 0.05)"
"6","GPT-4 Vision","P6","0.54 (+/- 0.04)","0.73 (+/- 0.03)","0.67 (+/- 0.07)","1 (+/- 0.01)","1 (+/- 0)","0.91 (+/- 0.13)","0.07 (+/- 0.07)","0.46 (+/- 0.06)","0.43 (+/- 0.05)"
"7","GPT-4 Vision","P7","0.62 (+/- 0.12)","0.78 (+/- 0.03)","0.68 (+/- 0.07)","1 (+/- 0)","1 (+/- 0)","0.91 (+/- 0.13)","0.24 (+/- 0.24)","0.56 (+/- 0.06)","0.45 (+/- 0.05)"
"8","GPT-4 Vision","P8","0.65 (+/- 0.12)","0.79 (+/- 0.03)","0.71 (+/- 0.06)","1 (+/- 0)","1 (+/- 0.01)","0.96 (+/- 0.1)","0.31 (+/- 0.23)","0.59 (+/- 0.06)","0.47 (+/- 0.05)"
"9","Gemini Pro Vision","P1","0.75 (+/- 0.13)","0.88 (+/- 0.03)","0.71 (+/- 0.08)","0.96 (+/- 0.02)","1 (+/- 0.01)","0.87 (+/- 0.15)","0.54 (+/- 0.27)","0.77 (+/- 0.05)","0.56 (+/- 0.05)"
"10","Gemini Pro Vision","P2","0.79 (+/- 0.14)","0.88 (+/- 0.03)","0.74 (+/- 0.05)","0.96 (+/- 0.02)","1 (+/- 0.01)","0.96 (+/- 0.11)","0.62 (+/- 0.29)","0.76 (+/- 0.06)","0.53 (+/- 0.05)"
"11","Gemini Pro Vision","P3","0.74 (+/- 0.15)","0.84 (+/- 0.03)","0.68 (+/- 0.07)","0.96 (+/- 0.02)","1 (+/- 0.01)","0.91 (+/- 0.13)","0.53 (+/- 0.3)","0.69 (+/- 0.06)","0.45 (+/- 0.05)"
"12","Gemini Pro Vision","P4","0.72 (+/- 0.14)","0.83 (+/- 0.03)","0.67 (+/- 0.07)","0.96 (+/- 0.02)","1 (+/- 0.01)","0.91 (+/- 0.12)","0.47 (+/- 0.29)","0.67 (+/- 0.06)","0.43 (+/- 0.05)"
"13","Gemini Pro Vision","P5","0.72 (+/- 0.14)","0.81 (+/- 0.03)","0.63 (+/- 0.08)","0.98 (+/- 0.02)","1 (+/- 0.01)","0.91 (+/- 0.15)","0.46 (+/- 0.28)","0.63 (+/- 0.06)","0.36 (+/- 0.05)"
"14","Gemini Pro Vision","P6","0.76 (+/- 0.13)","0.84 (+/- 0.03)","0.67 (+/- 0.07)","0.99 (+/- 0.01)","1 (+/- 0)","0.91 (+/- 0.14)","0.54 (+/- 0.27)","0.68 (+/- 0.06)","0.42 (+/- 0.05)"
"15","Gemini Pro Vision","P7","0.71 (+/- 0.16)","0.78 (+/- 0.03)","0.62 (+/- 0.07)","0.97 (+/- 0.02)","1 (+/- 0)","0.91 (+/- 0.13)","0.45 (+/- 0.31)","0.56 (+/- 0.06)","0.32 (+/- 0.05)"
"16","Gemini Pro Vision","P8","0.72 (+/- 0.14)","0.8 (+/- 0.03)","0.63 (+/- 0.07)","0.98 (+/- 0.01)","1 (+/- 0)","0.91 (+/- 0.12)","0.46 (+/- 0.27)","0.6 (+/- 0.06)","0.34 (+/- 0.05)"
