"","Model","PromptID","Balanced.Accuracy_CI_50.90","Balanced.Accuracy_CI_91.125","Balanced.Accuracy_CI_126.200","Sensitivity_CI_50.90","Sensitivity_CI_91.125","Sensitivity_CI_126.200","Specificity_CI_50.90","Specificity_CI_91.125","Specificity_CI_126.200"
"1","GPT-4 Vision","P1","0.61 (+/- 0.11)","0.79 (+/- 0.03)","0.69 (+/- 0.08)","0.99 (+/- 0.01)","1 (+/- 0)","0.87 (+/- 0.15)","0.23 (+/- 0.23)","0.57 (+/- 0.06)","0.51 (+/- 0.05)"
"2","GPT-4 Vision","P2","0.65 (+/- 0.12)","0.75 (+/- 0.03)","0.69 (+/- 0.07)","0.99 (+/- 0.01)","1 (+/- 0.01)","0.92 (+/- 0.13)","0.31 (+/- 0.25)","0.5 (+/- 0.06)","0.47 (+/- 0.05)"
"3","GPT-4 Vision","P3","0.64 (+/- 0.12)","0.85 (+/- 0.03)","0.7 (+/- 0.1)","0.98 (+/- 0.02)","0.99 (+/- 0.02)","0.78 (+/- 0.19)","0.31 (+/- 0.23)","0.72 (+/- 0.06)","0.62 (+/- 0.05)"
"4","GPT-4 Vision","P4","0.64 (+/- 0.12)","0.8 (+/- 0.03)","0.72 (+/- 0.07)","0.98 (+/- 0.01)","1 (+/- 0.01)","0.92 (+/- 0.13)","0.31 (+/- 0.23)","0.6 (+/- 0.06)","0.53 (+/- 0.05)"
"5","GPT-4 Vision","P5","0.64 (+/- 0.11)","0.82 (+/- 0.03)","0.71 (+/- 0.08)","0.99 (+/- 0.01)","1 (+/- 0.01)","0.87 (+/- 0.15)","0.3 (+/- 0.23)","0.64 (+/- 0.06)","0.54 (+/- 0.05)"
"6","GPT-4 Vision","P6","0.69 (+/- 0.14)","0.81 (+/- 0.03)","0.72 (+/- 0.07)","0.99 (+/- 0.01)","0.99 (+/- 0.01)","0.91 (+/- 0.14)","0.39 (+/- 0.29)","0.63 (+/- 0.06)","0.52 (+/- 0.05)"
"7","GPT-4 Vision","P7","0.61 (+/- 0.12)","0.79 (+/- 0.03)","0.68 (+/- 0.09)","0.99 (+/- 0.01)","0.99 (+/- 0.02)","0.82 (+/- 0.17)","0.23 (+/- 0.23)","0.59 (+/- 0.06)","0.54 (+/- 0.05)"
"8","GPT-4 Vision","P8","0.65 (+/- 0.12)","0.8 (+/- 0.03)","0.72 (+/- 0.07)","0.99 (+/- 0.01)","0.99 (+/- 0.01)","0.91 (+/- 0.14)","0.31 (+/- 0.23)","0.6 (+/- 0.06)","0.52 (+/- 0.05)"
"9","Gemini Pro Vision","P1","0.86 (+/- 0.02)","0.85 (+/- 0.03)","0.74 (+/- 0.1)","0.71 (+/- 0.05)","0.73 (+/- 0.06)","0.56 (+/- 0.2)","1 (+/- 0)","0.97 (+/- 0.03)","0.92 (+/- 0.03)"
"10","Gemini Pro Vision","P2","0.83 (+/- 0.02)","0.81 (+/- 0.03)","0.73 (+/- 0.11)","0.65 (+/- 0.05)","0.64 (+/- 0.06)","0.52 (+/- 0.21)","1 (+/- 0)","0.98 (+/- 0.02)","0.94 (+/- 0.02)"
"11","Gemini Pro Vision","P3","0.82 (+/- 0.03)","0.8 (+/- 0.03)","0.78 (+/- 0.1)","0.64 (+/- 0.05)","0.65 (+/- 0.06)","0.69 (+/- 0.19)","1 (+/- 0)","0.95 (+/- 0.03)","0.87 (+/- 0.04)"
"12","Gemini Pro Vision","P4","0.78 (+/- 0.09)","0.79 (+/- 0.03)","0.73 (+/- 0.11)","0.64 (+/- 0.05)","0.62 (+/- 0.06)","0.57 (+/- 0.2)","0.92 (+/- 0.17)","0.96 (+/- 0.03)","0.89 (+/- 0.03)"
"13","Gemini Pro Vision","P5","0.7 (+/- 0.02)","0.69 (+/- 0.03)","0.64 (+/- 0.1)","0.4 (+/- 0.05)","0.4 (+/- 0.06)","0.35 (+/- 0.2)","1 (+/- 0)","0.98 (+/- 0.02)","0.93 (+/- 0.03)"
"14","Gemini Pro Vision","P6","0.74 (+/- 0.09)","0.74 (+/- 0.03)","0.74 (+/- 0.11)","0.56 (+/- 0.05)","0.51 (+/- 0.07)","0.56 (+/- 0.23)","0.92 (+/- 0.19)","0.97 (+/- 0.02)","0.91 (+/- 0.03)"
"15","Gemini Pro Vision","P7","0.7 (+/- 0.14)","0.79 (+/- 0.04)","0.77 (+/- 0.09)","0.72 (+/- 0.04)","0.72 (+/- 0.06)","0.74 (+/- 0.17)","0.68 (+/- 0.28)","0.87 (+/- 0.04)","0.8 (+/- 0.04)"
"16","Gemini Pro Vision","P8","0.7 (+/- 0.13)","0.79 (+/- 0.03)","0.76 (+/- 0.1)","0.7 (+/- 0.05)","0.66 (+/- 0.06)","0.7 (+/- 0.2)","0.69 (+/- 0.25)","0.91 (+/- 0.04)","0.82 (+/- 0.04)"
