"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",1250,0.7453792,0.7208,0.7688,0.996720582998919,0.991828043098428,1,0.49442949679534,0.453517549261084,0.535491050823119,0.663104695298085,0.631521519106916,0.692150624244865,0.996720582998919,0.991828043098428,1,0.7962848851789,0.773682269674566,0.817151754394936,0.74557503989713,0.72493152363139,0.766951690806309,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1250,0.74714,0.724,0.7712,0.996632734814989,0.991801243078927,1,0.497473388287861,0.459591380122468,0.534092673630717,0.66493938055934,0.637052492780953,0.695205773568918,0.996632734814989,0.991801243078927,1,0.79757939438863,0.777343621335639,0.818540613110242,0.747053061551425,0.728208613234571,0.7653492387033,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",1250,0.76976,0.7464,0.7936,0.99838305670946,0.995057456734141,1,0.54117226375959,0.500851223722387,0.578634298453891,0.685088151770827,0.656400788687057,0.715247064639723,0.99838305670946,0.995057456734141,1,0.812486747560083,0.792050986732818,0.833659362695948,0.769777660234525,0.750369329127983,0.78897877974622,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",1250,0.7606224,0.7368,0.7832,0.995232940306176,0.988887113951012,1,0.525420808547641,0.487294620138132,0.56154,0.677649335844683,0.64855724764397,0.706974424247524,0.995232940306176,0.988887113951012,1,0.806197444381269,0.785285128360536,0.826900792743381,0.760326874426908,0.741155724122171,0.778647049781783,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",1250,0.6924472,0.6664,0.7184,0.995258494071099,0.990015386841329,1,0.388584550981816,0.352476883673326,0.425608918469218,0.620278876761419,0.590307827086414,0.650651003035352,0.995258494071099,0.990015386841329,1,0.764146455342745,0.740824751717451,0.787166127019739,0.691921522526457,0.673596733386135,0.711094310169167,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",1250,0.7134264,0.68958,0.7384,0.995159546794908,0.988905615786384,1,0.432093061642384,0.392908957550901,0.471063412070245,0.636339800438581,0.605716151435553,0.667010335931087,0.995159546794908,0.988905615786384,1,0.776182715155697,0.753276737026636,0.799258235503161,0.713626304218646,0.693922143322526,0.733477364198564,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",1250,0.7438688,0.7184,0.76722,0.99687504900243,0.991997734627832,1,0.490787363142571,0.450546218487395,0.531401171231023,0.661969450312404,0.631292721052523,0.692392213809079,0.99687504900243,0.991997734627832,1,0.795511472052963,0.773076923076923,0.817135912701612,0.7438312060725,0.723843865551072,0.764199929848968,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",1250,0.755424,0.73118,0.77922,0.99690011509833,0.991882786928519,1,0.51398619409695,0.473844816469963,0.552027993254637,0.672228180688882,0.640125268784382,0.702098094919786,0.99690011509833,0.991882786928519,1,0.802882721445885,0.779915114130865,0.824490807808536,0.75544315459764,0.735319143982826,0.77504185020059,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",1265,0.80181976284585,0.779446640316206,0.823715415019763,0.96924418613853,0.955369392443165,0.982230833066683,0.638168091698107,0.600686500356828,0.674419510251395,0.723619263202596,0.694345734485076,0.752745923353576,0.96924418613853,0.955369392443165,0.982230833066683,0.828519629043515,0.807844540439263,0.848699190505263,0.803706138918318,0.783212651655005,0.823991458332524,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",1267,0.790640094711918,0.767166535122336,0.812174427782163,0.972767321517939,0.958595419303636,0.985601719745223,0.613524276155436,0.57449831361614,0.65054975923921,0.709962268196524,0.679899455654261,0.740316403359882,0.972767321517939,0.958595419303636,0.985601719745223,0.820741838851379,0.799437111801242,0.841695348776769,0.793145798836688,0.772157756643566,0.8119835755751,"Overall","Overall"
