"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",1250,0.7451912,0.7208,0.76802,0.996861459262602,0.992062860175917,1,0.49370352341045,0.453396016519102,0.532061688311688,0.662998539140211,0.633154125286478,0.693686859010481,0.996861459262602,0.992062860175917,1,0.796252653867376,0.774361311143613,0.817626218343461,0.745282491336526,0.725050204237016,0.764914419866082,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1250,0.7475728,0.72478,0.772,0.996814542703348,0.991869587669818,1,0.498292746513523,0.457569657320872,0.538582740461301,0.665225969709875,0.636429842607106,0.694473438045454,0.996814542703348,0.991869587669818,1,0.797842784378063,0.776376633735494,0.818764575607625,0.747553644608436,0.727103062141425,0.768210913117522,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",1250,0.7704656,0.74798,0.7928,0.998434063817453,0.995073485850626,1,0.542319285009113,0.503849624786464,0.580076257786405,0.685853486415641,0.658086516047103,0.715393569989798,0.998434063817453,0.995073485850626,1,0.813048271084837,0.793004722089173,0.833443901964614,0.770376674413283,0.751221973519481,0.7896,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",1250,0.759856,0.73518,0.78322,0.995296513349854,0.988672219770521,1,0.524777271923925,0.484337301376415,0.563568156959256,0.67650059572228,0.645151411739349,0.705948731373823,0.995296513349854,0.988672219770521,1,0.805397589695742,0.782268578878748,0.826035066477966,0.760036892636889,0.739532960636872,0.779845073647821,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",1250,0.691888,0.6672,0.7176,0.99524160961267,0.988541958286674,1,0.388568250771847,0.34886059828751,0.426333490393677,0.619426271082424,0.59009400940094,0.649706854727124,0.99524160961267,0.988541958286674,1,0.763486662341178,0.740829364755015,0.786443402448909,0.691904930192258,0.671712316231042,0.710276386790269,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",1250,0.713464,0.6888,0.73762,0.995272098355402,0.988906057404473,1,0.431945396196263,0.393698267716535,0.471912359550562,0.636399558425721,0.606879120635062,0.665996563573883,0.995272098355402,0.988906057404473,1,0.776263567865978,0.754123981255918,0.798294213025227,0.713608747275832,0.69493386833495,0.73420163556835,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",1250,0.7431448,0.7192,0.7672,0.996855005647823,0.991986535369775,1,0.490028265988542,0.450400235544411,0.528394102405528,0.661026692714032,0.629497986830234,0.690890343410491,0.996855005647823,0.991986535369775,1,0.79482225440569,0.771868481589534,0.816301580193206,0.743441635818182,0.723847118621904,0.762664086805315,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",1250,0.755156,0.7312,0.77922,0.996777436069574,0.991802604616048,1,0.513947902708848,0.476971192185008,0.551353119123539,0.671844821574403,0.642082429501085,0.702774685823044,0.996777436069574,0.991802604616048,1,0.802573736976258,0.781518151815182,0.82457508451017,0.755362669389211,0.736412955325254,0.774714821152541,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",1265,0.802649802371541,0.780237154150198,0.824525691699605,0.969406665846466,0.956024778235306,0.982458920677287,0.640300273207871,0.603515364923382,0.676518649091411,0.724061929602562,0.692778094785918,0.754515417521712,0.969406665846466,0.956024778235306,0.982458920677287,0.828859230879093,0.806136680613668,0.85020149075131,0.804853469527169,0.785214808486187,0.824485808902432,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",1267,0.790834254143646,0.767955801104972,0.813733228097869,0.972426822135555,0.960124401913875,0.984204691719925,0.613921653385272,0.576377952755906,0.652889614992386,0.710442415656667,0.679228436657682,0.740866113344472,0.972426822135555,0.960124401913875,0.984204691719925,0.820942447530949,0.799191546692208,0.842179509575159,0.793174237760413,0.773151398104439,0.813866801875389,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",1266,0.753109794628752,0.72827804107425,0.776461295418641,0.969539071887573,0.955762687676974,0.982039324915809,0.54256678235532,0.505527076131581,0.580188679245283,0.673401997966223,0.642046664405871,0.702199491447064,0.969539071887573,0.955762687676974,0.982039324915809,0.79467806674075,0.770858178677067,0.816092514171764,0.756052927121447,0.737499332358285,0.775766165228383,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",1264,0.74821914556962,0.724683544303797,0.774525316455696,0.97490732871328,0.961359936981535,0.986489315949115,0.525750955696906,0.487129774070655,0.566643532600968,0.668600860098982,0.637985949999072,0.701420081147494,0.97490732871328,0.961359936981535,0.986489315949115,0.793096576823672,0.770150737298129,0.817013067110594,0.750329142205093,0.729802541421215,0.772171697276084,"Overall","Overall"
"13","Gemini Pro Vision","drop","P5",1264,0.720090189873418,0.69620253164557,0.744481803797468,0.982393706648688,0.971010975094977,0.992077007104041,0.463351659526699,0.427018206948331,0.503292727455869,0.641775165175165,0.613295553618134,0.67181521910622,0.982393706648688,0.971010975094977,0.992077007104041,0.776262882105772,0.754443130950333,0.798799855912198,0.722872683087693,0.703965723410059,0.743284994247212,"Overall","Overall"
"14","Gemini Pro Vision","drop","P6",1264,0.751744462025316,0.730181962025316,0.775336234177215,0.9886198420963,0.979557326596918,0.995275961383948,0.519571494385613,0.480789756459906,0.556250247622821,0.668545381705242,0.639989304812834,0.698122000165508,0.9886198420963,0.979557326596918,0.995275961383948,0.797573996679187,0.776118912985957,0.818817771525702,0.754095668240956,0.73329345224372,0.773288383603411,"Overall","Overall"
"15","Gemini Pro Vision","drop","P7",1263,0.696775138558987,0.671417260490895,0.72209026128266,0.9807688154969,0.969204083878584,0.990196078431373,0.418405989837397,0.382350569259962,0.45472341901024,0.623052395037775,0.591752109660792,0.652353769015663,0.9807688154969,0.969204083878584,0.990196078431373,0.761906750640353,0.738472612935768,0.783973141536405,0.699587402667148,0.680745206601756,0.718921836222736,"Overall","Overall"
"16","Gemini Pro Vision","drop","P8",1265,0.711273517786561,0.68695652173913,0.736758893280632,0.987235695798775,0.977454807542465,0.995260663507109,0.442240583960316,0.405315385133769,0.481998797439974,0.63308850763317,0.604293391868061,0.663138574935378,0.987235695798775,0.977454807542465,0.995260663507109,0.771353717640142,0.748892822717049,0.79406578329295,0.714738139879545,0.695638649711707,0.735283456740933,"Overall","Overall"
"17","GPT-4 Vision","drop","P1",377,0.976262599469496,0.960212201591512,0.989389920424403,1,1,1,0.305873420588064,0.0623263888888889,0.571428571428571,0.976011614323719,0.959893048128342,0.989304812834225,1,1,1,0.987845638718458,0.979536152796726,0.994623655913978,0.652936710294032,0.531163194444444,0.785714285714286,"Brightness","III (0-90)"
"18","GPT-4 Vision","drop","P2",377,0.974196286472149,0.957559681697613,0.989389920424403,1,1,1,0.232545984212763,0,0.5,0.973990646917526,0.957104557640751,0.989276139410188,1,1,1,0.986806341658879,0.978082191780822,0.994609164420485,0.616272992106382,0.5,0.75,"Brightness","III (0-90)"
"19","GPT-4 Vision","drop","P3",377,0.973697612732095,0.954907161803713,0.989389920424403,1,1,1,0.240123244228028,0,0.5,0.973476686291592,0.954904163609684,0.989304812834225,1,1,1,0.986541395499322,0.976931945098256,0.994623655913978,0.620061622114014,0.5,0.75,"Brightness","III (0-90)"
"20","GPT-4 Vision","drop","P4",377,0.973488063660477,0.957559681697613,0.989389920424403,1,1,1,0.230456498308119,0,0.5,0.973270589549237,0.956989247311828,0.98921832884097,1,1,1,0.986436264188216,0.978021978021978,0.994579945799458,0.615228249154059,0.5,0.75,"Brightness","III (0-90)"
"21","GPT-4 Vision","drop","P5",377,0.967920424403183,0.949602122015915,0.984084880636605,0.997299121941654,0.991442878309803,1,0.149375340829472,0,0.384615384615385,0.970296764073485,0.951871657754011,0.986559139784946,0.997299121941654,0.991442878309803,1,0.983590776446634,0.973936899862826,0.991957104557641,0.573337231385563,0.497260085804606,0.692307692307692,"Brightness","III (0-90)"
"22","GPT-4 Vision","drop","P6",377,0.965387267904509,0.944297082228117,0.981432360742706,0.997301181488987,0.991666666666667,1,0.0774631597979427,0,0.25,0.967824527798855,0.946946074834923,0.984,0.997301181488987,0.991666666666667,1,0.982318226671027,0.971272229822161,0.990629183400268,0.537382170643465,0.49591280653951,0.623630136986301,"Brightness","III (0-90)"
"23","GPT-4 Vision","drop","P7",377,0.973275862068966,0.954907161803713,0.986737400530504,1,1,1,0.225563281220806,0,0.5,0.973061492063728,0.954666666666667,0.986702127659574,1,1,1,0.986328351302452,0.976807639836289,0.99330655957162,0.612781640610403,0.5,0.75,"Brightness","III (0-90)"
"24","GPT-4 Vision","drop","P8",377,0.976644562334217,0.960212201591512,0.992042440318302,1,1,1,0.313801992043904,0.0833333333333333,0.571428571428571,0.976391643229999,0.96,0.991871014397475,1,1,1,0.988039161747037,0.979591836734694,0.995918919665295,0.656900996021952,0.541666666666667,0.785714285714286,"Brightness","III (0-90)"
"25","Gemini Pro Vision","drop","P1",377,0.944257294429708,0.920424403183024,0.96551724137931,0.958580050071632,0.937149837867051,0.977840865612709,0.540456820222261,0.249519230769231,0.846428571428571,0.983278281776634,0.968838526912181,0.994556465935731,0.958580050071632,0.937149837867051,0.977840865612709,0.970732091299179,0.957627118644068,0.982265872242485,0.749518435146947,0.598844621287803,0.906602316602317,"Brightness","III (0-90)"
"26","Gemini Pro Vision","drop","P2",377,0.946700265251989,0.923076923076923,0.96816976127321,0.958599154461484,0.93646408839779,0.977655187438726,0.609812241294586,0.333333333333333,0.888888888888889,0.985820497706522,0.973833384332925,0.997159090909091,0.958599154461484,0.93646408839779,0.977655187438726,0.971982976624604,0.958981612446959,0.983288068709378,0.784205697878035,0.64061609989046,0.923149433315601,"Brightness","III (0-90)"
"27","Gemini Pro Vision","drop","P3",377,0.941188328912467,0.917771883289125,0.962864721485411,0.95591981557138,0.934242059310552,0.975545135206787,0.531783511893201,0.235180995475113,0.81831550802139,0.982677065019484,0.966292134831461,0.994397759103641,0.95591981557138,0.934242059310552,0.975545135206787,0.969070855529785,0.956028368794326,0.980876915538132,0.743851663732291,0.593440467050062,0.888398472596586,"Brightness","III (0-90)"
"28","Gemini Pro Vision","drop","P4",377,0.946835543766578,0.925663129973475,0.96816976127321,0.964335899953443,0.942775383034797,0.983333333333333,0.457615999029873,0.181818181818182,0.75,0.980272355889555,0.966197183098592,0.994366592815319,0.964335899953443,0.942775383034797,0.983333333333333,0.972201999791604,0.96,0.983695652173913,0.710975949491658,0.570403261549256,0.859993093127662,"Brightness","III (0-90)"
"29","Gemini Pro Vision","drop","P5",377,0.959925729442971,0.938992042440318,0.978779840848806,0.978052114688833,0.961641201264489,0.991735537190083,0.455692591047359,0.2,0.727272727272727,0.98039859391511,0.964088397790055,0.991849474100551,0.978052114688833,0.961641201264489,0.991735537190083,0.979192978534632,0.968188105117566,0.989071038251366,0.716872352868096,0.589093971716436,0.851341281669151,"Brightness","III (0-90)"
"30","Gemini Pro Vision","drop","P6",377,0.970440318302387,0.952254641909814,0.986737400530504,0.986036864727353,0.972677595628415,0.997245179063361,0.536501268935369,0.249519230769231,0.812642045454545,0.983384022760371,0.969157983193277,0.994535519125683,0.986036864727353,0.972677595628415,0.997245179063361,0.984688262453392,0.974928611443955,0.993215739484396,0.761269066831361,0.612732008844814,0.89959223775549,"Brightness","III (0-90)"
"31","Gemini Pro Vision","drop","P7",377,0.955466843501326,0.93368700265252,0.976127320954907,0.972747557395871,0.955794966236955,0.988921193806613,0.469626572661994,0.166666666666667,0.769230769230769,0.980979517760544,0.964666654258487,0.994398150321581,0.972747557395871,0.955794966236955,0.988921193806613,0.976814340379753,0.964936886395512,0.987654320987654,0.721187065028933,0.571203953279425,0.869926789695811,"Brightness","III (0-90)"
"32","Gemini Pro Vision","drop","P8",377,0.96532625994695,0.946949602122016,0.981432360742706,0.983295095418176,0.969529085872576,0.994579945799458,0.463716027470421,0.181439393939394,0.733333333333333,0.980843828721021,0.966759002770083,0.994490358126722,0.983295095418176,0.969529085872576,0.994579945799458,0.98204216762217,0.971986828439241,0.990502035278155,0.723505561444298,0.577853881278539,0.85817707003922,"Brightness","III (0-90)"
"33","GPT-4 Vision","drop","P1",476,0.787758403361345,0.75,0.823529411764706,0.995797790898247,0.986547085201794,1,0.580451756044671,0.51302730865972,0.64487377592434,0.702854350561734,0.653731343283582,0.752239482346575,0.995797790898247,0.986547085201794,1,0.823818413872155,0.789946140035907,0.856699272065514,0.788124773471459,0.755420216367527,0.820524166922868,"Brightness","II (91-125)"
