"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",58,0.691637931034483,0.568965517241379,0.793103448275862,0.209261805403806,0,0.454545454545455,0.844831784899016,0.72093023255814,0.938990332975295,0.300133963121502,0,0.636363636363636,0.209261805403806,0,0.454545454545455,0.250589873757834,0.0833333333333333,0.476190476190476,0.527046795151411,0.411089743589744,0.657544002050581,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",229,0.750008733624454,0.694323144104803,0.803493449781659,0.319479190165217,0.196428571428571,0.44829345531316,0.889620498436342,0.839061532108197,0.929004524886878,0.483777512679445,0.312465277777778,0.640025641025641,0.319479190165217,0.196428571428571,0.44829345531316,0.382349848249228,0.25,0.505129160457029,0.604549844300779,0.537301445023903,0.67036438627252,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",655,0.570152671755725,0.529770992366412,0.610687022900763,0.628648735662026,0.550555149258693,0.696651754751006,0.549486966531932,0.504174278407015,0.596236238768091,0.33050181641898,0.281328055637763,0.382276154956034,0.628648735662026,0.550555149258693,0.696651754751006,0.432754055121784,0.377038535235257,0.485878346269602,0.589067851096979,0.542557109187115,0.630999833687612,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",656,0.550737804878049,0.510670731707317,0.591463414634146,0.702914775790354,0.629139072847682,0.767302396736359,0.497217573841452,0.451879408555497,0.543699173704992,0.329678289041588,0.283162646303169,0.379956527536069,0.702914775790354,0.629139072847682,0.767302396736359,0.448377882705132,0.397704426777588,0.504589576271738,0.600066174815903,0.558323476076389,0.640492615844293,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",656,0.563754573170732,0.522865853658537,0.603658536585366,0.643638388173907,0.568744447969543,0.713415525602624,0.535736421285134,0.489669421487603,0.580382517341235,0.327483846796876,0.276452762923351,0.377584317378558,0.643638388173907,0.568744447969543,0.713415525602624,0.433581072534794,0.376810142023177,0.487140971239981,0.589687404729521,0.544225532936403,0.632115501264489,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",656,0.571582317073171,0.535060975609756,0.611280487804878,0.626540413325411,0.548382238631947,0.700579583089811,0.552212154966874,0.508502790373212,0.597486194201565,0.330295032831263,0.278632904469698,0.384861824222289,0.626540413325411,0.548382238631947,0.700579583089811,0.432041095060956,0.373702857093659,0.484979837260455,0.589376284146143,0.545213654577619,0.633771008382469,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",656,0.56882012195122,0.530487804878049,0.606707317073171,0.62569896043344,0.551278409090909,0.69620253164557,0.548735100799953,0.503209011236451,0.59291335683781,0.328350141432871,0.277430759623861,0.383654126993399,0.62569896043344,0.551278409090909,0.69620253164557,0.430204937511224,0.37392998079735,0.485983170123245,0.587217030616696,0.543656536705949,0.629115086727061,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",655,0.548360305343511,0.511412213740458,0.584770992366412,0.694364981782797,0.628558362369338,0.758625760649087,0.496727334122987,0.454347618562737,0.539570063361285,0.328152045075377,0.283687997670979,0.376389419404125,0.694364981782797,0.628558362369338,0.758625760649087,0.445228296111366,0.393930266520628,0.495682279676143,0.595546157952892,0.557378511311055,0.633937466237998,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",536,0.735205223880597,0.697761194029851,0.770522388059702,0.161393426291138,0.104887106357695,0.218048530416951,0.95572865334553,0.93521505200924,0.975797013720742,0.583977309782262,0.425,0.723404255319149,0.161393426291138,0.104887106357695,0.218048530416951,0.251881242314928,0.170454545454545,0.328905303030303,0.558561039818334,0.527113989849998,0.587872928619632,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",555,0.734832432432432,0.699099099099099,0.772972972972973,0.154144845267746,0.104889006342495,0.210844398000164,0.964265463770678,0.945025523560209,0.982142857142857,0.630257436267079,0.476160714285714,0.787878787878788,0.154144845267746,0.104889006342495,0.210844398000164,0.246820381832767,0.174358974358974,0.324074074074074,0.559205154519212,0.531920578030898,0.587097338935574,"Overall","Overall"
