"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",531,0.56476647834275,0.52165725047081,0.606403013182674,0.603073768418461,0.52438393608074,0.683235399258233,0.549737374192363,0.501246803069054,0.597828888390856,0.344058604746067,0.285700706137968,0.399310954063604,0.603073768418461,0.52438393608074,0.683235399258233,0.437605181006466,0.37734313295305,0.496645039360705,0.576405571305412,0.525854646004062,0.622114638114977,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",531,0.546939736346516,0.506591337099812,0.589453860640301,0.68673250827837,0.613106271609681,0.761913086913087,0.492313207752603,0.444148936170213,0.543371553766625,0.345713293583195,0.291377202094966,0.4,0.68673250827837,0.613106271609681,0.761913086913087,0.459348966021857,0.402842769459582,0.51641776075857,0.589522858015487,0.548178030362891,0.633519540279577,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",531,0.569536723163842,0.525423728813559,0.610169491525424,0.616698205658872,0.537405517762661,0.695680224403927,0.551232486289098,0.5,0.601605379914203,0.348061279799769,0.293231572908174,0.407282605412589,0.616698205658872,0.537405517762661,0.695680224403927,0.444377846101464,0.388035628310063,0.502464653861319,0.583965345973985,0.536946511271959,0.630224609964494,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",531,0.565809792843691,0.523540489642185,0.608286252354049,0.598043719715749,0.514690347970174,0.677668401413983,0.553282219374597,0.506393048424149,0.603121004814623,0.341476231108065,0.28110745565287,0.40234375,0.598043719715749,0.514690347970174,0.677668401413983,0.434153375298166,0.371132778536828,0.495670508119434,0.575662969545173,0.525715562330612,0.621086637679104,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",531,0.565525423728814,0.52165725047081,0.606403013182674,0.598199623078659,0.519736842105263,0.676489203276247,0.552792924768084,0.5,0.602533289495315,0.34251937390201,0.283512253307309,0.401408450704225,0.598199623078659,0.519736842105263,0.676489203276247,0.435008292250591,0.372763602335583,0.490658492669125,0.575496273923371,0.52615046216728,0.620410760701215,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",531,0.543725047080979,0.500941619585687,0.585734463276836,0.678678395803138,0.604736883848198,0.750041946308725,0.491096102770003,0.441,0.543541394007685,0.342391911731117,0.287613000430478,0.396551724137931,0.678678395803138,0.604736883848198,0.750041946308725,0.454581393249075,0.398012456493863,0.509806076276665,0.584887249286571,0.53799159911893,0.629195267939295,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",531,0.734045197740113,0.696798493408663,0.772128060263653,0.160532929298987,0.106640845070423,0.21796357615894,0.95787666467982,0.937819972759313,0.975097282680385,0.598166444509642,0.459336609336609,0.731707317073171,0.160532929298987,0.106640845070423,0.21796357615894,0.252185617911809,0.173900477506911,0.330224117704565,0.559204796989403,0.53048468013468,0.588260568813329,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",531,0.735103578154426,0.696798493408663,0.774011299435028,0.146056993792891,0.0920913639733136,0.203709795321637,0.965446452487323,0.946006342908237,0.981772017045455,0.622740263851547,0.451612903225806,0.787878787878788,0.146056993792891,0.0920913639733136,0.203709795321637,0.235717429465526,0.153821656050955,0.318693009118541,0.555751723140107,0.526141497286479,0.587529378302065,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",531,0.721214689265537,0.683568738229755,0.757062146892655,0.160966294755199,0.10665625,0.220709326544781,0.939605640013469,0.913838120104439,0.961444519687835,0.509590460095351,0.369536613272311,0.647058823529412,0.160966294755199,0.10665625,0.220709326544781,0.243715989794984,0.170190251041315,0.322611367127496,0.550285967384334,0.520524174116885,0.582199421839513,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",531,0.718983050847458,0.67984934086629,0.757062146892655,0.169005347200751,0.112484702797203,0.226681818181818,0.934095523536001,0.909090909090909,0.958344072164948,0.501031326923043,0.370321637426901,0.644444444444444,0.169005347200751,0.112484702797203,0.226681818181818,0.25179071434286,0.174417113893858,0.329899484536082,0.551550435368376,0.521336207188189,0.58387826268291,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",531,0.686928436911488,0.647834274952919,0.725047080979284,0.260885315502976,0.191765713134569,0.333333333333333,0.853727254145286,0.816575165855524,0.889175427739847,0.411255834194768,0.31,0.514039511427778,0.260885315502976,0.191765713134569,0.333333333333333,0.318317559900949,0.243145068145068,0.4,0.557306284824131,0.518697943744426,0.596153847482245,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",531,0.722306967984934,0.68545197740113,0.760828625235405,0.254875699460975,0.188670056358736,0.321923554288866,0.903239034669322,0.87338416068397,0.932335056390977,0.504957358942579,0.391304347826087,0.616438356164384,0.254875699460975,0.188670056358736,0.321923554288866,0.337795120540652,0.261231971882196,0.41434442410538,0.579057367065149,0.543855478773807,0.617090340936753,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",531,0.725056497175141,0.687335216572505,0.764595103578154,0.214659635524664,0.152167033571822,0.28209219858156,0.923924532048589,0.897283343125734,0.95,0.5235829713723,0.387710347296813,0.649122807017544,0.214659635524664,0.152167033571822,0.28209219858156,0.303539777719225,0.224989973262032,0.384635416666667,0.569292083786627,0.534988901548657,0.605713255759038,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",531,0.720706214689266,0.681732580037665,0.75894538606403,0.202223827082313,0.141933196064974,0.272743623283192,0.923378408420368,0.895658133355826,0.95026502672481,0.507776355183801,0.381818181818182,0.631578947368421,0.202223827082313,0.141933196064974,0.272743623283192,0.288259319524424,0.212941919191919,0.371308016877637,0.562801117751341,0.531359373900322,0.597691635556713,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",124,0.491814516129032,0.411088709677419,0.580645161290323,0.497379840782587,0.342822299651568,0.657161654135338,0.489147165207046,0.384615384615385,0.590932282003711,0.300997888700804,0.187473516949153,0.416733870967742,0.497379840782587,0.342822299651568,0.657161654135338,0.372761194263043,0.247416888682961,0.495416903466753,0.493263502994817,0.401168154761905,0.591034319873434,"skin_tone","V-VI"
"16","GPT-4 Vision","drop","P4",124,0.492177419354839,0.403225806451613,0.57258064516129,0.576518857864222,0.416666666666667,0.73687343358396,0.455070135892909,0.354423786919831,0.555590717299578,0.318316438613307,0.211174594738241,0.426872822299652,0.576518857864222,0.416666666666667,0.73687343358396,0.407918875886956,0.288659793814433,0.520342283254765,0.515794496878565,0.41536052183111,0.602990196078431,"skin_tone","V-VI"
"17","GPT-4 Vision","drop","P5",124,0.524032258064516,0.435483870967742,0.604838709677419,0.526392448088297,0.371353383458647,0.687553879310345,0.523027290357315,0.416643258426966,0.619582416070446,0.325369969203374,0.209677419354839,0.446428571428571,0.526392448088297,0.371353383458647,0.687553879310345,0.399798086774078,0.274489164086687,0.51929347826087,0.524709869222806,0.430398073128752,0.618517751814882,"skin_tone","V-VI"
"18","GPT-4 Vision","drop","P6",124,0.484241935483871,0.395161290322581,0.57258064516129,0.501233503782581,0.333333333333333,0.657380952380952,0.476713833284642,0.370350241545894,0.580645161290323,0.298384511680905,0.183333333333333,0.415416666666667,0.501233503782581,0.333333333333333,0.657380952380952,0.371871170781781,0.242363636363636,0.490566037735849,0.488973668533611,0.388094968756733,0.587199576479024,"skin_tone","V-VI"
"19","GPT-4 Vision","drop","P7",124,0.499548387096774,0.419153225806452,0.588709677419355,0.501826409966726,0.352867647058824,0.659751773049645,0.498791882171414,0.395598006644518,0.609771935381691,0.306545401541827,0.2,0.428571428571429,0.501826409966726,0.352867647058824,0.659751773049645,0.378112605554828,0.258823529411765,0.49103305785124,0.50030914606907,0.407824381500852,0.598843056453351,"skin_tone","V-VI"
"20","GPT-4 Vision","drop","P8",124,0.504935483870968,0.411290322580645,0.596774193548387,0.577018634611043,0.428571428571429,0.72972972972973,0.473623462305213,0.361695719046398,0.580246913580247,0.32451293661374,0.212099871959027,0.441176470588235,0.577018634611043,0.428571428571429,0.72972972972973,0.412857550578558,0.291597222222222,0.53448275862069,0.525321048458128,0.428669980867426,0.621786502901805,"skin_tone","V-VI"
"21","Gemini Pro Vision","drop","P1",124,0.710532258064516,0.629032258064516,0.790322580645161,0.182271247588229,0.0651998597475456,0.31578947368421,0.941566732103897,0.885046419098143,0.98780487804878,0.577463221870896,0.272727272727273,0.875,0.182271247588229,0.0651998597475456,0.31578947368421,0.273812614725144,0.113207547169811,0.434940711462451,0.561918989846063,0.500421597917255,0.629549963924964,"skin_tone","V-VI"
"22","Gemini Pro Vision","drop","P2",124,0.700806451612903,0.620967741935484,0.782258064516129,0.154788247430618,0.0526315789473684,0.263157894736842,0.941347936974622,0.886356444188723,0.987951807228916,0.541100204392271,0.25,0.857142857142857,0.154788247430618,0.0526315789473684,0.263157894736842,0.23724802760738,0.0888888888888889,0.377358490566038,0.54806809220262,0.491391548867609,0.604182049929677,"skin_tone","V-VI"
