"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",1250,0.7598328,0.7352,0.78322,0.991992057978049,0.984495522172468,0.998397563897764,0.527815812117287,0.488059938406775,0.565304934761234,0.677393258009117,0.644468313641246,0.708105629801546,0.991992057978049,0.984495522172468,0.998397563897764,0.804941784825006,0.781080681272989,0.826803313765652,0.759903935047668,0.739973945932583,0.778590853321352,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1250,0.7355864,0.7112,0.7608,0.991881847333769,0.983922182352911,0.998333471760797,0.479697276273196,0.440787973924172,0.518278577580903,0.655575985053654,0.62630213370507,0.687373370993903,0.991881847333769,0.983922182352911,0.998333471760797,0.789295689527244,0.766597827192618,0.811818271506325,0.735789561803483,0.715842914513647,0.756020225354574,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",1250,0.8134648,0.792,0.8336,0.975869601648499,0.96195753988547,0.987281903752492,0.651462147763995,0.615014859801008,0.688389681453977,0.73637648459203,0.707563590598912,0.765914150237819,0.975869601648499,0.96195753988547,0.987281903752492,0.839281140002623,0.819422567102222,0.858693073727663,0.813665874706247,0.795424023156671,0.832450716788062,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",1250,0.7689032,0.74718,0.7904,0.985539629250951,0.975038026521061,0.994992483326273,0.550929832277368,0.513890627172855,0.588935162991371,0.688292226302325,0.658885593220339,0.716171617161716,0.985539629250951,0.975038026521061,0.994992483326273,0.810424446412976,0.789471061374366,0.830271949085386,0.768234730764159,0.748678139372932,0.788010840550207,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",1250,0.7822064,0.76,0.80482,0.988606237347725,0.979397781299525,0.995454888766822,0.575635668408961,0.539032605921388,0.614104048959013,0.699811892258277,0.669694685237408,0.73072818174264,0.988606237347725,0.979397781299525,0.995454888766822,0.819411871313229,0.798426945637025,0.840838098769422,0.782120952878343,0.762904354778446,0.801557022918901,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",1250,0.7734848,0.7496,0.796,0.990401606447767,0.982757944026417,0.996875243380062,0.555767096232782,0.51680634656386,0.592298192499828,0.691118862739641,0.659481403940887,0.720725301572759,0.990401606447767,0.982757944026417,0.996875243380062,0.814027098516789,0.791407406704377,0.835363144684471,0.773084351340275,0.752951313481792,0.792213023075078,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",1250,0.768604,0.744,0.792,0.985513552687674,0.975687830200594,0.993730407523511,0.551745093755306,0.51302104337935,0.592139067417492,0.687332824997049,0.657075815040417,0.718092511514827,0.985513552687674,0.975687830200594,0.993730407523511,0.809745964475607,0.78807547002089,0.831186867610035,0.76862932322149,0.748465648443079,0.790092371717166,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",1250,0.7677176,0.744,0.7912,0.987233567991972,0.977541547350123,0.995177042419988,0.548471812777644,0.509538863859976,0.58823761365745,0.685897071237989,0.656761523467783,0.715925289550719,0.987233567991972,0.977541547350123,0.995177042419988,0.80932749686874,0.788112811281128,0.829922271854444,0.767852690384808,0.74770115195706,0.787572418257038,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",1250,0.8264624,0.8056,0.8456,0.715212882479208,0.681818181818182,0.747937464992916,0.937579696951141,0.916789586485124,0.956121384380622,0.919634924035448,0.895461860315417,0.94325119697803,0.715212882479208,0.681818181818182,0.747937464992916,0.804509215044311,0.778984058652706,0.82729291289555,0.826396289715175,0.806599336842461,0.844826969052123,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",1250,0.799072,0.77678,0.82,0.642905281369871,0.603459828124063,0.680449526133521,0.955259276219808,0.937982596139231,0.971385415433145,0.934944468307611,0.911497187991068,0.957400295773304,0.642905281369871,0.603459828124063,0.680449526133521,0.761719026321219,0.73306392640431,0.790572233259473,0.79908227879484,0.779191334987649,0.818998440188006,"Overall","Overall"
