"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",1250,0.8131688,0.79198,0.8344,0.976013549820421,0.96411856474259,0.987014037742193,0.650807177768074,0.614348174247277,0.686305732484076,0.73590456465944,0.706760787839163,0.766558357215018,0.976013549820421,0.96411856474259,0.987014037742193,0.839031369642382,0.819057505172453,0.858895915623162,0.813410363794248,0.794166506981134,0.832066472523494,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",1250,0.7690408,0.74478,0.7928,0.985704630174575,0.975321698723212,0.993846153846154,0.552774553711024,0.513682177664469,0.591916115426629,0.687518516677986,0.656376419739203,0.719110394185486,0.985704630174575,0.975321698723212,0.993846153846154,0.809932009940851,0.787515560675353,0.831973707487827,0.7692395919428,0.749245494979294,0.789248069590474,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",1250,0.7824248,0.7584,0.80482,0.988997522583572,0.980095471715497,0.996694757697893,0.576169977705344,0.537580595301184,0.614336109215017,0.699701820766684,0.666666666666667,0.728428608364444,0.988997522583572,0.980095471715497,0.996694757697893,0.819472994194131,0.795698197215068,0.840004566210046,0.782583750144458,0.762758816662571,0.803142344934594,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",1250,0.7745992,0.75278,0.7976,0.99038756305365,0.98178732441545,0.996937446664251,0.557812323418832,0.520507364775887,0.597119087790194,0.692310164592956,0.665197368747796,0.721805362363659,0.99038756305365,0.98178732441545,0.996937446664251,0.814854147752827,0.795345653661875,0.835840618989334,0.774099943236241,0.754210238838851,0.793924792328506,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",1250,0.7691608,0.7456,0.7928,0.985553086526702,0.975683099501844,0.993752403846154,0.552172820617796,0.513157386317416,0.594821109857131,0.68815500108281,0.657529261071653,0.718294369845011,0.985553086526702,0.975683099501844,0.993752403846154,0.810328189837954,0.788272854068615,0.83258458967835,0.768862953572249,0.748664803444861,0.790225150164424,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",1250,0.7680048,0.74398,0.7928,0.987171692685331,0.977634888178914,0.995215501478073,0.548922430202757,0.508415681071078,0.588819804185661,0.686303008996642,0.654974859718807,0.719053954354689,0.987171692685331,0.977634888178914,0.995215501478073,0.809581205324547,0.78774452444118,0.831832089836922,0.768047061444044,0.746926614430712,0.789045806670863,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",1250,0.8262936,0.804,0.8464,0.715369097338631,0.680302354752974,0.748131571469167,0.937164884662982,0.917590693879965,0.954988062300371,0.919194280933372,0.894286803046809,0.942553718137771,0.715369097338631,0.680302354752974,0.748131571469167,0.804433387958298,0.778312409524508,0.828266586401369,0.826266991000806,0.805197985145736,0.845065623798042,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",1250,0.799256,0.7752,0.8216,0.643347617223255,0.601866251944012,0.679366598313967,0.954941000762552,0.937497491974318,0.970269258092414,0.934468389004027,0.909291898577613,0.957496779122723,0.643347617223255,0.601866251944012,0.679366598313967,0.761875592086038,0.729565575529704,0.789726193434218,0.799144308992903,0.775781871752383,0.819721413526638,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",1250,0.7762848,0.7552,0.79842,0.646937649206502,0.610319218682884,0.683445683414946,0.90549985136539,0.881874825521883,0.928224911939818,0.872440114912437,0.841988329042895,0.902442983845423,0.646937649206502,0.610319218682884,0.683445683414946,0.742788192307831,0.714416992056012,0.771302323836831,0.776218750285946,0.755783348016338,0.797944330376043,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",1250,0.7744072,0.75198,0.7984,0.630231589271321,0.590971508996158,0.668265885301489,0.91824232632258,0.894957802547771,0.938580727990121,0.884950398023753,0.853976829384337,0.913987828554361,0.630231589271321,0.590971508996158,0.668265885301489,0.735990998434937,0.704770018515555,0.766260710598184,0.77423695779695,0.752516967723437,0.796797564828255,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",1250,0.6737104,0.6472,0.69842,0.396845298560969,0.357349539991627,0.433743278976442,0.950452407582281,0.932367149758454,0.967320261437909,0.889004660351215,0.850327366441457,0.923671378399559,0.396845298560969,0.357349539991627,0.433743278976442,0.548452015987901,0.507860392926787,0.585274030706733,0.673648853071625,0.653142568485802,0.693615392024934,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",1250,0.73946,0.7144,0.7632,0.543011809693613,0.50396134120319,0.582027997488691,0.935840062458819,0.916796666666667,0.953721574459125,0.894296870132148,0.862463425357408,0.922657063930544,0.543011809693613,0.50396134120319,0.582027997488691,0.675498955878236,0.641949152542373,0.709481910689057,0.739425936076216,0.718731103809064,0.762168578507349,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",1250,0.7714096,0.748,0.7936,0.720843657556474,0.685802043629876,0.756924466338259,0.821879210058496,0.791129990262902,0.850100154284668,0.801509864629861,0.768555230156942,0.833629086743236,0.720843657556474,0.685802043629876,0.756924466338259,0.758872094764792,0.731950316400793,0.784792839885395,0.771361433807485,0.748428399161267,0.793361609108697,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",1250,0.7678056,0.7432,0.7928,0.686248570854839,0.651482216680885,0.722134715490935,0.849228339449127,0.821175235215054,0.87558852809779,0.819656665204673,0.788235294117647,0.850101017659384,0.686248570854839,0.651482216680885,0.722134715490935,0.746896302863035,0.717678100263852,0.775333101476157,0.767738455151983,0.743329060718807,0.791394095192968,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",1250,0.8136624,0.792,0.8352,0.976034226022327,0.964386534203501,0.986974355746484,0.651392952962501,0.616636714168228,0.686737604540024,0.736688062594454,0.70616513551774,0.764860846734493,0.976034226022327,0.964386534203501,0.986974355746484,0.839548234836043,0.818363373617998,0.858940709622335,0.813713589492414,0.794647464392866,0.83378877827725,"Brightness","Light"
"16","GPT-4 Vision","drop","P4",1250,0.7690888,0.7456,0.7944,0.985605700539083,0.975343824984377,0.993681133852617,0.552212236840387,0.513418761582678,0.591434512704047,0.68796862059745,0.658070293757402,0.718071026013339,0.985605700539083,0.975343824984377,0.993681133852617,0.810222513660486,0.789467636589833,0.831961212448478,0.768908968689735,0.749120668159867,0.78911651176483,"Brightness","Light"
"17","GPT-4 Vision","drop","P5",1250,0.7821864,0.76,0.8048,0.988723033083518,0.979718396548362,0.996672899403085,0.575645272645067,0.537563361344538,0.614263695047778,0.699709761578283,0.671072591562694,0.730340660076933,0.988723033083518,0.979718396548362,0.996672899403085,0.81938242121181,0.799461296089879,0.840314966757249,0.782184152864293,0.761738478498792,0.801985616108705,"Brightness","Light"
"18","GPT-4 Vision","drop","P6",1250,0.7733632,0.7504,0.7984,0.990467543055785,0.982054731898197,0.996908929150686,0.556496433772828,0.516972274240533,0.595435027690901,0.690495204643393,0.659965207521098,0.722467212949117,0.990467543055785,0.982054731898197,0.996908929150686,0.813613478555154,0.791724091892638,0.836153222989551,0.773481988414307,0.753787357042825,0.794486561412994,"Brightness","Light"
"19","GPT-4 Vision","drop","P7",1250,0.7681296,0.744,0.79042,0.985683982705512,0.975609756097561,0.993712645025196,0.550926077538091,0.510010121151696,0.58795773201847,0.686671135405543,0.656283891824249,0.716027725451028,0.985683982705512,0.975609756097561,0.993712645025196,0.809344418428557,0.788082851789454,0.829971710969642,0.768305030121802,0.747063281262884,0.786755995432539,"Brightness","Light"
"20","GPT-4 Vision","drop","P8",1250,0.768416,0.7472,0.7912,0.987068457161813,0.97719708330023,0.995200191693291,0.549413207217311,0.509510755202245,0.587603462367189,0.686907601508201,0.658155456319087,0.715546249094081,0.987068457161813,0.97719708330023,0.995200191693291,0.809985464352901,0.789848551058156,0.829926825802785,0.768240832189562,0.747998764685379,0.787632589625637,"Brightness","Light"
"21","Gemini Pro Vision","drop","P1",1250,0.8264976,0.80638,0.8472,0.715161522404027,0.681816278361504,0.750751095131829,0.937370020803219,0.918731144278607,0.955346452560075,0.919150119027068,0.894308047706028,0.942310767590618,0.715161522404027,0.681816278361504,0.750751095131829,0.804291387092821,0.7787906111846,0.828674844799728,0.826265771603623,0.806903166668248,0.845091593981319,"Brightness","Light"
"22","Gemini Pro Vision","drop","P2",1250,0.799064,0.7768,0.82,0.643835085332312,0.607195603061672,0.67914020145056,0.955125202545666,0.937794132667091,0.971295283663705,0.935170723463818,0.91104752808625,0.958244047619048,0.643835085332312,0.607195603061672,0.67914020145056,0.762450548644235,0.733903191881667,0.789856594811838,0.799480143938989,0.779376653336627,0.819743940464488,"Brightness","Light"
"23","Gemini Pro Vision","drop","P3",1250,0.7768672,0.7536,0.7992,0.648101039750959,0.612234828141783,0.686377176990807,0.905775769789356,0.88159947368421,0.929768068657352,0.873177938942587,0.842214678487263,0.904862696215084,0.648101039750959,0.612234828141783,0.686377176990807,0.743808224161602,0.714972543025362,0.774193548387097,0.776938404770157,0.755926109184157,0.799998022818943,"Brightness","Light"
