"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",96,0.948260416666667,0.895833333333333,0.989583333333333,1,1,1,0,0,0,0.948260416666667,0.895833333333333,0.989583333333333,1,1,1,0.973309248287701,0.945054945054945,0.994764397905759,0.5,0.5,0.5,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",129,0.891124031007752,0.837015503875969,0.945736434108527,1,1,1,0,0,0,0.891124031007752,0.837015503875969,0.945736434108527,1,1,1,0.942209391891173,0.911277086462133,0.972111553784861,0.5,0.5,0.5,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",697,0.826994261119082,0.799139167862267,0.85512912482066,0.996504328101085,0.99108734402852,1,0.0333128735262484,0.00724378881987578,0.0697776417788658,0.828371996400531,0.800289435600579,0.856729377713459,0.996504328101085,0.99108734402852,1,0.904626947332875,0.887455566093749,0.921644685802948,0.514908600813667,0.499999078986148,0.533087871727304,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",700,0.824538571428571,0.795714285714286,0.852857142857143,0.998166637002146,0.994632549774134,1,0.0160951951932774,0,0.0420190181335692,0.8252907395586,0.797121028899365,0.853658536585366,0.998166637002146,0.994632549774134,1,0.903465162386894,0.885873902633679,0.920219971328664,0.507130916097712,0.498260869565217,0.520148154967389,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",692,0.825153179190751,0.797687861271676,0.852601156069364,0.998155055462023,0.994613518365763,1,0.00850640968904554,0,0.0294227392449517,0.826152740481843,0.798243662629425,0.853410740203193,0.998155055462023,0.994613518365763,1,0.903975653806543,0.887274037712326,0.920315607936817,0.503330732575534,0.497377622377622,0.513905139402026,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",652,0.826306748466258,0.797546012269939,0.855828220858896,0.998116819218669,0.994285441657579,1,0.0179455860378874,0,0.0462962962962963,0.827047830024905,0.799674021043133,0.855390168970814,0.998116819218669,0.994285441657579,1,0.904489573410721,0.887169811320755,0.92179700499168,0.508031202628278,0.49817501537392,0.522229030501089,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",699,0.826942775393419,0.799713876967096,0.854077253218884,1,1,1,0.0166873380298332,0,0.0423773891092679,0.826431655843412,0.799419739941542,0.853868194842407,1,1,1,0.904904007633678,0.888530587470413,0.921174652241113,0.508343669014917,0.5,0.521188694554634,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",699,0.823394849785408,0.795422031473534,0.849785407725322,0.998270659150023,0.994708994708995,1,0.0159407764361594,0,0.0397067363530778,0.824067748723319,0.796530119808456,0.849359771513609,0.998270659150023,0.994708994708995,1,0.902778516694853,0.8858693412389,0.918418083080612,0.507105717793091,0.498296276882308,0.519236428692412,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",700,0.797762857142857,0.765714285714286,0.825714285714286,0.923680655647945,0.901335271870986,0.945233752216018,0.210622498429793,0.140338608759661,0.282288227076454,0.845093339959757,0.815102138828678,0.873019744483159,0.923680655647945,0.901335271870986,0.945233752216018,0.882553139414594,0.862155388471178,0.90106699818112,0.567151577038869,0.52917469340939,0.60592614461807,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",700,0.748797142857143,0.715714285714286,0.778571428571429,0.86281411351123,0.833326010544815,0.89008552987904,0.219750988143964,0.149962871287129,0.295243506493507,0.836900544975497,0.80478614981555,0.865876988780565,0.86281411351123,0.833326010544815,0.89008552987904,0.849545446727921,0.826312916570903,0.8703122282384,0.541282550827597,0.504643729681422,0.580485835818745,"Overall","Overall"
