"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",643,0.833499222395023,0.804043545878694,0.861586314152411,0.996179651986584,0.99047619047619,1,0.0360585734796487,0.00812367966199347,0.0762874837027379,0.83513913812141,0.805378691155138,0.863851622392583,0.996179651986584,0.99047619047619,1,0.908510531991394,0.89080506367267,0.925398155909472,0.516119112733116,0.499753784765994,0.536615684178065,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",643,0.831928460342146,0.800933125972006,0.858475894245723,0.998109925176338,0.99423049132948,1,0.0184643771484355,0,0.0476190476190476,0.832714032569815,0.802500086120776,0.85961706336592,0.998109925176338,0.99423049132948,1,0.907871969298777,0.889076641632968,0.923724901535105,0.508287151162387,0.498212972689076,0.522218729311382,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",643,0.831213063763608,0.799377916018662,0.860031104199067,0.998158955563504,0.994274535489615,1,0.00947646215495003,0,0.0306122448979592,0.83221884666148,0.800288660068953,0.85981308411215,0.998158955563504,0.994274535489615,1,0.907593375414115,0.888499927039253,0.924376082091128,0.503817708859227,0.498054284715467,0.514426577669903,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",643,0.832217729393468,0.80248833592535,0.858475894245723,0.998078451004689,0.994274535489615,1,0.0187739594538977,0,0.0476304945054945,0.833018187121464,0.803424458853354,0.858487351121555,0.998078451004689,0.994274535489615,1,0.908036591879125,0.890038521755781,0.923468309772128,0.508426205229293,0.49817167871459,0.522736861352933,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",643,0.833651632970451,0.805598755832037,0.861586314152411,1,1,1,0.0180004350676882,0,0.045984993614304,0.833143631326764,0.804992199687988,0.861154446177847,1,1,1,0.908909954783704,0.891961970613656,0.925398155909472,0.509000217533844,0.5,0.522992496807152,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",643,0.832241057542768,0.802449455676516,0.861586314152411,0.998208028601107,0.994252320954907,1,0.0188458430824278,0,0.0495049504950495,0.832950961300758,0.802809174798004,0.8609375,0.998208028601107,0.994252320954907,1,0.9080510542602,0.889842859432553,0.925150324941971,0.508526935841768,0.498151485589101,0.523351893407421,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",643,0.807197511664075,0.776049766718507,0.838297045101089,0.927092591833632,0.904054607089509,0.949092449922958,0.218067890478578,0.142857142857143,0.3,0.853491753860195,0.82402900184464,0.882558554509887,0.927092591833632,0.904054607089509,0.949092449922958,0.888683941041949,0.86837115834533,0.908454726602144,0.572580241156105,0.531126733797199,0.615917276989335,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",643,0.753965785381026,0.723172628304821,0.786936236391913,0.863250202524141,0.835268655762842,0.891431460084034,0.220332380277029,0.144441580756014,0.298081140350877,0.843872431187012,0.815353012479135,0.871617661582261,0.863250202524141,0.835268655762842,0.891431460084034,0.853344850622309,0.832071706971388,0.875678616059396,0.541791291400585,0.499329965982888,0.58162655841634,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",643,0.822458786936236,0.794673405909798,0.852255054432348,0.962421164122735,0.946048750820766,0.977401129943503,0.138021951509295,0.0740740740740741,0.202066784348338,0.845210341278067,0.816686431810255,0.87397413422285,0.962421164122735,0.946048750820766,0.977401129943503,0.899937955890995,0.882246893045443,0.917748917748918,0.550221557816015,0.517314823473866,0.584262410378526,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",643,0.73944634525661,0.70606531881804,0.77293934681182,0.838688817360123,0.806260466931592,0.87015868158769,0.254146419512874,0.172396377568791,0.339869238170209,0.846142779347956,0.81481123981124,0.878098576700053,0.838688817360123,0.806260466931592,0.87015868158769,0.842263302139749,0.818003207698476,0.864615114784488,0.546417618436498,0.505550952065284,0.592083881081975,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",643,0.774143079315708,0.741835147744946,0.805598755832037,0.889228162589007,0.86344271799629,0.915897759659439,0.21230093786563,0.137611811926606,0.29126213592233,0.846409719027642,0.817050946662548,0.875666314627238,0.889228162589007,0.86344271799629,0.915897759659439,0.867183845085924,0.845351567828815,0.887705128081152,0.550764550227319,0.512527401416096,0.592016862052297,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",643,0.776113530326594,0.741835147744946,0.807153965785381,0.914104545823568,0.890120440979671,0.938469387755102,0.0994260517320576,0.0480654761904762,0.155963302752294,0.832709419567806,0.802742440198586,0.86264819862022,0.914104545823568,0.890120440979671,0.938469387755102,0.871409964444587,0.848816029143898,0.891423309615078,0.506765298777813,0.477805006888935,0.5373616596353,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",643,0.746586314152411,0.710730948678072,0.779160186625194,0.829262758696295,0.797658069367285,0.861629987156225,0.340175134836178,0.257142857142857,0.425751183814034,0.860640334569318,0.830369201409278,0.88975862346873,0.829262758696295,0.797658069367285,0.861629987156225,0.844539786411642,0.819756347601393,0.867361057483046,0.584718946766236,0.539844035442195,0.629492435210089,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",643,0.797468118195956,0.765163297045101,0.825855365474339,0.910178016110568,0.885911526344153,0.932237529381039,0.247579976835376,0.168533763488708,0.330190842998096,0.855121706751174,0.825477852572093,0.883518748276813,0.910178016110568,0.885911526344153,0.932237529381039,0.881696136613202,0.860572483841182,0.900711596600308,0.578878996472972,0.53797888761069,0.621562953483404,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",307,0.833446254071661,0.788273615635179,0.872964169381108,0.992287912219475,0.9800796812749,1,0.0582784337296444,0,0.132075471698113,0.837183715358564,0.793319078947368,0.877096696380601,0.992287912219475,0.9800796812749,1,0.908011070834857,0.88072296281278,0.93169877408056,0.52528317297456,0.497967272274764,0.561742850482027,"Age","44-70"
"16","GPT-4 Vision","drop","P4",307,0.829462540716612,0.785016286644951,0.86970684039088,0.995932864048304,0.987704918032787,1,0.0193584429257128,0,0.0652536231884058,0.831705469649778,0.786885245901639,0.872131147540984,0.995932864048304,0.987704918032787,1,0.906283899536052,0.879120879120879,0.930313588850174,0.507645653487009,0.494208494208494,0.529999236969648,"Age","44-70"
"17","GPT-4 Vision","drop","P5",307,0.829543973941368,0.785016286644951,0.86970684039088,1,1,1,0,0,0,0.829543973941368,0.785016286644951,0.86970684039088,1,1,1,0.906667830416862,0.87956204379562,0.930313588850174,0.5,0.5,0.5,"Age","44-70"
"18","GPT-4 Vision","drop","P6",307,0.834830618892508,0.794788273615635,0.872964169381108,0.996271331920079,0.987950592693354,1,0.0389900110743372,0,0.100042372881356,0.8363374214578,0.797385620915033,0.875010245901639,0.996271331920079,0.987950592693354,1,0.909192118614758,0.884826325411335,0.931937172774869,0.517630671497208,0.496182840513585,0.547892538338292,"Age","44-70"
"19","GPT-4 Vision","drop","P7",307,0.834319218241042,0.788273615635179,0.872964169381108,1,1,1,0.019179416264483,0,0.0652263007840342,0.833785750495447,0.788273615635179,0.872131147540984,1,1,1,0.909210648350232,0.8816029143898,0.93169877408056,0.509589708132241,0.5,0.532613150392017,"Age","44-70"
"20","GPT-4 Vision","drop","P8",307,0.831657980456026,0.791449511400651,0.86970684039088,0.995967208428606,0.985123070857272,1,0.0189868690049975,0,0.0666666666666667,0.833930756907438,0.791377202094966,0.872131147540984,0.995967208428606,0.985123070857272,1,0.907630514344354,0.882754358574031,0.93006993006993,0.507477038716802,0.494208494208494,0.531921765486758,"Age","44-70"
"21","Gemini Pro Vision","drop","P1",307,0.81128664495114,0.765472312703583,0.85342019543974,0.933314913890482,0.902429069188651,0.965250965250965,0.212313271171345,0.10342617152962,0.333333333333333,0.85323767565643,0.810518632347292,0.892857142857143,0.933314913890482,0.902429069188651,0.965250965250965,0.891296890220641,0.86152380952381,0.918040224926363,0.572814092530913,0.513895532638173,0.633089613924013,"Age","44-70"
"22","Gemini Pro Vision","drop","P2",307,0.765801302931596,0.713355048859935,0.814332247557003,0.87421321586838,0.826406890894176,0.913555410900793,0.233030807011593,0.125,0.359,0.84846887566616,0.802221746326732,0.889338207667684,0.87421321586838,0.826406890894176,0.913555410900793,0.860923728863193,0.826082555888048,0.892594161958569,0.553622011439986,0.495005897615115,0.62198537525437,"Age","44-70"
"23","Gemini Pro Vision","drop","P3",307,0.823635179153094,0.781758957654723,0.863192182410424,0.96826555244933,0.945945945945946,0.988188976377953,0.114168207878554,0.037037037037037,0.212803951367781,0.842812399201117,0.797978933167289,0.880952380952381,0.96826555244933,0.945945945945946,0.988188976377953,0.901037581669584,0.87406779661017,0.925,0.541216880163942,0.49856316157883,0.590246813607161,"Age","44-70"
"24","Gemini Pro Vision","drop","P4",307,0.757547231270358,0.710016286644951,0.807817589576547,0.856354678588023,0.813948780717447,0.901197110088771,0.271932606193701,0.14891646966115,0.393035714285714,0.85252183355175,0.806182698398335,0.895762919512919,0.856354678588023,0.813948780717447,0.901197110088771,0.854188680155931,0.820717131474104,0.886414716005962,0.564143642390862,0.498486990950226,0.627977804027279,"Age","44-70"
"25","Gemini Pro Vision","drop","P5",307,0.785065146579805,0.742671009771987,0.830618892508143,0.90962503357986,0.873517786561265,0.942307692307692,0.175596706950738,0.0832991803278688,0.283086253369272,0.843758525557142,0.801407942238267,0.886861313868613,0.90962503357986,0.873517786561265,0.942307692307692,0.875247660868464,0.845555878775057,0.903706392417826,0.542610870265299,0.491800588507678,0.599804391455531,"Age","44-70"
"26","Gemini Pro Vision","drop","P6",307,0.765879478827362,0.719869706840391,0.811074918566775,0.91047645791792,0.874509407001667,0.942318702290076,0.05772511012658,0,0.12962962962963,0.825554147891954,0.780645423349884,0.867602351916376,0.91047645791792,0.874509407001667,0.942318702290076,0.865721270538601,0.834914611005693,0.894937019306231,0.48410078402225,0.450565777598397,0.521618805930541,"Age","44-70"
"27","Gemini Pro Vision","drop","P7",307,0.729648208469055,0.677524429967427,0.785016286644951,0.812599213564055,0.763075010360547,0.864756867523261,0.324076825472124,0.2,0.460038461538462,0.854505772918073,0.809518765133172,0.897459349593496,0.812599213564055,0.763075010360547,0.864756867523261,0.832753760039309,0.795009749357575,0.870600873161765,0.56833801951809,0.504267769607843,0.638230149398985,"Age","44-70"
"28","Gemini Pro Vision","drop","P8",307,0.802325732899023,0.752442996742671,0.843648208469055,0.914697151674051,0.879488295386871,0.947596308315127,0.251637056338698,0.128562271062271,0.381847195357834,0.856941207090893,0.8122627119773,0.895910780669145,0.914697151674051,0.879488295386871,0.947596308315127,0.884683341787963,0.853788186682923,0.912087912087912,0.583167104006375,0.520227884893706,0.651119410957672,"Age","44-70"
"29","GPT-4 Vision","drop","P3",225,0.934306666666667,0.897777777777778,0.964444444444444,1,1,1,0.066545365764304,0,0.210526315789474,0.933997757575776,0.897777777777778,0.964285714285714,1,1,1,0.965794675135166,0.946135831381733,0.981818181818182,0.533272682882152,0.5,0.605263157894737,"Age","70-96"
"30","GPT-4 Vision","drop","P4",225,0.933915555555556,0.902222222222222,0.964444444444444,1,1,1,0.0596298308335921,0,0.21062030075188,0.933643768907235,0.901345291479821,0.964125560538117,1,1,1,0.965608641491328,0.94811320754717,0.981735159817352,0.529814915416796,0.5,0.60531015037594,"Age","70-96"
"31","GPT-4 Vision","drop","P5",225,0.934488888888889,0.902222222222222,0.964444444444444,1,1,1,0.0671701913855805,0,0.230769230769231,0.934182951925878,0.901345291479821,0.964285714285714,1,1,1,0.96589772819626,0.94811320754717,0.981818181818182,0.53358509569279,0.5,0.615384615384615,"Age","70-96"
"32","GPT-4 Vision","drop","P6",225,0.929644444444444,0.893333333333333,0.96,1,1,1,0,0,0,0.929644444444444,0.893333333333333,0.96,1,1,1,0.963461979360161,0.943661971830986,0.979591836734694,0.5,0.5,0.5,"Age","70-96"
"33","GPT-4 Vision","drop","P7",225,0.933742222222222,0.897777777777778,0.964444444444444,1,1,1,0.0650144171138484,0,0.200263157894737,0.933435085060919,0.897777777777778,0.964289682539683,1,1,1,0.965492311957352,0.946135831381733,0.981820238584944,0.532507208556924,0.5,0.600131578947368,"Age","70-96"
"34","GPT-4 Vision","drop","P8",225,0.933488888888889,0.897777777777778,0.964444444444444,1,1,1,0.0636641032071839,0,0.200208333333333,0.933189638495988,0.897321428571429,0.964285714285714,1,1,1,0.965360479154447,0.945882352941177,0.981818181818182,0.531832051603592,0.5,0.600104166666667,"Age","70-96"
