"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",643,0.832749611197512,0.804043545878694,0.861586314152411,0.996284705566035,0.99060061710881,1,0.0371652399846414,0.00818865367238931,0.0808149058149058,0.834269402496773,0.805984914411163,0.863207547169811,0.996284705566035,0.99060061710881,1,0.908038101158938,0.890638328412073,0.925021061499579,0.516724972775338,0.500545948616601,0.539416549891253,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",643,0.831373250388802,0.802449455676516,0.860031104199067,0.998160222882215,0.994219094151452,1,0.0182014713087989,0,0.0446428571428571,0.832120569474244,0.802809174798004,0.861603776799383,0.998160222882215,0.994219094151452,1,0.907535876524094,0.889833280974506,0.92462311557789,0.508180847095507,0.498144626218179,0.521190967695205,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",643,0.83092534992224,0.800933125972006,0.860031104199067,0.99814532698148,0.994274809160305,1,0.00929324755574676,0,0.0303107606679035,0.831941111149713,0.803117297535211,0.860942923654446,0.99814532698148,0.994274809160305,1,0.90742273726631,0.889268558886497,0.924623115577889,0.503719287268614,0.498001981975576,0.514548540114675,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",643,0.832519440124417,0.802449455676516,0.863141524105754,0.998169759681814,0.994230769230769,1,0.0186417685285118,0,0.047181042228212,0.833262137217159,0.802165230724299,0.86385508362676,0.998169759681814,0.994230769230769,1,0.908216395584999,0.889838078489393,0.926053522079973,0.508405764105163,0.498137802607076,0.523153556593977,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",643,0.833059097978227,0.80400466562986,0.861586314152411,1,1,1,0.0184648786394303,0,0.0510335577529981,0.832532615249518,0.803109083398134,0.8609375,1,1,1,0.90854184650539,0.89080476356388,0.92527287993283,0.509232439319715,0.5,0.525516778876499,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",643,0.83195800933126,0.80248833592535,0.860031104199067,0.998022731445634,0.994241565775875,1,0.018980211597063,0,0.0495971074380165,0.832785378381822,0.803117297535211,0.861388172736062,0.998022731445634,0.994241565775875,1,0.907874540448998,0.890038521755781,0.924749163879599,0.508501471521349,0.498134153669853,0.524511878145754,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",643,0.36503732503888,0.329704510108865,0.399688958009331,0.247040312958266,0.211500139828659,0.285184974517656,0.943808350320271,0.896216588050314,0.981316985338249,0.955678950525252,0.918472222222222,0.985815602836879,0.247040312958266,0.211500139828659,0.285184974517656,0.392250578067573,0.345977085540317,0.439943560057887,0.595424331639269,0.567021114703203,0.623386746551358,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",643,0.332642301710731,0.297006220839813,0.367068429237947,0.207359331405352,0.173420265283734,0.242764549145661,0.945477363501491,0.898130341880342,0.981312737971616,0.948929186710282,0.905660377358491,0.983196778711485,0.207359331405352,0.173420265283734,0.242764549145661,0.340013667674202,0.292987742043124,0.386620517318187,0.576418347453421,0.547460163235868,0.601322343403064,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",643,0.69843234836703,0.66092534992224,0.730987558320373,0.670927234069388,0.630165901427649,0.706717950244019,0.833510918244175,0.762852894528152,0.899015151515152,0.951824954328198,0.927461139896373,0.972912342155336,0.670927234069388,0.630165901427649,0.706717950244019,0.786888888079563,0.755546574287914,0.814351580182748,0.752219076156782,0.709942529655875,0.789618737031247,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",643,0.557258164852255,0.517884914463453,0.595645412130638,0.487335494353924,0.442985306236959,0.528760055055826,0.901102307640023,0.836690112938379,0.954954954954955,0.960347097026144,0.93385142481117,0.98201760020555,0.487335494353924,0.442985306236959,0.528760055055826,0.6462634943866,0.606049040018506,0.682815963578079,0.694218900996974,0.656378698033877,0.729095584715146,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",643,0.487814930015552,0.447900466562986,0.527216174183515,0.406063747750793,0.362958437761069,0.447174776564052,0.88956270515886,0.82976327391221,0.944954128440367,0.947469555934273,0.917732024073488,0.975007716049383,0.406063747750793,0.362958437761069,0.447174776564052,0.568177528988356,0.523588113542283,0.610040809344607,0.647813226454826,0.611154414676271,0.683724123723545,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",643,0.431461897356143,0.391912908242613,0.472783825816485,0.337447777010286,0.295144809840134,0.379896011947563,0.889861560848306,0.827272727272727,0.946452067669173,0.937336132295912,0.900485074626866,0.969076130055512,0.337447777010286,0.295144809840134,0.379896011947563,0.495876486284232,0.448274639276107,0.542235521094307,0.613654668929296,0.577345307946004,0.649109600629479,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",643,0.571895800933126,0.534992223950233,0.609681181959565,0.520350489563266,0.476083733179408,0.563338126203313,0.824431572947074,0.745445632798574,0.89381594622192,0.935565409747263,0.9061400731673,0.963213003589948,0.520350489563266,0.476083733179408,0.563338126203313,0.668477577107688,0.628920015363195,0.70560761045273,0.67239103125517,0.626257412266695,0.711871244006309,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",643,0.43805598755832,0.398133748055988,0.475894245723173,0.344447950533488,0.30164165793672,0.387170941771204,0.898670423998327,0.841121495327103,0.951239024390244,0.943618726184097,0.908628759347197,0.972976605637896,0.344447950533488,0.30164165793672,0.387170941771204,0.504322383903878,0.457203214749204,0.550995424766788,0.621559187265907,0.587221429959072,0.654835122696611,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",307,0.833521172638437,0.791530944625407,0.876221498371335,0.992055886305836,0.980237154150198,1,0.0574131087852396,0,0.127282398452611,0.837461195727245,0.795986622073579,0.879608695652174,0.992055886305836,0.980237154150198,1,0.908077903697284,0.883108558108558,0.933333333333333,0.524734497545538,0.498015476190476,0.559421726653582,"Age","44-70"
"16","GPT-4 Vision","drop","P4",307,0.830833876221498,0.788273615635179,0.872964169381108,0.995933186831722,0.987950592693354,1,0.0186054210699227,0,0.0638644773358002,0.833114564654727,0.791377202094966,0.872964169381108,0.995933186831722,0.987950592693354,1,0.907137297221084,0.8816029143898,0.931704734047918,0.507269303950822,0.494207933016073,0.53125,"Age","44-70"
"17","GPT-4 Vision","drop","P5",307,0.830117263843648,0.785016286644951,0.869788273615635,1,1,1,0,0,0,0.830117263843648,0.785016286644951,0.869788273615635,1,1,1,0.907018738640472,0.87956204379562,0.930360096955007,0.5,0.5,0.5,"Age","44-70"
"18","GPT-4 Vision","drop","P6",307,0.83542671009772,0.794788273615635,0.876221498371335,0.996064622682257,0.987704918032787,1,0.0389650960792908,0,0.106450676982592,0.837099454271423,0.796052631578947,0.878688524590164,0.996064622682257,0.987704918032787,1,0.909545831361794,0.885235412233644,0.933566433566434,0.517514859380774,0.496197355818071,0.549866592803082,"Age","44-70"
"19","GPT-4 Vision","drop","P7",307,0.834394136807818,0.794788273615635,0.872964169381108,1,1,1,0.0183839255180529,0,0.0597089552238806,0.833876206497834,0.794117647058823,0.872964169381108,1,1,1,0.909273976247508,0.885245901639344,0.932173913043478,0.509191962759026,0.5,0.52985447761194,"Age","44-70"
"20","GPT-4 Vision","drop","P8",307,0.830983713355049,0.788273615635179,0.872964169381108,0.995970415315814,0.987752582514487,1,0.0200242642202709,0,0.0645161290322581,0.833222197934907,0.790797903319744,0.872559398352175,0.995970415315814,0.987752582514487,1,0.907199984189683,0.880294659300184,0.93169877408056,0.507997339768043,0.495967741935484,0.530007215693052,"Age","44-70"
"21","Gemini Pro Vision","drop","P1",307,0.351758957654723,0.296416938110749,0.407166123778502,0.226533569154147,0.176706449859589,0.275200745941202,0.961749359859273,0.9,1,0.966526473564897,0.91304347826087,1,0.226533569154147,0.176706449859589,0.275200745941202,0.366321878491456,0.299329312017548,0.43030303030303,0.59414146450671,0.556651224142446,0.627864766489407,"Age","44-70"
"22","Gemini Pro Vision","drop","P2",307,0.329820846905537,0.276872964169381,0.384364820846906,0.200260932871145,0.151018482864844,0.251033834586466,0.963094289437573,0.902439024390244,1,0.963692295116462,0.909090909090909,1,0.200260932871145,0.151018482864844,0.251033834586466,0.330871302236442,0.262408440878968,0.4,0.581677611154359,0.545851264748324,0.61553265612757,"Age","44-70"
"23","Gemini Pro Vision","drop","P3",307,0.667840390879479,0.612377850162866,0.719869706840391,0.639558431795599,0.580738636363636,0.70115057013326,0.806834670935582,0.696409161490683,0.903225806451613,0.941945861329388,0.90320263255469,0.97222605893186,0.639558431795599,0.580738636363636,0.70115057013326,0.761390299393488,0.716981132075472,0.806172669161992,0.723196551365591,0.661600885715753,0.782776875901876,"Age","44-70"
"24","Gemini Pro Vision","drop","P4",307,0.562309446254072,0.50814332247557,0.615635179153095,0.496682333940296,0.439022062930553,0.556482630272953,0.883250219788444,0.785654761904762,0.961556603773585,0.954299436279036,0.917352522086064,0.985507246376812,0.496682333940296,0.439022062930553,0.556482630272953,0.652755498802364,0.598424135662287,0.705057130765975,0.68996627686437,0.63825247494611,0.741901817440006,"Age","44-70"
"25","Gemini Pro Vision","drop","P5",307,0.465938110749186,0.41042345276873,0.521172638436482,0.380125330333259,0.322954134624223,0.438735177865613,0.886115814276763,0.794811320754717,0.963668261562998,0.942475980801776,0.895629290617849,0.981481481481482,0.380125330333259,0.322954134624223,0.438735177865613,0.541070289082801,0.478854761220384,0.600522912485884,0.633120572305011,0.58147859922179,0.679994408810352,"Age","44-70"
"26","Gemini Pro Vision","drop","P6",307,0.419869706840391,0.368078175895765,0.47557003257329,0.324852873943248,0.270984474545141,0.384000760456274,0.883177247243817,0.787196048632219,0.962979797979798,0.931325709531253,0.875,0.978260869565217,0.324852873943248,0.270984474545141,0.384000760456274,0.480966023706804,0.418742788461538,0.546433834364869,0.604015060593532,0.549109120392343,0.656177209008405,"Age","44-70"
"27","Gemini Pro Vision","drop","P7",307,0.547074918566775,0.495114006514658,0.596091205211726,0.497880905574895,0.438523013871375,0.557705823293173,0.78724897939615,0.6665,0.890909090909091,0.919618397521011,0.873080163697641,0.960945070251938,0.497880905574895,0.438523013871375,0.557705823293173,0.645445671525453,0.588843813387424,0.69544885830466,0.642564942485522,0.573359788093665,0.701850134499117,"Age","44-70"
"28","Gemini Pro Vision","drop","P8",307,0.430459283387622,0.37785016286645,0.48542345276873,0.338014927928812,0.282915743816907,0.397684494559495,0.885120356924779,0.795906771799629,0.964927404718693,0.935713057438817,0.880952380952381,0.979381443298969,0.338014927928812,0.282915743816907,0.397684494559495,0.495902035892395,0.433234421364985,0.559793645719157,0.611567642426795,0.557585579220425,0.661244951516364,"Age","44-70"
"29","GPT-4 Vision","drop","P3",225,0.932142222222222,0.897777777777778,0.964444444444444,1,1,1,0.0624477491626025,0,0.208388157894737,0.931836706842739,0.896396396396396,0.964289682539683,1,1,1,0.964627928173488,0.945368171021378,0.981820238584944,0.531223874581301,0.5,0.604194078947368,"Age","70-96"
"30","GPT-4 Vision","drop","P4",225,0.933306666666667,0.897777777777778,0.964444444444444,1,1,1,0.0645295989915598,0,0.214285714285714,0.93299741502234,0.897321428571429,0.964444444444444,1,1,1,0.965258416759668,0.945882352941177,0.981900452488688,0.53226479949578,0.5,0.607142857142857,"Age","70-96"
"31","GPT-4 Vision","drop","P5",225,0.933253333333333,0.897777777777778,0.964444444444444,1,1,1,0.0623829590988904,0,0.2,0.932955782472427,0.897777777777778,0.964285714285714,1,1,1,0.965239464682174,0.946135831381733,0.981818181818182,0.531191479549445,0.5,0.6,"Age","70-96"
"32","GPT-4 Vision","drop","P6",225,0.92868,0.893333333333333,0.96,1,1,1,0,0,0,0.92868,0.893333333333333,0.96,1,1,1,0.96294375559213,0.943661971830986,0.979591836734694,0.5,0.5,0.5,"Age","70-96"
"33","GPT-4 Vision","drop","P7",225,0.933115555555556,0.897777777777778,0.964444444444444,1,1,1,0.0636698287861566,0,0.208388157894737,0.932814918023635,0.897777777777778,0.964125560538117,1,1,1,0.965160221754577,0.946135831381733,0.981735159817352,0.531834914393078,0.5,0.604194078947368,"Age","70-96"
"34","GPT-4 Vision","drop","P8",225,0.933408888888889,0.897777777777778,0.964444444444444,1,1,1,0.0627782308442394,0,0.200263157894737,0.933111480610281,0.897777777777778,0.964444444444444,1,1,1,0.965320462032852,0.946135831381733,0.981900452488688,0.53138911542212,0.5,0.600131578947368,"Age","70-96"
"35","Gemini Pro Vision","drop","P1",225,0.337595555555556,0.275444444444444,0.4,0.296472533107649,0.229657389930205,0.357151483781919,0.876050312029831,0.705882352941177,1,0.968968471103624,0.925352013517319,1,0.296472533107649,0.229657389930205,0.357151483781919,0.453084816377436,0.372084377971816,0.522976430208848,0.58626142256874,0.497164148254996,0.660477878615995,"Age","70-96"
"36","Gemini Pro Vision","drop","P2",225,0.284622222222222,0.226666666666667,0.346666666666667,0.244431620130671,0.186602870813397,0.30435817805383,0.808421211707888,0.583333333333333,1,0.943633473155681,0.877551020408163,1,0.244431620130671,0.186602870813397,0.30435817805383,0.387379023083576,0.311986885245902,0.461552346570397,0.526426415919279,0.415352396720738,0.623853820598007,"Age","70-96"
"37","Gemini Pro Vision","drop","P3",225,0.736813333333333,0.675555555555556,0.791111111111111,0.740737569773895,0.679211266328012,0.799090133794081,0.684070969085198,0.444444444444444,0.916666666666667,0.968573845284017,0.938621549079755,0.99359076433121,0.740737569773895,0.679211266328012,0.799090133794081,0.839111964530072,0.795518207282913,0.877284595300261,0.712404269429547,0.59047123015873,0.830967890677398,"Age","70-96"
"38","Gemini Pro Vision","drop","P4",225,0.541791111111111,0.479888888888889,0.608888888888889,0.525532978945643,0.457526759796807,0.596244131455399,0.75200738670703,0.525657894736842,0.947434210526316,0.964903407068949,0.929809035863996,0.991940246380493,0.525532978945643,0.457526759796807,0.596244131455399,0.679789219235726,0.619796970009275,0.739393939393939,0.638770182826337,0.51929347826087,0.745423598650046,"Age","70-96"
"39","Gemini Pro Vision","drop","P5",225,0.478382222222222,0.417777777777778,0.542222222222222,0.457585353724414,0.392140677025527,0.528846153846154,0.75116739466651,0.5,0.94125816993464,0.959882701825021,0.918349339735894,0.990742864424057,0.457585353724414,0.392140677025527,0.528846153846154,0.618986073869643,0.555536529680365,0.681426483034546,0.604376374195462,0.479877543058606,0.709282225252616,"Age","70-96"
