"Model","PromptID","Balanced.Accuracy_CI_Overall","Balanced.Accuracy_CI_44-70","Balanced.Accuracy_CI_70-96","Balanced.Accuracy_CI_18-44","Balanced.Accuracy_CI_White","Balanced.Accuracy_CI_Other","Balanced.Accuracy_CI_Asian","Balanced.Accuracy_CI_Black","Balanced.Accuracy_CI_Male","Balanced.Accuracy_CI_Female","Balanced.Accuracy_CI_","Sensitivity_CI_Overall","Sensitivity_CI_44-70","Sensitivity_CI_70-96","Sensitivity_CI_18-44","Sensitivity_CI_White","Sensitivity_CI_Other","Sensitivity_CI_Asian","Sensitivity_CI_Black","Sensitivity_CI_Male","Sensitivity_CI_Female","Sensitivity_CI_","Specificity_CI_Overall","Specificity_CI_44-70","Specificity_CI_70-96","Specificity_CI_18-44","Specificity_CI_White","Specificity_CI_Other","Specificity_CI_Asian","Specificity_CI_Black","Specificity_CI_Male","Specificity_CI_Female","Specificity_CI_"
"GPT-4 Vision",1,"0.5 (+/- 0.1)","0.5 (+/- 0.16)","0.5 (+/- 0.15)","NaN (+/- NaN)","0.5 (+/- 0.13)","0.5 (+/- 0.2)","0.5 (+/- 0.33)","NaN (+/- NaN)","0.5 (+/- 0.15)","0.5 (+/- 0.15)","NaN (+/- NaN)","1 (+/- 0.04)","1 (+/- 0.09)","1 (+/- 0.08)","NaN (+/- NaN)","1 (+/- 0.06)","1 (+/- 0.13)","1 (+/- 0.34)","NaN (+/- NaN)","1 (+/- 0.07)","1 (+/- 0.08)","NaN (+/- NaN)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NaN)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NaN)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NaN)"
"GPT-4 Vision",2,"0.5 (+/- 0.09)","0.5 (+/- 0.14)","0.5 (+/- 0.14)","0.5 (+/- 0.23)","0.5 (+/- 0.12)","0.5 (+/- 0.17)","0.5 (+/- 0.26)","NaN (+/- NaN)","0.5 (+/- 0.12)","0.5 (+/- 0.14)","NaN (+/- NaN)","1 (+/- 0.03)","1 (+/- 0.06)","1 (+/- 0.07)","1 (+/- 0.18)","1 (+/- 0.05)","1 (+/- 0.1)","1 (+/- 0.22)","NaN (+/- NaN)","1 (+/- 0.05)","1 (+/- 0.06)","NaN (+/- NaN)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NaN)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NaN)"
"GPT-4 Vision",3,"0.51 (+/- 0.04)","0.52 (+/- 0.05)","0.53 (+/- 0.07)","0.5 (+/- 0.09)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.55 (+/- 0.11)","0.5 (+/- 0.19)","0.51 (+/- 0.05)","0.53 (+/- 0.06)","NaN (+/- NaN)","1 (+/- 0.01)","0.99 (+/- 0.02)","1 (+/- 0.02)","1 (+/- 0.03)","0.99 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.04)","1 (+/- 0.12)","1 (+/- 0.01)","1 (+/- 0.02)","NaN (+/- NaN)","0.03 (+/- 0.01)","0.05 (+/- 0.02)","0.05 (+/- 0.02)","0 (+/- 0)","0.03 (+/- 0.02)","0 (+/- 0)","0.1 (+/- 0.06)","0 (+/- 0)","0.01 (+/- 0.01)","0.06 (+/- 0.02)","NaN (+/- NaN)"
"GPT-4 Vision",4,"0.51 (+/- 0.04)","0.51 (+/- 0.05)","0.53 (+/- 0.07)","0.5 (+/- 0.09)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.5 (+/- 0.11)","0.58 (+/- 0.2)","0.51 (+/- 0.05)","0.51 (+/- 0.06)","0.5 (+/- 0.43)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.03)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.04)","1 (+/- 0.12)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.6)","0.02 (+/- 0.01)","0.02 (+/- 0.01)","0.05 (+/- 0.02)","0 (+/- 0)","0.02 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.11)","0.01 (+/- 0.01)","0.02 (+/- 0.01)","0 (+/- 0)"
"GPT-4 Vision",5,"0.5 (+/- 0.04)","0.5 (+/- 0.05)","0.53 (+/- 0.07)","0.49 (+/- 0.09)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.5 (+/- 0.11)","0.5 (+/- 0.19)","0.51 (+/- 0.05)","0.5 (+/- 0.06)","0.5 (+/- 0.43)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.02)","0.99 (+/- 0.04)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.04)","1 (+/- 0.12)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.6)","0.01 (+/- 0.01)","0 (+/- 0)","0.06 (+/- 0.03)","0 (+/- 0)","0.02 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0.01 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)"
"GPT-4 Vision",6,"0.51 (+/- 0.04)","0.52 (+/- 0.06)","0.5 (+/- 0.07)","0.5 (+/- 0.1)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.5 (+/- 0.12)","0.58 (+/- 0.2)","0.51 (+/- 0.05)","0.51 (+/- 0.06)","0.5 (+/- 0.43)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.03)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.05)","1 (+/- 0.13)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.6)","0.02 (+/- 0.01)","0.04 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.02 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.11)","0.01 (+/- 0.01)","0.02 (+/- 0.01)","0 (+/- 0)"
"GPT-4 Vision",7,"0.51 (+/- 0.04)","0.51 (+/- 0.05)","0.53 (+/- 0.07)","0.5 (+/- 0.09)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.5 (+/- 0.11)","0.58 (+/- 0.2)","0.51 (+/- 0.05)","0.51 (+/- 0.06)","0.5 (+/- 0.43)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.03)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.04)","1 (+/- 0.12)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.6)","0.02 (+/- 0.01)","0.02 (+/- 0.01)","0.05 (+/- 0.02)","0 (+/- 0)","0.02 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.11)","0.01 (+/- 0.01)","0.02 (+/- 0.01)","0 (+/- 0)"
"GPT-4 Vision",8,"0.51 (+/- 0.04)","0.51 (+/- 0.05)","0.53 (+/- 0.07)","0.5 (+/- 0.09)","0.51 (+/- 0.05)","0.5 (+/- 0.07)","0.5 (+/- 0.11)","0.58 (+/- 0.2)","0.51 (+/- 0.05)","0.51 (+/- 0.06)","0.5 (+/- 0.43)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.03)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.04)","1 (+/- 0.12)","1 (+/- 0.01)","1 (+/- 0.02)","1 (+/- 0.6)","0.02 (+/- 0.01)","0.02 (+/- 0.01)","0.05 (+/- 0.02)","0 (+/- 0)","0.02 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.11)","0.01 (+/- 0.01)","0.02 (+/- 0.01)","0 (+/- 0)"
"Gemini Pro Vision",1,"0.6 (+/- 0.04)","0.59 (+/- 0.05)","0.6 (+/- 0.07)","0.56 (+/- 0.09)","0.61 (+/- 0.05)","0.55 (+/- 0.07)","0.61 (+/- 0.11)","0.65 (+/- 0.2)","0.6 (+/- 0.05)","0.58 (+/- 0.06)","NaN (+/- NaN)","0.24 (+/- 0.03)","0.22 (+/- 0.04)","0.3 (+/- 0.06)","0.17 (+/- 0.06)","0.25 (+/- 0.04)","0.22 (+/- 0.06)","0.23 (+/- 0.09)","0.3 (+/- 0.16)","0.22 (+/- 0.04)","0.27 (+/- 0.05)","NaN (+/- NaN)","0.95 (+/- 0.02)","0.97 (+/- 0.03)","0.89 (+/- 0.05)","0.96 (+/- 0.05)","0.97 (+/- 0.02)","0.89 (+/- 0.05)","1 (+/- 0.04)","1 (+/- 0.12)","0.99 (+/- 0.02)","0.9 (+/- 0.04)","NaN (+/- NaN)"
"Gemini Pro Vision",2,"0.58 (+/- 0.04)","0.58 (+/- 0.05)","0.54 (+/- 0.07)","0.55 (+/- 0.09)","0.6 (+/- 0.05)","0.54 (+/- 0.07)","0.56 (+/- 0.11)","0.63 (+/- 0.2)","0.58 (+/- 0.05)","0.57 (+/- 0.06)","NaN (+/- NaN)","0.2 (+/- 0.03)","0.19 (+/- 0.04)","0.25 (+/- 0.05)","0.12 (+/- 0.05)","0.22 (+/- 0.04)","0.17 (+/- 0.05)","0.16 (+/- 0.07)","0.26 (+/- 0.14)","0.18 (+/- 0.04)","0.24 (+/- 0.05)","NaN (+/- NaN)","0.95 (+/- 0.02)","0.97 (+/- 0.03)","0.84 (+/- 0.05)","0.98 (+/- 0.04)","0.97 (+/- 0.02)","0.91 (+/- 0.05)","0.95 (+/- 0.07)","1 (+/- 0.12)","0.99 (+/- 0.02)","0.9 (+/- 0.04)","NaN (+/- NaN)"
