"","Model","PromptID","44-70","70-96","18-44"
"1","GPT-4 Vision","P1",41,45,10
"2","GPT-4 Vision","P2",56,54,19
"3","GPT-4 Vision","P3",336,238,123
"4","GPT-4 Vision","P4",338,239,123
"5","GPT-4 Vision","P5",334,237,121
"6","GPT-4 Vision","P6",312,227,113
"7","GPT-4 Vision","P7",338,239,122
"8","GPT-4 Vision","P8",337,239,123
"9","Gemini Pro Vision","P1",338,239,123
"10","Gemini Pro Vision","P2",338,239,123
"11","Gemini Pro Vision","P3",338,239,123
"12","Gemini Pro Vision","P4",338,239,123
"13","Gemini Pro Vision","P5",338,239,123
"14","Gemini Pro Vision","P6",338,239,123
"15","Gemini Pro Vision","P7",338,239,123
"16","Gemini Pro Vision","P8",338,239,123
