"","Model","PromptID","Balanced.Accuracy_CI_44.70","Balanced.Accuracy_CI_70.96","Balanced.Accuracy_CI_18.44","Sensitivity_CI_44.70","Sensitivity_CI_70.96","Sensitivity_CI_18.44","Specificity_CI_44.70","Specificity_CI_70.96","Specificity_CI_18.44"
"1","GPT-4 Vision","P3","0.52 (+/- 0.03)","0.53 (+/- 0.03)","0.5 (+/- 0)","0.99 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.06 (+/- 0.06)","0.06 (+/- 0.06)","0 (+/- 0)"
"2","GPT-4 Vision","P4","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"3","GPT-4 Vision","P5","0.5 (+/- 0)","0.53 (+/- 0.03)","0.49 (+/- 0.02)","1 (+/- 0)","1 (+/- 0)","0.99 (+/- 0.03)","0 (+/- 0)","0.06 (+/- 0.06)","0 (+/- 0)"
"4","GPT-4 Vision","P6","0.52 (+/- 0.02)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.04 (+/- 0.04)","0 (+/- 0)","0 (+/- 0)"
"5","GPT-4 Vision","P7","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"6","GPT-4 Vision","P8","0.51 (+/- 0.01)","0.53 (+/- 0.03)","0.5 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0.06 (+/- 0.06)","0 (+/- 0)"
"7","Gemini Pro Vision","P1","0.59 (+/- 0.04)","0.58 (+/- 0.09)","0.56 (+/- 0.05)","0.23 (+/- 0.05)","0.29 (+/- 0.06)","0.18 (+/- 0.09)","0.96 (+/- 0.06)","0.87 (+/- 0.17)","0.95 (+/- 0.07)"
"8","Gemini Pro Vision","P2","0.58 (+/- 0.04)","0.53 (+/- 0.11)","0.55 (+/- 0.05)","0.2 (+/- 0.05)","0.24 (+/- 0.06)","0.13 (+/- 0.07)","0.96 (+/- 0.06)","0.81 (+/- 0.21)","0.98 (+/- 0.06)"
"9","Gemini Pro Vision","P3","0.72 (+/- 0.06)","0.72 (+/- 0.13)","0.75 (+/- 0.07)","0.63 (+/- 0.06)","0.74 (+/- 0.06)","0.58 (+/- 0.12)","0.81 (+/- 0.12)","0.69 (+/- 0.26)","0.93 (+/- 0.08)"
"10","Gemini Pro Vision","P4","0.69 (+/- 0.05)","0.64 (+/- 0.12)","0.66 (+/- 0.07)","0.5 (+/- 0.06)","0.52 (+/- 0.07)","0.34 (+/- 0.12)","0.88 (+/- 0.09)","0.75 (+/- 0.22)","0.98 (+/- 0.05)"
"11","Gemini Pro Vision","P5","0.63 (+/- 0.06)","0.6 (+/- 0.13)","0.65 (+/- 0.07)","0.38 (+/- 0.06)","0.46 (+/- 0.07)","0.35 (+/- 0.1)","0.88 (+/- 0.1)","0.75 (+/- 0.25)","0.95 (+/- 0.08)"
"12","Gemini Pro Vision","P6","0.6 (+/- 0.06)","0.56 (+/- 0.13)","0.61 (+/- 0.06)","0.32 (+/- 0.06)","0.38 (+/- 0.06)","0.26 (+/- 0.1)","0.88 (+/- 0.09)","0.75 (+/- 0.25)","0.95 (+/- 0.07)"
"13","Gemini Pro Vision","P7","0.64 (+/- 0.06)","0.63 (+/- 0.13)","0.67 (+/- 0.07)","0.49 (+/- 0.06)","0.58 (+/- 0.07)","0.41 (+/- 0.12)","0.78 (+/- 0.12)","0.69 (+/- 0.26)","0.92 (+/- 0.09)"
"14","Gemini Pro Vision","P8","0.61 (+/- 0.05)","0.57 (+/- 0.12)","0.61 (+/- 0.06)","0.33 (+/- 0.05)","0.38 (+/- 0.07)","0.25 (+/- 0.1)","0.88 (+/- 0.09)","0.75 (+/- 0.25)","0.98 (+/- 0.06)"
