"","Model","PromptID","Balanced.Accuracy_CI_Male","Balanced.Accuracy_CI_Female","Balanced.Accuracy_CI_unknown","Sensitivity_CI_Male","Sensitivity_CI_Female","Sensitivity_CI_unknown","Specificity_CI_Male","Specificity_CI_Female","Specificity_CI_unknown"
"1","GPT-4 Vision","P1","0.5 (+/- 0)","0.5 (+/- 0)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0)","NaN (+/- NA)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NA)"
"2","GPT-4 Vision","P2","0.5 (+/- 0)","0.5 (+/- 0)","NaN (+/- NA)","1 (+/- 0)","1 (+/- 0)","NaN (+/- NA)","0 (+/- 0)","0 (+/- 0)","NaN (+/- NA)"
"3","GPT-4 Vision","P3","0.51 (+/- 0.01)","0.53 (+/- 0.03)","NaN (+/- NA)","1 (+/- 0.01)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.06 (+/- 0.06)","NaN (+/- NA)"
"4","GPT-4 Vision","P4","0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","0 (+/- 0)"
"5","GPT-4 Vision","P5","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0 (+/- 0)","0 (+/- 0)"
"6","GPT-4 Vision","P6","0.51 (+/- 0.01)","0.51 (+/- 0.02)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","0 (+/- 0)"
"7","GPT-4 Vision","P7","0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","0 (+/- 0)"
"8","GPT-4 Vision","P8","0.51 (+/- 0.01)","0.51 (+/- 0.01)","0.5 (+/- 0)","1 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)","0.02 (+/- 0.02)","0 (+/- 0)"
"9","Gemini Pro Vision","P1","0.6 (+/- 0.03)","0.58 (+/- 0.05)","0.5 (+/- 0)","0.22 (+/- 0.04)","0.27 (+/- 0.05)","0 (+/- 0)","0.99 (+/- 0.03)","0.9 (+/- 0.09)","1 (+/- 0)"
"10","Gemini Pro Vision","P2","0.58 (+/- 0.02)","0.57 (+/- 0.05)","0.5 (+/- 0)","0.18 (+/- 0.04)","0.24 (+/- 0.05)","0 (+/- 0)","0.99 (+/- 0.03)","0.89 (+/- 0.09)","1 (+/- 0)"
"11","Gemini Pro Vision","P3","0.73 (+/- 0.05)","0.75 (+/- 0.06)","0.67 (+/- 0.17)","0.64 (+/- 0.05)","0.68 (+/- 0.06)","0.35 (+/- 0.35)","0.83 (+/- 0.1)","0.81 (+/- 0.11)","1 (+/- 0)"
"12","Gemini Pro Vision","P4","0.67 (+/- 0.04)","0.7 (+/- 0.05)","0.67 (+/- 0.17)","0.44 (+/- 0.05)","0.53 (+/- 0.06)","0.35 (+/- 0.35)","0.91 (+/- 0.07)","0.88 (+/- 0.09)","1 (+/- 0)"
"13","Gemini Pro Vision","P5","0.64 (+/- 0.05)","0.66 (+/- 0.06)","0.5 (+/- 0)","0.38 (+/- 0.05)","0.45 (+/- 0.06)","0 (+/- 0)","0.91 (+/- 0.07)","0.87 (+/- 0.11)","1 (+/- 0)"
"14","Gemini Pro Vision","P6","0.62 (+/- 0.04)","0.6 (+/- 0.06)","0.5 (+/- 0)","0.3 (+/- 0.05)","0.37 (+/- 0.06)","0 (+/- 0)","0.93 (+/- 0.06)","0.83 (+/- 0.11)","1 (+/- 0)"
"15","Gemini Pro Vision","P7","0.66 (+/- 0.05)","0.67 (+/- 0.06)","0.5 (+/- 0)","0.49 (+/- 0.05)","0.55 (+/- 0.06)","0 (+/- 0)","0.83 (+/- 0.09)","0.79 (+/- 0.11)","1 (+/- 0)"
"16","Gemini Pro Vision","P8","0.62 (+/- 0.04)","0.62 (+/- 0.06)","0.5 (+/- 0)","0.31 (+/- 0.05)","0.37 (+/- 0.06)","0 (+/- 0)","0.92 (+/- 0.07)","0.87 (+/- 0.11)","1 (+/- 0)"
