"","Model","PromptID","Balanced.Accuracy_CI_White","Balanced.Accuracy_CI_Other","Balanced.Accuracy_CI_Asian","Balanced.Accuracy_CI_Black","Sensitivity_CI_White","Sensitivity_CI_Other","Sensitivity_CI_Asian","Sensitivity_CI_Black","Specificity_CI_White","Specificity_CI_Other","Specificity_CI_Asian","Specificity_CI_Black"
"1","GPT-4 Vision","P1","0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","NA (+/- NA)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NA (+/- NA)"
"2","GPT-4 Vision","P2","0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","NA (+/- NA)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)","NA (+/- NA)"
"3","GPT-4 Vision","P3","0.51 (+/- 0.02)","0.5 (+/- 0)","0.55 (+/- 0.05)","0.5 (+/- 0)","0.99 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.03 (+/- 0.03)","0 (+/- 0)","0.1 (+/- 0.1)","0 (+/- 0)"
"4","GPT-4 Vision","P4","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.58 (+/- 0.08)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"5","GPT-4 Vision","P5","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)"
"6","GPT-4 Vision","P6","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.59 (+/- 0.09)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"7","GPT-4 Vision","P7","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.58 (+/- 0.08)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"8","GPT-4 Vision","P8","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.59 (+/- 0.09)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"9","Gemini Pro Vision","P1","0.61 (+/- 0.04)","0.56 (+/- 0.07)","0.61 (+/- 0.05)","0.65 (+/- 0.09)","0.25 (+/- 0.04)","0.23 (+/- 0.07)","0.22 (+/- 0.1)","0.3 (+/- 0.17)","0.97 (+/- 0.05)","0.89 (+/- 0.11)","1 (+/- 0)","1 (+/- 0)"
"10","Gemini Pro Vision","P2","0.6 (+/- 0.03)","0.54 (+/- 0.06)","0.56 (+/- 0.08)","0.63 (+/- 0.09)","0.22 (+/- 0.04)","0.17 (+/- 0.06)","0.16 (+/- 0.09)","0.26 (+/- 0.17)","0.97 (+/- 0.05)","0.91 (+/- 0.1)","0.95 (+/- 0.12)","1 (+/- 0)"
"11","Gemini Pro Vision","P3","0.73 (+/- 0.06)","0.71 (+/- 0.06)","0.79 (+/- 0.09)","0.83 (+/- 0.1)","0.68 (+/- 0.05)","0.6 (+/- 0.07)","0.68 (+/- 0.11)","0.66 (+/- 0.2)","0.78 (+/- 0.1)","0.83 (+/- 0.12)","0.9 (+/- 0.15)","1 (+/- 0)"
"12","Gemini Pro Vision","P4","0.68 (+/- 0.05)","0.67 (+/- 0.07)","0.69 (+/- 0.09)","0.8 (+/- 0.1)","0.49 (+/- 0.05)","0.43 (+/- 0.07)","0.48 (+/- 0.12)","0.61 (+/- 0.2)","0.87 (+/- 0.08)","0.92 (+/- 0.12)","0.9 (+/- 0.15)","1 (+/- 0)"
"13","Gemini Pro Vision","P5","0.66 (+/- 0.05)","0.62 (+/- 0.07)","0.65 (+/- 0.09)","0.69 (+/- 0.1)","0.44 (+/- 0.05)","0.36 (+/- 0.07)","0.35 (+/- 0.12)","0.39 (+/- 0.2)","0.88 (+/- 0.09)","0.88 (+/- 0.12)","0.95 (+/- 0.12)","1 (+/- 0)"
"14","Gemini Pro Vision","P6","0.62 (+/- 0.05)","0.59 (+/- 0.06)","0.6 (+/- 0.07)","0.69 (+/- 0.1)","0.36 (+/- 0.05)","0.29 (+/- 0.07)","0.26 (+/- 0.11)","0.39 (+/- 0.21)","0.87 (+/- 0.08)","0.89 (+/- 0.12)","0.95 (+/- 0.12)","1 (+/- 0)"
"15","Gemini Pro Vision","P7","0.65 (+/- 0.06)","0.64 (+/- 0.08)","0.67 (+/- 0.1)","0.81 (+/- 0.1)","0.56 (+/- 0.05)","0.43 (+/- 0.08)","0.44 (+/- 0.12)","0.61 (+/- 0.19)","0.74 (+/- 0.11)","0.86 (+/- 0.13)","0.9 (+/- 0.16)","1 (+/- 0)"
"16","Gemini Pro Vision","P8","0.63 (+/- 0.05)","0.6 (+/- 0.06)","0.61 (+/- 0.09)","0.67 (+/- 0.1)","0.37 (+/- 0.05)","0.29 (+/- 0.07)","0.32 (+/- 0.11)","0.34 (+/- 0.2)","0.89 (+/- 0.09)","0.91 (+/- 0.11)","0.9 (+/- 0.15)","1 (+/- 0)"
