"","Model","PromptID","Balanced.Accuracy_CI_White","Balanced.Accuracy_CI_Other","Balanced.Accuracy_CI_Asian","Balanced.Accuracy_CI_Black","Sensitivity_CI_White","Sensitivity_CI_Other","Sensitivity_CI_Asian","Sensitivity_CI_Black","Specificity_CI_White","Specificity_CI_Other","Specificity_CI_Asian","Specificity_CI_Black"
"1","GPT-4 Vision","P3","0.52 (+/- 0.02)","0.5 (+/- 0)","0.55 (+/- 0.05)","0.5 (+/- 0)","0.99 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.04 (+/- 0.04)","0 (+/- 0)","0.11 (+/- 0.11)","0 (+/- 0)"
"2","GPT-4 Vision","P4","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.59 (+/- 0.09)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"3","GPT-4 Vision","P5","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.5 (+/- 0)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0 (+/- 0)"
"4","GPT-4 Vision","P6","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.59 (+/- 0.09)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.17 (+/- 0.17)"
"5","GPT-4 Vision","P7","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.58 (+/- 0.08)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.16 (+/- 0.16)"
"6","GPT-4 Vision","P8","0.51 (+/- 0.01)","0.5 (+/- 0)","0.5 (+/- 0)","0.58 (+/- 0.08)","1 (+/- 0.01)","1 (+/- 0)","1 (+/- 0)","1 (+/- 0)","0.02 (+/- 0.02)","0 (+/- 0)","0 (+/- 0)","0.16 (+/- 0.16)"
"7","Gemini Pro Vision","P1","0.61 (+/- 0.04)","0.55 (+/- 0.08)","0.62 (+/- 0.06)","0.67 (+/- 0.09)","0.25 (+/- 0.05)","0.23 (+/- 0.07)","0.24 (+/- 0.11)","0.33 (+/- 0.19)","0.96 (+/- 0.05)","0.86 (+/- 0.13)","1 (+/- 0)","1 (+/- 0)"
"8","Gemini Pro Vision","P2","0.6 (+/- 0.04)","0.54 (+/- 0.06)","0.56 (+/- 0.08)","0.64 (+/- 0.09)","0.23 (+/- 0.05)","0.17 (+/- 0.06)","0.18 (+/- 0.09)","0.29 (+/- 0.18)","0.96 (+/- 0.06)","0.9 (+/- 0.12)","0.95 (+/- 0.13)","1 (+/- 0)"
"9","Gemini Pro Vision","P3","0.76 (+/- 0.06)","0.7 (+/- 0.08)","0.8 (+/- 0.1)","0.84 (+/- 0.1)","0.7 (+/- 0.05)","0.6 (+/- 0.07)","0.7 (+/- 0.12)","0.67 (+/- 0.2)","0.82 (+/- 0.11)","0.8 (+/- 0.15)","0.9 (+/- 0.15)","1 (+/- 0)"
"10","Gemini Pro Vision","P4","0.69 (+/- 0.05)","0.67 (+/- 0.07)","0.69 (+/- 0.1)","0.81 (+/- 0.1)","0.5 (+/- 0.06)","0.45 (+/- 0.08)","0.49 (+/- 0.12)","0.62 (+/- 0.21)","0.89 (+/- 0.1)","0.9 (+/- 0.12)","0.9 (+/- 0.16)","1 (+/- 0)"
"11","Gemini Pro Vision","P5","0.66 (+/- 0.05)","0.62 (+/- 0.07)","0.65 (+/- 0.08)","0.69 (+/- 0.1)","0.44 (+/- 0.06)","0.37 (+/- 0.07)","0.35 (+/- 0.12)","0.38 (+/- 0.19)","0.87 (+/- 0.09)","0.87 (+/- 0.13)","0.95 (+/- 0.12)","1 (+/- 0)"
"12","Gemini Pro Vision","P6","0.62 (+/- 0.05)","0.58 (+/- 0.07)","0.61 (+/- 0.08)","0.69 (+/- 0.1)","0.36 (+/- 0.06)","0.3 (+/- 0.07)","0.28 (+/- 0.11)","0.38 (+/- 0.2)","0.87 (+/- 0.09)","0.87 (+/- 0.13)","0.95 (+/- 0.13)","1 (+/- 0)"
"13","Gemini Pro Vision","P7","0.67 (+/- 0.06)","0.63 (+/- 0.09)","0.68 (+/- 0.11)","0.81 (+/- 0.11)","0.57 (+/- 0.06)","0.43 (+/- 0.08)","0.45 (+/- 0.12)","0.62 (+/- 0.21)","0.78 (+/- 0.1)","0.83 (+/- 0.14)","0.9 (+/- 0.15)","1 (+/- 0)"
"14","Gemini Pro Vision","P8","0.63 (+/- 0.06)","0.6 (+/- 0.07)","0.62 (+/- 0.09)","0.67 (+/- 0.1)","0.37 (+/- 0.05)","0.29 (+/- 0.07)","0.35 (+/- 0.12)","0.33 (+/- 0.2)","0.89 (+/- 0.09)","0.9 (+/- 0.12)","0.89 (+/- 0.16)","1 (+/- 0)"
