"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P1",96,0.94778125,0.895833333333333,0.979166666666667,1,1,1,0,0,0,0.94778125,0.895833333333333,0.979166666666667,1,1,1,0.973054678043311,0.945054945054945,0.989473684210526,0.5,0.5,0.5,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",129,0.891635658914729,0.829457364341085,0.945736434108527,1,1,1,0,0,0,0.891635658914729,0.829457364341085,0.945736434108527,1,1,1,0.942470276528038,0.906779661016949,0.972111553784861,0.5,0.5,0.5,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",697,0.827766140602582,0.800573888091822,0.853658536585366,0.996483611019537,0.991211878880303,1,0.0320903190932318,0.00769083969465649,0.0689805097451274,0.829213207507495,0.801152737752161,0.854046242774566,0.996483611019537,0.991211878880303,1,0.905121022751749,0.888349051156703,0.92018779342723,0.514286965056384,0.501684290274707,0.532307767369243,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",700,0.824602857142857,0.797142857142857,0.852857142857143,0.998272500979641,0.994736842105263,1,0.016037826552798,0,0.0423728813559322,0.825279672913887,0.797704447632712,0.854092228363232,0.998272500979641,0.994736842105263,1,0.903503090599206,0.886576932907348,0.920463320463321,0.507155163766219,0.498266822525515,0.520492255407582,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",690,0.825608695652174,0.798550724637681,0.853623188405797,0.998311102263492,0.994689793929487,1,0.00780203159948976,0,0.0258620689655172,0.82652704938348,0.799396907650826,0.854867377631939,0.998311102263492,0.994689793929487,1,0.904267502581809,0.887989033551661,0.920911470945329,0.503056566931491,0.497400233788273,0.512714580617123,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",652,0.826661042944785,0.79601226993865,0.85433282208589,0.998122344193685,0.994263587613459,1,0.0174924651654629,0,0.0454545454545455,0.827414884160378,0.796923076923077,0.855161787365177,0.998122344193685,0.994263587613459,1,0.904714655604804,0.886421861656704,0.921301815796741,0.507807404679574,0.498137802607076,0.52156865679701,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",699,0.826682403433476,0.798283261802575,0.854077253218884,1,1,1,0.0161913369332785,0,0.0423728813559322,0.826183120086644,0.79710828471893,0.853453532380151,1,1,1,0.904752850953402,0.887101004567609,0.92093329253366,0.508095668466639,0.5,0.521186440677966,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",699,0.823304721030043,0.795386266094421,0.849785407725322,0.998307894677015,0.994698940556961,1,0.016121693321657,0,0.0431223532970357,0.823948010191721,0.795389048991354,0.850580072230743,0.998307894677015,0.994698940556961,1,0.902720569818355,0.885316260622939,0.918541505042669,0.507214793999336,0.498281713008145,0.520707760538763,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",699,0.365701001430615,0.330472103004292,0.399141630901288,0.239295936569794,0.204621408694914,0.274578061589878,0.951472664220224,0.911987610619469,0.98450204154092,0.958040271040112,0.921734867860188,0.986486486486487,0.239295936569794,0.204621408694914,0.274578061589878,0.382626769632753,0.336157015065913,0.426230606952929,0.595384300395009,0.570542977489985,0.619898357074502,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",700,0.335661428571429,0.301392857142857,0.368607142857143,0.202708986968367,0.168420148308917,0.235203805733321,0.951022994988481,0.910886669024045,0.984130108736408,0.950430808587491,0.91044776119403,0.983743115656963,0.202708986968367,0.168420148308917,0.235203805733321,0.333819454151444,0.286103962606024,0.378098679563115,0.576865990978424,0.552722431526933,0.60074254474563,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",700,0.686674285714286,0.648571428571429,0.722857142857143,0.656862625761348,0.616034904810632,0.695808036427544,0.824315683562,0.755691710191509,0.889710941716136,0.945226978576351,0.920975011155734,0.966041960028657,0.656862625761348,0.616034904810632,0.695808036427544,0.77489773933591,0.742843508559309,0.803952144971141,0.740589154661674,0.701037992995927,0.77967001469171,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",700,0.551574285714286,0.514285714285714,0.587142857142857,0.47749358502357,0.434692578769047,0.514540128881078,0.89605406143217,0.843469735720375,0.944444444444444,0.955277576197674,0.932624113475177,0.976672442244224,0.47749358502357,0.434692578769047,0.514540128881078,0.636459270964397,0.596696119314557,0.670589361342585,0.68677382322787,0.653787299123738,0.717666981019155,"Overall","Overall"
