"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"1","GPT-4 Vision","drop","P3",637,0.833248037676609,0.805337519623234,0.858751962323391,0.996168576982759,0.990384615384615,1,0.036668230008076,0,0.0754756619628984,0.834878831087382,0.807323394310784,0.861210900081748,0.996168576982759,0.990384615384615,1,0.908353686337603,0.891820004881036,0.923858085135024,0.516418403495417,0.499058380414313,0.536040523606313,"Overall","Overall"
"2","GPT-4 Vision","drop","P4",637,0.831646781789639,0.802197802197802,0.860282574568289,0.9981368622255,0.994263862332696,1,0.0187304931508215,0,0.0490196078431373,0.832401472370591,0.803142408272098,0.861198738170347,0.9981368622255,0.994263862332696,1,0.907695505088885,0.890052356020942,0.924643320595252,0.508433677688161,0.498102376606229,0.523624045989556,"Overall","Overall"
"3","GPT-4 Vision","drop","P5",637,0.830335949764521,0.802197802197802,0.858712715855573,0.998156337074823,0.994274535489615,1,0.00966211326513504,0,0.031923472889499,0.831332216516945,0.803486529318542,0.859848029019957,0.998156337074823,0.994274535489615,1,0.907069822123752,0.890052356020942,0.923986486486487,0.503909225169979,0.49721706864564,0.515469808304586,"Overall","Overall"
"4","GPT-4 Vision","drop","P6",637,0.831963893249608,0.802197802197802,0.860321821036107,0.998108638162036,0.994161990780733,1,0.0195462446195785,0,0.0495173267326733,0.832718583118004,0.803141844059713,0.861204202786955,0.998108638162036,0.994161990780733,1,0.907871577647243,0.889850478468899,0.924774416384297,0.508827441390807,0.498130753614057,0.523072507799435,"Overall","Overall"
"5","GPT-4 Vision","drop","P7",637,0.833117739403454,0.802197802197802,0.861852433281005,1,1,1,0.0188106643788282,0,0.0476190476190476,0.832580745840327,0.80187899272025,0.861640650454667,1,1,1,0.90856963619543,0.890047550616922,0.925678809078893,0.509405332189414,0.5,0.523809523809524,"Overall","Overall"
"6","GPT-4 Vision","drop","P8",637,0.832356357927787,0.805337519623234,0.860282574568289,0.997984213601611,0.994186046511628,1,0.0191840488575018,0,0.0490441176470588,0.8332119527465,0.804416403785489,0.861198738170347,0.997984213601611,0.994186046511628,1,0.908111295909987,0.891413801579255,0.924767540152155,0.508584131229556,0.498123739226114,0.52417576404618,"Overall","Overall"
"7","Gemini Pro Vision","drop","P1",637,0.36594191522763,0.32967032967033,0.403453689167975,0.24807625846179,0.212115579587699,0.284890905473517,0.944535646376468,0.898972778633796,0.982300884955752,0.95646414150429,0.919112678855326,0.986013986013986,0.24807625846179,0.212115579587699,0.284890905473517,0.39360890867185,0.347115626309175,0.439660860552129,0.596305952419129,0.566477111632002,0.623782021936761,"Overall","Overall"
"8","Gemini Pro Vision","drop","P2",637,0.335430141287284,0.299843014128728,0.372056514913658,0.210493386145661,0.178364828349787,0.243810694031866,0.945458166300757,0.898148148148148,0.982758620689655,0.949599828444286,0.907407407407407,0.983609889377582,0.210493386145661,0.178364828349787,0.243810694031866,0.344248189280374,0.299676505455203,0.389305550418898,0.577975776223209,0.549478542788789,0.602724187891252,"Overall","Overall"
"9","Gemini Pro Vision","drop","P3",637,0.69752590266876,0.662480376766091,0.731593406593407,0.66997552991188,0.628413730293323,0.708411214953271,0.832903625299889,0.761339962121212,0.899128027109679,0.951729627562277,0.93010752688172,0.971515280359662,0.66997552991188,0.628413730293323,0.708411214953271,0.786190643262748,0.755443568673486,0.814031396998645,0.751439577605884,0.709747641668633,0.792035736360801,"Overall","Overall"
"10","Gemini Pro Vision","drop","P4",637,0.557558869701727,0.518053375196232,0.593445839874411,0.488167602739542,0.446896512041512,0.527539303468229,0.897429916122432,0.833333333333333,0.948724489795918,0.958857134116323,0.931995454545455,0.980848354231975,0.488167602739542,0.446896512041512,0.527539303468229,0.646686688715531,0.607319452172339,0.682214395403739,0.692798759430987,0.654510460900819,0.728230975140174,"Overall","Overall"
"11","Gemini Pro Vision","drop","P5",637,0.488767660910518,0.452119309262166,0.529042386185243,0.406861877719118,0.366541353383459,0.450762221269297,0.888648483633075,0.82350192413414,0.942862950058072,0.946821949785836,0.913631993006993,0.973804797822265,0.406861877719118,0.366541353383459,0.450762221269297,0.568831259557771,0.527443609022556,0.612197237052454,0.647755180676097,0.6085690212592,0.683420215032685,"Overall","Overall"
"12","Gemini Pro Vision","drop","P6",637,0.430913657770801,0.392464678178964,0.470957613814757,0.336981486863685,0.298992439581669,0.376431404982349,0.88948728474326,0.830188679245283,0.947368421052632,0.937052736117411,0.902053661879507,0.969387755102041,0.336981486863685,0.298992439581669,0.376431404982349,0.49536106453007,0.452596038824662,0.537662936142199,0.613234385803472,0.578148830224701,0.647260225507897,"Overall","Overall"
"13","Gemini Pro Vision","drop","P7",637,0.568386185243328,0.529042386185243,0.610675039246468,0.516403622425847,0.472149034446382,0.560569900372706,0.822735287535629,0.747661283005172,0.892156862745098,0.934414371361813,0.905225157859754,0.96099635365762,0.516403622425847,0.472149034446382,0.560569900372706,0.664906604598231,0.626375875969755,0.702973236753604,0.669569454980738,0.628225715173776,0.71156286273423,"Overall","Overall"
"14","Gemini Pro Vision","drop","P8",637,0.436194662480377,0.398704866562009,0.472527472527473,0.342208713019932,0.302238805970149,0.382906576798805,0.898090110265538,0.834711362805992,0.95049504950495,0.942906456581347,0.908163265306122,0.973961706606218,0.342208713019932,0.302238805970149,0.382906576798805,0.501816039153167,0.456953134104051,0.545454545454545,0.620149411642735,0.58423713005471,0.65320750490918,"Overall","Overall"
"15","GPT-4 Vision","drop","P3",304,0.836128289473684,0.792763157894737,0.87828947368421,0.992009868999218,0.9800796812749,1,0.0576036009496606,0,0.131578947368421,0.840213183319822,0.797963857847579,0.882943143812709,0.992009868999218,0.9800796812749,1,0.90966641796621,0.883538180857959,0.934046345811052,0.524806734974439,0.498030708661417,0.561409129340328,"Age","44-70"
"16","GPT-4 Vision","drop","P4",304,0.831444078947368,0.786184210526316,0.87171052631579,0.996076374162158,0.987654320987654,1,0.0189129385974249,0,0.0638644773358002,0.83362789629537,0.788761392695561,0.874182567263349,0.996076374162158,0.987654320987654,1,0.907481607591934,0.879406307977737,0.931458699472759,0.507494656379791,0.494338546524141,0.530612244897959,"Age","44-70"
"17","GPT-4 Vision","drop","P5",304,0.831802631578947,0.789473684210526,0.87171052631579,1,1,1,0,0,0,0.831802631578947,0.789473684210526,0.87171052631579,1,1,1,0.908036365080975,0.88235294117647,0.931458699472759,0.5,0.5,0.5,"Age","44-70"
