"","Model","PromptID","Balanced.Accuracy_CI_Overall","Sensitivity_CI_Overall","Specificity_CI_Overall"
"1","GPT-4 Vision","P1","0.5 (+/- 0)","1 (+/- 0)","0 (+/- 0)"
"2","GPT-4 Vision","P2","0.5 (+/- 0)","1 (+/- 0)","0 (+/- 0)"
"3","GPT-4 Vision","P3","0.51 (+/- 0.01)","1 (+/- 0.01)","0.03 (+/- 0.03)"
"4","GPT-4 Vision","P4","0.51 (+/- 0.01)","1 (+/- 0)","0.02 (+/- 0.02)"
"5","GPT-4 Vision","P5","0.5 (+/- 0.01)","1 (+/- 0)","0.01 (+/- 0.01)"
"6","GPT-4 Vision","P6","0.51 (+/- 0.01)","1 (+/- 0)","0.02 (+/- 0.02)"
"7","GPT-4 Vision","P7","0.51 (+/- 0.01)","1 (+/- 0)","0.02 (+/- 0.02)"
"8","GPT-4 Vision","P8","0.51 (+/- 0.01)","1 (+/- 0)","0.02 (+/- 0.02)"
"9","Gemini Pro Vision","P1","0.6 (+/- 0.03)","0.24 (+/- 0.04)","0.95 (+/- 0.04)"
"10","Gemini Pro Vision","P2","0.58 (+/- 0.02)","0.2 (+/- 0.03)","0.95 (+/- 0.04)"
"11","Gemini Pro Vision","P3","0.74 (+/- 0.04)","0.66 (+/- 0.04)","0.82 (+/- 0.07)"
"12","Gemini Pro Vision","P4","0.69 (+/- 0.03)","0.48 (+/- 0.04)","0.9 (+/- 0.06)"
"13","Gemini Pro Vision","P5","0.65 (+/- 0.03)","0.4 (+/- 0.04)","0.9 (+/- 0.06)"
"14","Gemini Pro Vision","P6","0.61 (+/- 0.03)","0.33 (+/- 0.04)","0.9 (+/- 0.05)"
"15","Gemini Pro Vision","P7","0.66 (+/- 0.04)","0.51 (+/- 0.04)","0.82 (+/- 0.07)"
"16","Gemini Pro Vision","P8","0.62 (+/- 0.03)","0.34 (+/- 0.04)","0.9 (+/- 0.05)"
